"var","categoria","Sergio Massa","Javier Milei"
"P10","Siempre",0.208,0.196
"P10","Casi siempre",0.284,0.28
"P10","Casi nunca",0.34,0.332
"P10","Nunca, pero esta es una excepción",0.168,0.192
"P11","Unión por la Patria",0.562,0.057
"P11","La Libertad Avanza",0.274,0.814
"P11","En blanco",0.097,0.057
"P11","No sabe",0.067,0.072
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.595,0.059
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.29,0.865
"P13","En blanco",0.068,0.036
"P13","No sabe",0.047,0.04
"P15","Totalmente seguro",0.747,0.756
"P15","Bastante seguro",0.12,0.115
"P15","Algo seguro",0.072,0.064
"P15","Para nada seguro",0.061,0.065
"P16","Tiene Decidido que va a ir a votar",0.916,0.926
"P16","Tiene dudas sobre si va a ir a  votar",0.046,0.05
"P16","Tiene Decidido que no va a ir a votar",0.038,0.024
"P17","Lo votaría",0.635,0.094
"P17","Puede que lo vote",0.065,0.048
"P17","Nunca lo votaría",0.271,0.84
"P17","No sabe",0.029,0.018
"P18","Lo votaría",0.233,0.764
"P18","Puede que lo vote",0.101,0.101
"P18","Nunca lo votaría",0.632,0.115
"P18","No sabe",0.034,0.02
"P19","Si",0.894,0.835
"P19","No",0.106,0.165
"P21","Sergio Massa",0.783,0.075
"P21","Javier Milei",0.217,0.925
"P22","Sergio Massa",0.756,0.113
"P22","Javier Milei",0.244,0.887
"P23","Sergio Massa",0.758,0.079
"P23","Javier Milei",0.242,0.921
"P24","Si",0.631,0.093
"P24","No",0.369,0.907
"P25","Si",0.425,0.874
"P25","No",0.575,0.126
"P28","Inflación",0.382,0.329
"P28","Desempleo",0.086,0.034
"P28","Corrupción",0.208,0.468
"P28","Inseguridad",0.097,0.086
"P28","Precio del dólar",0.015,0.009
"P28","Pobreza",0.113,0.029
"P28","Narcotráfico",0.008,0.008
"P28","Tarifas",0.009,0.003
"P28","Otro",0.069,0.027
"P28","No sabe",0.013,0.007
"P32","Sin deuda",0.461,0.406
"P32","Menos de 10%",0.167,0.159
"P32","Entre 10 y 20%",0.124,0.144
"P32","Entre 20 y 30%",0.076,0.08
"P32","Entre 30 y 40%",0.053,0.049
"P32","Mas del 40%",0.084,0.121
"P32","No sabe",0.035,0.041
"P33","Gran excedente habitual",0.02,0.009
"P33","Gran excedente excepcional",0.006,0.007
"P33","Pequeño excedente habitual",0.105,0.042
"P33","Pequeño excedente excepcional",0.086,0.055
"P33","Alcanza gastos familia",0.19,0.127
"P33","No alcanza gastos familia",0.1,0.105
"P33","Solo NBFamiliares",0.226,0.305
"P33","No alcanza NBFamiliares",0.252,0.332
"P33","No sabe",0.015,0.018
"P34","Muy buena",0.081,0.064
"P34","Buena",0.277,0.156
"P34","Ni buena ni mala",0.449,0.44
"P34","Mala",0.137,0.257
"P34","Muy mala",0.039,0.062
"P34","No sabe",0.017,0.021
"P35","Mejor",0.171,0.052
"P35","Igual",0.37,0.094
"P35","Peor",0.424,0.826
"P35","No sabe",0.035,0.028
"P36","Mejor",0.227,0.128
"P36","Igual",0.306,0.173
"P36","Peor",0.295,0.486
"P36","No sabe",0.172,0.213
"P37","Muy buena",0.082,0.053
"P37","Buena",0.114,0.023
"P37","Ni buena ni mala",0.219,0.064
"P37","Mala",0.374,0.296
"P37","Muy mala",0.199,0.553
"P37","No sabe",0.012,0.011
"P38","Mejor",0.159,0.032
"P38","Igual",0.269,0.025
"P38","Peor",0.506,0.917
"P38","No sabe",0.066,0.026
"P39","Mejor",0.283,0.115
"P39","Igual",0.192,0.154
"P39","Peor",0.346,0.592
"P39","No sabe",0.179,0.139
"P40","Muy buena",0.091,0.048
"P40","Buena",0.131,0.006
"P40","Ni buena ni mala",0.256,0.038
"P40","Mala",0.273,0.245
"P40","Muy mala",0.241,0.656
"P40","No sabe",0.008,0.007
"P42","Muy buena",0.066,0.021
"P42","Buena",0.167,0.014
"P42","Ni buena ni mala",0.28,0.033
"P42","Mala",0.228,0.246
"P42","Muy mala",0.24,0.68
"P42","No sabe",0.019,0.006
"P43","Muy buena",0.153,0.017
"P43","Buena",0.288,0.016
"P43","Ni buena ni mala",0.222,0.063
"P43","Mala",0.161,0.291
"P43","Muy mala",0.169,0.606
"P43","No sabe",0.007,0.007
"P44","Muy buena",0.084,0.016
"P44","Buena",0.17,0.014
"P44","Ni buena ni mala",0.27,0.035
"P44","Mala",0.238,0.208
"P44","Muy mala",0.224,0.723
"P44","No sabe",0.014,0.004
"P45","Muy buena",0.075,0.026
"P45","Buena",0.094,0.016
"P45","Ni buena ni mala",0.243,0.029
"P45","Mala",0.298,0.219
"P45","Muy mala",0.286,0.709
"P45","No sabe",0.004,0.001
"P46","Muy buena",0.338,0.028
"P46","Buena",0.135,0.015
"P46","Ni buena ni mala",0.129,0.042
"P46","Mala",0.123,0.172
"P46","Muy mala",0.27,0.738
"P46","No sabe",0.005,0.005
"P47","Muy buena",0.077,0.346
"P47","Buena",0.107,0.265
"P47","Ni buena ni mala",0.147,0.214
"P47","Mala",0.268,0.085
"P47","Muy mala",0.394,0.09
"P47","No sabe",0.007,0
"P48","Muy buena",0.108,0.118
"P48","Buena",0.161,0.187
"P48","Ni buena ni mala",0.248,0.269
"P48","Mala",0.293,0.181
"P48","Muy mala",0.184,0.24
"P48","No sabe",0.006,0.005
"P49","Muy buena",0.242,0.022
"P49","Buena",0.226,0.016
"P49","Ni buena ni mala",0.177,0.066
"P49","Mala",0.147,0.199
"P49","Muy mala",0.204,0.688
"P49","No sabe",0.004,0.009
"P50","Muy buena",0.085,0.187
"P50","Buena",0.115,0.217
"P50","Ni buena ni mala",0.177,0.318
"P50","Mala",0.313,0.127
"P50","Muy mala",0.298,0.137
"P50","No sabe",0.012,0.014
"P51","Muy buena",0.375,0.019
"P51","Buena",0.135,0.02
"P51","Ni buena ni mala",0.12,0.079
"P51","Mala",0.13,0.179
"P51","Muy mala",0.225,0.692
"P51","No sabe",0.015,0.011
"P53","Muy buena",0.094,0.354
"P53","Buena",0.087,0.293
"P53","Ni buena ni mala",0.174,0.236
"P53","Mala",0.204,0.035
"P53","Muy mala",0.433,0.075
"P53","No sabe",0.008,0.007
"P54","Muy buena",0.117,0.393
"P54","Buena",0.129,0.331
"P54","Ni buena ni mala",0.138,0.169
"P54","Mala",0.216,0.062
"P54","Muy mala",0.392,0.043
"P54","No sabe",0.008,0.002
"P55","Muy buena",0.251,0.052
"P55","Buena",0.171,0.042
"P55","Ni buena ni mala",0.255,0.176
"P55","Mala",0.134,0.175
"P55","Muy mala",0.148,0.501
"P55","No sabe",0.041,0.054
"P56","Muy buena",0.1,0.011
"P56","Buena",0.171,0.031
"P56","Ni buena ni mala",0.346,0.124
"P56","Mala",0.157,0.171
"P56","Muy mala",0.185,0.605
"P56","No sabe",0.041,0.058
"P57","Muy buena",0.071,0.049
"P57","Buena",0.148,0.115
"P57","Ni buena ni mala",0.353,0.251
"P57","Mala",0.269,0.207
"P57","Muy mala",0.137,0.346
"P57","No sabe",0.022,0.032
"P58","Muy buena",0.31,0.024
"P58","Buena",0.221,0.071
"P58","Ni buena ni mala",0.222,0.277
"P58","Mala",0.134,0.175
"P58","Muy mala",0.083,0.425
"P58","No sabe",0.03,0.028
"P59","Radio",0.232,0.166
"P59","Televisión",0.297,0.398
"P59","Diario",0.064,0.052
"P59","Medio digital",0.209,0.152
"P59","Redes Sociales",0.13,0.148
"P59","Ninguno en particular",0.068,0.081
"P59","No sabe",0,0.003
"P60","Muy buena",0.122,0.017
"P60","Buena",0.216,0.078
"P60","Ni buena ni mala",0.284,0.182
"P60","Mala",0.253,0.351
"P60","Muy mala",0.108,0.352
"P60","No sabe",0.017,0.02
"P61","Muy buena",0.04,0.024
"P61","Buena",0.116,0.115
"P61","Ni buena ni mala",0.243,0.277
"P61","Mala",0.321,0.239
"P61","Muy mala",0.27,0.334
"P61","No sabe",0.01,0.011
