"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P10","Siempre",0.214,0.205,0.155,0.188
"P10","Casi siempre",0.274,0.326,0.285,0.243
"P10","Casi nunca",0.335,0.345,0.375,0.325
"P10","Nunca, pero esta es una excepción",0.177,0.124,0.185,0.244
"P11","Unión por la Patria",0.385,0.307,0.163,0.105
"P11","La Libertad Avanza",0.516,0.478,0.509,0.319
"P11","En blanco",0.055,0.142,0.221,0.208
"P11","No sabe",0.044,0.073,0.107,0.368
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.403,0.341,0.191,0.11
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.543,0.549,0.524,0.368
"P13","En blanco",0.035,0.083,0.202,0.141
"P13","No sabe",0.019,0.027,0.083,0.381
"P16","Tiene Decidido que va a ir a votar",0.964,0.858,0.723,0.69
"P16","Tiene dudas sobre si va a ir a  votar",0.021,0.106,0.14,0.205
"P16","Tiene Decidido que no va a ir a votar",0.015,0.036,0.137,0.105
"P17","Lo votaría",0.444,0.354,0.164,0.185
"P17","Puede que lo vote",0.034,0.089,0.155,0.168
"P17","Nunca lo votaría",0.508,0.513,0.578,0.491
"P17","No sabe",0.014,0.044,0.103,0.156
"P18","Lo votaría",0.505,0.428,0.276,0.209
"P18","Puede que lo vote",0.052,0.159,0.408,0.28
"P18","Nunca lo votaría",0.429,0.38,0.252,0.284
"P18","No sabe",0.014,0.033,0.064,0.227
"P19","Si",0.884,0.799,0.827,0.698
"P19","No",0.116,0.201,0.173,0.302
"P20","Sergio Massa",0.555,0.567,0.584,0.542
"P20","Javier Milei",0.445,0.433,0.416,0.458
"P21","Sergio Massa",0.459,0.489,0.47,0.522
"P21","Javier Milei",0.541,0.511,0.53,0.478
"P22","Sergio Massa",0.47,0.481,0.484,0.422
"P22","Javier Milei",0.53,0.519,0.516,0.578
"P23","Sergio Massa",0.447,0.464,0.492,0.506
"P23","Javier Milei",0.553,0.536,0.508,0.494
"P24","Si",0.409,0.394,0.244,0.299
"P24","No",0.591,0.606,0.756,0.701
"P25","Si",0.612,0.609,0.743,0.719
"P25","No",0.388,0.391,0.257,0.281
"P28","Inflación",0.371,0.345,0.339,0.219
"P28","Desempleo",0.06,0.073,0.104,0.04
"P28","Corrupción",0.314,0.326,0.307,0.463
"P28","Inseguridad",0.084,0.119,0.101,0.127
"P28","Precio del dólar",0.015,0.007,0.011,0.015
"P28","Pobreza",0.078,0.059,0.079,0.08
"P28","Narcotráfico",0.007,0.008,0.012,0.013
"P28","Tarifas",0.006,0.01,0.004,0.007
"P28","Otro",0.053,0.046,0.043,0.022
"P28","No sabe",0.012,0.007,0,0.014
"P32","Sin deuda",0.452,0.405,0.357,0.368
"P32","Menos de 10%",0.152,0.2,0.251,0.142
"P32","Entre 10 y 20%",0.125,0.129,0.2,0.151
"P32","Entre 20 y 30%",0.077,0.095,0.034,0.091
"P32","Entre 30 y 40%",0.05,0.065,0.063,0.047
"P32","Mas del 40%",0.11,0.05,0.059,0.118
"P32","No sabe",0.034,0.056,0.036,0.083
"P33","Gran excedente habitual",0.017,0.009,0.013,0.005
"P33","Gran excedente excepcional",0.009,0.002,0.01,0
"P33","Pequeño excedente habitual",0.083,0.076,0.037,0.039
"P33","Pequeño excedente excepcional",0.075,0.065,0.065,0.049
"P33","Alcanza gastos familia",0.168,0.132,0.139,0.157
"P33","No alcanza gastos familia",0.092,0.099,0.22,0.123
"P33","Solo NBFamiliares",0.247,0.334,0.292,0.294
"P33","No alcanza NBFamiliares",0.292,0.264,0.224,0.323
"P33","No sabe",0.017,0.019,0,0.01
"P34","Muy buena",0.08,0.074,0.059,0.02
"P34","Buena",0.234,0.226,0.124,0.167
"P34","Ni buena ni mala",0.42,0.479,0.589,0.551
"P34","Mala",0.194,0.175,0.189,0.193
"P34","Muy mala",0.055,0.028,0.022,0.028
"P34","No sabe",0.017,0.018,0.017,0.041
"P35","Mejor",0.115,0.117,0.161,0.101
"P35","Igual",0.262,0.267,0.103,0.134
"P35","Peor",0.59,0.593,0.706,0.73
"P35","No sabe",0.033,0.023,0.03,0.035
"P36","Mejor",0.205,0.133,0.11,0.046
"P36","Igual",0.248,0.251,0.235,0.216
"P36","Peor",0.359,0.428,0.481,0.489
"P36","No sabe",0.188,0.188,0.174,0.249
"P37","Muy buena",0.065,0.084,0.052,0.11
"P37","Buena",0.078,0.074,0.074,0.015
"P37","Ni buena ni mala",0.154,0.152,0.051,0.167
"P37","Mala",0.338,0.349,0.358,0.308
"P37","Muy mala",0.357,0.325,0.459,0.347
"P37","No sabe",0.008,0.016,0.006,0.053
"P38","Mejor",0.11,0.086,0.048,0.065
"P38","Igual",0.169,0.15,0.125,0.097
"P38","Peor",0.673,0.718,0.775,0.782
"P38","No sabe",0.048,0.046,0.052,0.056
"P39","Mejor",0.23,0.169,0.137,0.055
"P39","Igual",0.179,0.163,0.198,0.117
"P39","Peor",0.445,0.503,0.426,0.568
"P39","No sabe",0.146,0.165,0.239,0.26
"P40","Muy buena",0.072,0.067,0.072,0.079
"P40","Buena",0.081,0.08,0.038,0.021
"P40","Ni buena ni mala",0.167,0.178,0.101,0.067
"P40","Mala",0.24,0.292,0.371,0.375
"P40","Muy mala",0.432,0.383,0.398,0.458
"P40","No sabe",0.008,0,0.02,0
"P42","Muy buena",0.052,0.022,0.053,0.012
"P42","Buena",0.107,0.108,0.039,0.043
"P42","Ni buena ni mala",0.172,0.192,0.175,0.088
"P42","Mala",0.221,0.253,0.268,0.375
"P42","Muy mala",0.435,0.422,0.453,0.451
"P42","No sabe",0.013,0.003,0.012,0.031
"P43","Muy buena",0.111,0.026,0.032,0.037
"P43","Buena",0.179,0.198,0.108,0.03
"P43","Ni buena ni mala",0.148,0.131,0.284,0.108
"P43","Mala",0.181,0.319,0.265,0.471
"P43","Muy mala",0.375,0.318,0.297,0.343
"P43","No sabe",0.006,0.008,0.014,0.011
"P44","Muy buena",0.064,0.019,0.016,0.031
"P44","Buena",0.103,0.135,0.066,0.041
"P44","Ni buena ni mala",0.176,0.168,0.153,0.057
"P44","Mala",0.199,0.277,0.297,0.372
"P44","Muy mala",0.446,0.401,0.468,0.499
"P44","No sabe",0.012,0,0,0
"P45","Muy buena",0.056,0.063,0.023,0.028
"P45","Buena",0.055,0.087,0.077,0.036
"P45","Ni buena ni mala",0.157,0.133,0.088,0.121
"P45","Mala",0.249,0.331,0.295,0.268
"P45","Muy mala",0.481,0.386,0.517,0.522
"P45","No sabe",0.002,0,0,0.025
"P46","Muy buena",0.235,0.109,0.087,0.031
"P46","Buena",0.078,0.161,0.049,0.027
"P46","Ni buena ni mala",0.073,0.124,0.166,0.173
"P46","Mala",0.134,0.166,0.169,0.212
"P46","Muy mala",0.474,0.438,0.529,0.55
"P46","No sabe",0.006,0.002,0,0.007
"P47","Muy buena",0.209,0.162,0.083,0.204
"P47","Buena",0.159,0.214,0.288,0.222
"P47","Ni buena ni mala",0.143,0.27,0.303,0.328
"P47","Mala",0.187,0.19,0.229,0.124
"P47","Muy mala",0.299,0.164,0.089,0.101
"P47","No sabe",0.003,0,0.008,0.021
"P48","Muy buena",0.105,0.111,0.102,0.24
"P48","Buena",0.136,0.278,0.336,0.268
"P48","Ni buena ni mala",0.25,0.252,0.371,0.272
"P48","Mala",0.259,0.256,0.127,0.134
"P48","Muy mala",0.244,0.092,0.064,0.086
"P48","No sabe",0.006,0.011,0,0
"P49","Muy buena",0.167,0.11,0.026,0.023
"P49","Buena",0.145,0.139,0.06,0.037
"P49","Ni buena ni mala",0.108,0.147,0.236,0.243
"P49","Mala",0.141,0.263,0.322,0.205
"P49","Muy mala",0.436,0.322,0.343,0.47
"P49","No sabe",0.003,0.019,0.013,0.022
"P50","Muy buena",0.121,0.164,0.129,0.18
"P50","Buena",0.14,0.181,0.258,0.294
"P50","Ni buena ni mala",0.219,0.308,0.29,0.326
"P50","Mala",0.25,0.213,0.167,0.078
"P50","Muy mala",0.257,0.122,0.149,0.101
"P50","No sabe",0.013,0.012,0.007,0.021
"P51","Muy buena",0.251,0.161,0.04,0.038
"P51","Buena",0.084,0.084,0.112,0.051
