"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Inflación",0.32,0.317,0.322,0.304,0.349,0.319,0.278,0.266,0.348,0.346,0.372,0.309,0.3,0.315,0.3,0.305,0.337
"Desempleo",0.097,0.096,0.097,0.121,0.103,0.069,0.076,0.111,0.111,0.054,0.123,0.065,0.122,0.083,0.137,0.129,0.083
"Corrupción",0.26,0.29,0.232,0.29,0.23,0.264,0.272,0.249,0.261,0.272,0.142,0.346,0.259,0.283,0.282,0.177,0.239
"Inseguridad",0.15,0.128,0.171,0.111,0.135,0.19,0.207,0.17,0.135,0.15,0.148,0.158,0.172,0.121,0.13,0.115,0.193
"Precio del dólar",0.019,0.023,0.015,0.021,0.021,0.013,0.015,0.025,0.016,0.015,0.021,0.021,0.006,0.021,0.02,0.047,0.012
"Pobreza",0.065,0.055,0.076,0.074,0.072,0.05,0.055,0.089,0.044,0.068,0.092,0.044,0.071,0.07,0.081,0.088,0.049
"Narcotráfico",0.018,0.01,0.025,0.01,0.013,0.021,0.038,0.025,0.013,0.015,0.021,0.02,0,0.024,0.005,0,0.021
"Tarifas",0.012,0.008,0.015,0.011,0.015,0.008,0.011,0.011,0.016,0.007,0.014,0.006,0.005,0.007,0.012,0.038,0.012
"Otro",0.04,0.051,0.03,0.037,0.041,0.048,0.033,0.026,0.041,0.058,0.052,0.024,0.023,0.049,0.02,0.074,0.038
"No sabe",0.019,0.022,0.017,0.021,0.021,0.018,0.015,0.028,0.015,0.015,0.015,0.007,0.042,0.027,0.013,0.027,0.016
