"var","categoria","Muy seguro","Algo seguro","Seguro","Algo inseguro","Inseguro","Muy inseguro"
"P04","Gran excedente habitual",0.034,0.014,0.008,0.004,0.003,0.002
"P04","Gran excedente excepcional",0.007,0.004,0.004,0.003,0.001,0.001
"P04","Pequeño excedente habitual",0.089,0.064,0.055,0.025,0.018,0.015
"P04","Pequeño excedente excepcional",0.067,0.059,0.064,0.061,0.026,0.016
"P04","Alcanza gastos familia",0.158,0.14,0.208,0.141,0.097,0.036
"P04","No alcanza gastos familia",0.112,0.174,0.161,0.16,0.172,0.168
"P04","Solo NBFamiliares",0.211,0.275,0.243,0.3,0.252,0.186
"P04","No alcanza NBFamiliares",0.3,0.257,0.239,0.296,0.421,0.564
"P04","No sabe",0.022,0.013,0.018,0.01,0.01,0.012
"P05","Si",0.18,0.092,0.087,0.174,0.322,0.571
"P05","No",0.82,0.908,0.913,0.826,0.678,0.429
"P06","Robo en vivienda, en su presencia",0.697,0.272,0.394,0.246,0.298,0.365
"P06","Robo en vivienda, en su ausencia",0.122,0.335,0.157,0.265,0.227,0.179
"P06","Robo de auto",0.029,0.065,0.184,0.099,0.102,0.069
"P06","Robo de moto",0.019,0.015,0,0.067,0.027,0.021
"P06","Robo de bicicleta",0.007,0.049,0.015,0.028,0.073,0.047
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.005,0.057,0.088,0.106,0.062,0.144
"P06","Otro tipo de delito a la propiedad",0.121,0.207,0.162,0.189,0.211,0.175
"P08","Han aumentado en el último mes",0.331,0.302,0.209,0.41,0.567,0.742
"P08","Han disminuido en el ultimo mes",0.135,0.16,0.052,0.045,0.041,0.052
"P08","Se mantienen igual que el mes anterior",0.383,0.367,0.556,0.32,0.272,0.165
"P08","No sabe",0.151,0.171,0.183,0.225,0.12,0.041
"P09","Si",0.168,0.157,0.084,0.142,0.316,0.545
"P09","No",0.832,0.843,0.916,0.858,0.684,0.455
"P10","Hurto",0.459,0.376,0.498,0.47,0.361,0.32
"P10","Robo con violencia",0.261,0.196,0.227,0.213,0.323,0.357
"P10","Agresión física",0.149,0.033,0.051,0.086,0.052,0.095
"P10","Acoso verbal o intimidación",0.024,0.179,0.132,0.075,0.102,0.089
"P10","Otros delitos en la vía pública",0.107,0.216,0.092,0.156,0.162,0.139
"P11","Muy seguro",0.482,0.097,0.081,0.018,0.033,0.062
"P11","Algo seguro",0.274,0.552,0.258,0.201,0.124,0.102
"P11","Seguro",0.108,0.123,0.422,0.068,0.031,0.016
"P11","Algo inseguro",0.053,0.154,0.164,0.519,0.182,0.066
"P11","Inseguro",0.044,0.067,0.065,0.174,0.479,0.194
"P11","Muy inseguro",0.039,0.007,0.01,0.02,0.151,0.56
"P12","Han aumentado en el último mes",0.239,0.272,0.198,0.417,0.577,0.73
"P12","Han disminuido en el último mes",0.166,0.107,0.09,0.027,0.038,0.054
"P12","Se mantienen igual que el mes anterior",0.427,0.412,0.489,0.383,0.278,0.151
"P12","No sabe",0.168,0.209,0.223,0.173,0.107,0.065
"P13","Mayor presencia de policía en las calles",0.344,0.279,0.253,0.245,0.209,0.228
"P13","Presencia de Gendarmería en las calles",0.11,0.139,0.103,0.166,0.236,0.24
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.179,0.186,0.177,0.116,0.073,0.06
"P13","Más iluminación en espacios públicos",0.116,0.108,0.1,0.051,0.061,0.036
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.049,0.055,0.08,0.066,0.054,0.03
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.038,0.049,0.051,0.055,0.051,0.064
"P13","Todas las anteriores",0.097,0.135,0.169,0.252,0.254,0.289
"P13","No sabe",0.067,0.049,0.067,0.049,0.062,0.053
"P14","Mayor presencia de policía en las calles",0.28,0.242,0.26,0.217,0.22,0.241
"P14","Presencia de Gendarmería en las calles",0.171,0.177,0.148,0.163,0.202,0.154
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.152,0.147,0.142,0.146,0.083,0.054
"P14","Más iluminación en espacios públicos",0.083,0.076,0.093,0.045,0.064,0.047
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.059,0.056,0.067,0.055,0.04,0.027
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.052,0.045,0.07,0.051,0.043,0.046
"P14","Todas las anteriores",0.073,0.145,0.117,0.225,0.251,0.376
"P14","No sabe",0.13,0.112,0.103,0.098,0.097,0.055
"P15","El Gobierno Nacional",0.197,0.127,0.083,0.116,0.169,0.176
"P15","El Gobierno Provincial",0.254,0.279,0.257,0.227,0.227,0.179
"P15","El Municipio",0.239,0.192,0.261,0.179,0.135,0.082
"P15","Todos los niveles de gobierno son igualmente responsables",0.27,0.358,0.364,0.446,0.451,0.501
"P15","No sabe",0.04,0.044,0.035,0.032,0.018,0.062
