"var","categoria","Mayor presencia de policía en las calles","Presencia de Gendarmería en las calles","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares","Más iluminación en espacios públicos","Capacitación a las fuerzas de seguridad para la prevención del delito","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc","Todas las anteriores","No sabe"
"P04","Gran excedente habitual",0.016,0.006,0.009,0.009,0.01,0.018,0.008,0.005
"P04","Gran excedente excepcional",0.004,0.001,0.005,0.002,0.003,0.001,0.002,0.003
"P04","Pequeño excedente habitual",0.068,0.026,0.047,0.065,0.057,0.029,0.062,0.053
"P04","Pequeño excedente excepcional",0.053,0.033,0.047,0.06,0.071,0.056,0.076,0.058
"P04","Alcanza gastos familia",0.134,0.085,0.162,0.177,0.148,0.141,0.189,0.15
"P04","No alcanza gastos familia",0.143,0.148,0.2,0.119,0.183,0.194,0.176,0.143
"P04","Solo NBFamiliares",0.26,0.28,0.278,0.255,0.2,0.279,0.26,0.199
"P04","No alcanza NBFamiliares",0.316,0.413,0.235,0.297,0.317,0.261,0.216,0.36
"P04","No sabe",0.006,0.008,0.017,0.016,0.011,0.021,0.011,0.029
"P05","Si",0.201,0.317,0.13,0.126,0.16,0.15,0.176,0.158
"P05","No",0.799,0.683,0.87,0.874,0.84,0.85,0.824,0.842
"P06","Robo en vivienda, en su presencia",0.391,0.412,0.425,0.453,0.232,0.324,0.231,0.241
"P06","Robo en vivienda, en su ausencia",0.205,0.208,0.092,0.191,0.317,0.357,0.246,0.398
"P06","Robo de auto",0.088,0.072,0.04,0.022,0.059,0.079,0.127,0.042
"P06","Robo de moto",0.037,0.018,0.032,0,0,0.074,0.025,0.014
"P06","Robo de bicicleta",0.048,0.028,0.018,0.012,0.134,0.014,0.059,0.115
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.089,0.062,0.227,0.087,0.069,0.024,0.101,0.024
"P06","Otro tipo de delito a la propiedad",0.142,0.2,0.166,0.235,0.189,0.128,0.211,0.166
"P07","Muy seguro",0.183,0.099,0.174,0.194,0.119,0.107,0.073,0.168
"P07","Algo seguro",0.338,0.284,0.413,0.407,0.308,0.315,0.234,0.281
"P07","Seguro",0.12,0.082,0.153,0.149,0.175,0.126,0.114,0.151
"P07","Algo inseguro",0.181,0.207,0.157,0.117,0.226,0.212,0.266,0.173
"P07","Inseguro",0.11,0.208,0.07,0.099,0.13,0.141,0.19,0.153
"P07","Muy inseguro",0.068,0.12,0.033,0.034,0.042,0.099,0.123,0.074
"P08","Han aumentado en el último mes",0.445,0.529,0.249,0.253,0.256,0.361,0.39,0.24
"P08","Han disminuido en el ultimo mes",0.11,0.109,0.143,0.079,0.076,0.06,0.068,0.035
"P08","Se mantienen igual que el mes anterior",0.319,0.245,0.451,0.416,0.468,0.355,0.402,0.409
"P08","No sabe",0.126,0.117,0.157,0.252,0.2,0.224,0.14,0.316
"P09","Si",0.215,0.291,0.122,0.109,0.125,0.145,0.181,0.094
"P09","No",0.785,0.709,0.878,0.891,0.875,0.855,0.819,0.906
"P10","Hurto",0.383,0.415,0.399,0.499,0.531,0.338,0.278,0.144
"P10","Robo con violencia",0.246,0.362,0.191,0.152,0.124,0.476,0.288,0.189
"P10","Agresión física",0.056,0.074,0.074,0.013,0.02,0.038,0.123,0.241
"P10","Acoso verbal o intimidación",0.092,0.069,0.099,0.237,0.06,0.114,0.144,0.02
"P10","Otros delitos en la vía pública",0.223,0.08,0.237,0.099,0.265,0.034,0.167,0.406
"P11","Muy seguro",0.161,0.099,0.129,0.151,0.103,0.07,0.066,0.162
"P11","Algo seguro",0.342,0.283,0.437,0.454,0.231,0.27,0.193,0.269
"P11","Seguro",0.132,0.067,0.146,0.147,0.213,0.116,0.103,0.138
"P11","Algo inseguro",0.186,0.237,0.173,0.169,0.266,0.268,0.271,0.19
"P11","Inseguro",0.138,0.194,0.086,0.068,0.151,0.204,0.208,0.159
"P11","Muy inseguro",0.041,0.12,0.029,0.011,0.036,0.072,0.159,0.082
"P12","Han aumentado en el último mes",0.513,0.478,0.171,0.174,0.266,0.335,0.376,0.233
"P12","Han disminuido en el último mes",0.077,0.161,0.072,0.072,0.067,0.065,0.046,0.076
"P12","Se mantienen igual que el mes anterior",0.303,0.232,0.656,0.353,0.438,0.4,0.405,0.417
"P12","No sabe",0.107,0.129,0.101,0.401,0.229,0.2,0.173,0.274
"P14","Mayor presencia de policía en las calles",0.498,0.218,0.164,0.141,0.2,0.127,0.08,0.125
"P14","Presencia de Gendarmería en las calles",0.127,0.453,0.088,0.101,0.141,0.125,0.128,0.097
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.11,0.095,0.347,0.156,0.091,0.066,0.067,0.034
"P14","Más iluminación en espacios públicos",0.066,0.057,0.089,0.256,0.046,0.042,0.014,0.025
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.043,0.032,0.044,0.078,0.245,0.097,0.018,0.025
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.031,0.029,0.063,0.031,0.081,0.253,0.036,0.031
"P14","Todas las anteriores",0.072,0.079,0.089,0.078,0.069,0.233,0.571,0.13
"P14","No sabe",0.053,0.037,0.116,0.159,0.127,0.057,0.086,0.533
"P15","El Gobierno Nacional",0.214,0.213,0.102,0.065,0.086,0.122,0.073,0.056
"P15","El Gobierno Provincial",0.281,0.256,0.273,0.247,0.2,0.222,0.202,0.214
"P15","El Municipio",0.179,0.138,0.266,0.324,0.206,0.128,0.136,0.183
"P15","Todos los niveles de gobierno son igualmente responsables",0.293,0.372,0.329,0.28,0.411,0.486,0.579,0.448
"P15","No sabe",0.033,0.021,0.03,0.084,0.097,0.042,0.01,0.099
