"var","categoria","Hurto","Robo con violencia","Agresión física","Acoso verbal o intimidación","Otros delitos en la vía pública"
"P04","Gran excedente habitual",0.012,0.02,0.004,0.005,0.007
"P04","Gran excedente excepcional",0.002,0.001,0.016,0,0.004
"P04","Pequeño excedente habitual",0.012,0.017,0.007,0.05,0.032
"P04","Pequeño excedente excepcional",0.013,0.024,0.007,0,0.03
"P04","Alcanza gastos familia",0.076,0.071,0.02,0.091,0.081
"P04","No alcanza gastos familia",0.155,0.163,0.164,0.234,0.148
"P04","Solo NBFamiliares",0.25,0.178,0.23,0.243,0.289
"P04","No alcanza NBFamiliares",0.478,0.523,0.541,0.36,0.389
"P04","No sabe",0.002,0.003,0.011,0.017,0.02
"P05","Si",0.452,0.538,0.454,0.356,0.364
"P05","No",0.548,0.462,0.546,0.644,0.636
"P06","Robo en vivienda, en su presencia",0.467,0.413,0.385,0.135,0.168
"P06","Robo en vivienda, en su ausencia",0.172,0.201,0.171,0.488,0.159
"P06","Robo de auto",0.082,0.112,0.055,0.076,0.12
"P06","Robo de moto",0.017,0.037,0.125,0.012,0.009
"P06","Robo de bicicleta",0.062,0.055,0.093,0.019,0.065
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.069,0.032,0.012,0.164,0.134
"P06","Otro tipo de delito a la propiedad",0.131,0.15,0.159,0.106,0.345
"P07","Muy seguro",0.136,0.111,0.236,0.026,0.078
"P07","Algo seguro",0.228,0.171,0.107,0.401,0.324
"P07","Seguro",0.071,0.047,0.039,0.069,0.032
"P07","Algo inseguro",0.178,0.115,0.174,0.104,0.145
"P07","Inseguro",0.208,0.268,0.158,0.216,0.229
"P07","Muy inseguro",0.179,0.288,0.286,0.184,0.192
"P08","Han aumentado en el último mes",0.651,0.728,0.633,0.735,0.706
"P08","Han disminuido en el ultimo mes",0.058,0.082,0.048,0.003,0.055
"P08","Se mantienen igual que el mes anterior",0.177,0.158,0.22,0.204,0.183
"P08","No sabe",0.114,0.032,0.099,0.058,0.056
"P11","Muy seguro",0.2,0.065,0.089,0.068,0.079
"P11","Algo seguro",0.085,0.221,0.083,0.068,0.076
"P11","Seguro",0.064,0.026,0.245,0.06,0.032
"P11","Algo inseguro",0.216,0.098,0.216,0.425,0.11
"P11","Inseguro",0.258,0.247,0.106,0.237,0.543
"P11","Muy inseguro",0.177,0.343,0.261,0.142,0.16
"P12","Han aumentado en el último mes",0.604,0.713,0.697,0.566,0.606
"P12","Han disminuido en el último mes",0.037,0.061,0.085,0.057,0.056
"P12","Se mantienen igual que el mes anterior",0.22,0.156,0.158,0.201,0.237
"P12","No sabe",0.139,0.07,0.06,0.176,0.101
"P13","Mayor presencia de policía en las calles",0.314,0.276,0.225,0.28,0.396
"P13","Presencia de Gendarmería en las calles",0.267,0.319,0.235,0.164,0.111
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.106,0.069,0.097,0.097,0.136
"P13","Más iluminación en espacios públicos",0.067,0.028,0.008,0.118,0.029
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.06,0.019,0.011,0.025,0.064
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.038,0.074,0.021,0.048,0.008
"P13","Todas las anteriores",0.135,0.192,0.295,0.261,0.175
"P13","No sabe",0.013,0.023,0.108,0.007,0.081
"P14","Mayor presencia de policía en las calles",0.294,0.408,0.169,0.249,0.289
"P14","Presencia de Gendarmería en las calles",0.204,0.149,0.082,0.187,0.072
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.149,0.075,0.148,0.068,0.048
"P14","Más iluminación en espacios públicos",0.062,0.064,0.029,0.082,0.104
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.043,0.044,0.005,0.031,0.065
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.047,0.047,0.028,0.02,0.044
"P14","Todas las anteriores",0.141,0.183,0.333,0.31,0.28
"P14","No sabe",0.06,0.03,0.206,0.053,0.098
"P15","El Gobierno Nacional",0.229,0.23,0.169,0.206,0.237
"P15","El Gobierno Provincial",0.242,0.17,0.14,0.254,0.154
"P15","El Municipio",0.134,0.095,0.136,0.125,0.18
"P15","Todos los niveles de gobierno son igualmente responsables",0.38,0.467,0.462,0.389,0.409
"P15","No sabe",0.015,0.038,0.093,0.026,0.02
