"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"P05","Si",0.195,0.109,0.059,0.076,0.12,0.172,0.147,0.354,0.196
"P05","No",0.805,0.891,0.941,0.924,0.88,0.828,0.853,0.646,0.804
"P06","Robo en vivienda, en su presencia",0.403,0.145,0.13,0.368,0.331,0.324,0.34,0.378,0.371
"P06","Robo en vivienda, en su ausencia",0.02,0.146,0.205,0.152,0.202,0.288,0.232,0.203,0.093
"P06","Robo de auto",0.191,0,0.184,0.116,0.072,0.066,0.107,0.071,0
"P06","Robo de moto",0,0.5,0,0.061,0.026,0.022,0.024,0.029,0
"P06","Robo de bicicleta",0.206,0,0.037,0.011,0.05,0.033,0.032,0.047,0.019
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.025,0.209,0.046,0.141,0.052,0.109,0.089,0.073,0.076
"P06","Otro tipo de delito a la propiedad",0.155,0,0.398,0.151,0.267,0.158,0.176,0.199,0.441
"P07","Muy seguro",0.411,0.28,0.26,0.18,0.164,0.1,0.118,0.137,0.228
"P07","Algo seguro",0.388,0.332,0.418,0.354,0.326,0.349,0.343,0.262,0.308
"P07","Seguro",0.085,0.143,0.15,0.161,0.202,0.135,0.127,0.102,0.173
"P07","Algo inseguro",0.062,0.191,0.098,0.216,0.193,0.189,0.222,0.178,0.132
"P07","Inseguro",0.04,0.038,0.049,0.066,0.095,0.145,0.133,0.181,0.092
"P07","Muy inseguro",0.014,0.016,0.025,0.023,0.02,0.082,0.057,0.14,0.067
"P08","Han aumentado en el último mes",0.272,0.245,0.231,0.218,0.265,0.379,0.352,0.527,0.394
"P08","Han disminuido en el ultimo mes",0.143,0.212,0.074,0.067,0.087,0.113,0.113,0.084,0.051
"P08","Se mantienen igual que el mes anterior",0.403,0.455,0.516,0.525,0.491,0.325,0.363,0.253,0.241
"P08","No sabe",0.182,0.088,0.179,0.19,0.157,0.183,0.172,0.136,0.314
"P09","Si",0.225,0.113,0.091,0.076,0.102,0.198,0.165,0.309,0.141
"P09","No",0.775,0.887,0.909,0.924,0.898,0.802,0.835,0.691,0.859
"P10","Hurto",0.403,0.212,0.23,0.305,0.406,0.367,0.416,0.398,0.103
"P10","Robo con violencia",0.443,0.154,0.229,0.381,0.265,0.267,0.206,0.303,0.099
"P10","Agresión física",0.021,0.421,0.027,0.03,0.02,0.073,0.072,0.085,0.112
"P10","Acoso verbal o intimidación",0.042,0,0.264,0,0.132,0.151,0.11,0.082,0.247
"P10","Otros delitos en la vía pública",0.091,0.213,0.25,0.284,0.177,0.142,0.196,0.132,0.439
"P11","Muy seguro",0.393,0.137,0.235,0.147,0.121,0.11,0.092,0.121,0.08
"P11","Algo seguro",0.274,0.493,0.306,0.308,0.303,0.334,0.367,0.263,0.266
"P11","Seguro",0.146,0.203,0.159,0.182,0.203,0.114,0.11,0.094,0.308
"P11","Algo inseguro",0.036,0.066,0.186,0.248,0.215,0.211,0.223,0.203,0.139
"P11","Inseguro",0.051,0.085,0.082,0.1,0.114,0.142,0.161,0.187,0.142
"P11","Muy inseguro",0.1,0.016,0.032,0.015,0.044,0.089,0.047,0.132,0.065
"P12","Han aumentado en el último mes",0.284,0.112,0.255,0.222,0.218,0.359,0.357,0.501,0.171
"P12","Han disminuido en el último mes",0.167,0.164,0.078,0.081,0.088,0.091,0.091,0.068,0.136
"P12","Se mantienen igual que el mes anterior",0.341,0.472,0.466,0.501,0.499,0.36,0.379,0.293,0.433
"P12","No sabe",0.208,0.252,0.201,0.196,0.195,0.19,0.173,0.138,0.26
"P13","Mayor presencia de policía en las calles",0.404,0.384,0.338,0.254,0.242,0.236,0.265,0.279,0.131
"P13","Presencia de Gendarmería en las calles",0.094,0.062,0.076,0.092,0.092,0.144,0.17,0.217,0.103
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.125,0.225,0.126,0.124,0.16,0.18,0.155,0.114,0.205
"P13","Más iluminación en espacios públicos",0.076,0.052,0.103,0.092,0.102,0.063,0.083,0.084,0.11
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.051,0.064,0.062,0.073,0.058,0.065,0.044,0.061,0.053
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.086,0.021,0.027,0.051,0.048,0.06,0.054,0.044,0.088
"P13","Todas las anteriores",0.139,0.13,0.213,0.255,0.24,0.202,0.186,0.134,0.176
"P13","No sabe",0.025,0.062,0.055,0.059,0.058,0.05,0.043,0.067,0.134
"P14","Mayor presencia de policía en las calles",0.337,0.332,0.235,0.198,0.206,0.212,0.223,0.302,0.064
"P14","Presencia de Gendarmería en las calles",0.136,0.17,0.215,0.2,0.196,0.164,0.152,0.171,0.136
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.073,0.046,0.162,0.103,0.152,0.142,0.143,0.105,0.143
"P14","Más iluminación en espacios públicos",0.121,0.058,0.058,0.058,0.05,0.079,0.074,0.071,0.049
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.017,0.084,0.035,0.062,0.05,0.065,0.052,0.046,0.175
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.082,0,0.041,0.063,0.071,0.045,0.044,0.043,0.132
"P14","Todas las anteriores",0.119,0.18,0.115,0.209,0.175,0.206,0.198,0.165,0.138
"P14","No sabe",0.115,0.13,0.139,0.107,0.1,0.087,0.114,0.097,0.163
"P15","El Gobierno Nacional",0.137,0.039,0.083,0.064,0.083,0.123,0.121,0.216,0.093
"P15","El Gobierno Provincial",0.324,0.392,0.305,0.294,0.296,0.261,0.244,0.195,0.286
"P15","El Municipio",0.333,0.307,0.245,0.225,0.26,0.198,0.169,0.143,0.132
"P15","Todos los niveles de gobierno son igualmente responsables",0.197,0.262,0.35,0.394,0.332,0.392,0.437,0.385,0.359
"P15","No sabe",0.009,0,0.017,0.023,0.029,0.026,0.029,0.061,0.13
