"var","categoria","Mayor presencia de policía en las calles","Presencia de Gendarmería en las calles","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares","Más iluminación en espacios públicos","Capacitación a las fuerzas de seguridad para la prevención del delito","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc","Todas las anteriores","No sabe"
"P04","Gran excedente habitual",0.016,0.009,0.006,0.02,0.004,0.018,0.007,0.012
"P04","Gran excedente excepcional",0.004,0.003,0.001,0.003,0.005,0,0.003,0.004
"P04","Pequeño excedente habitual",0.051,0.066,0.065,0.045,0.034,0.043,0.034,0.071
"P04","Pequeño excedente excepcional",0.045,0.064,0.043,0.046,0.064,0.07,0.063,0.056
"P04","Alcanza gastos familia",0.121,0.161,0.165,0.102,0.135,0.2,0.137,0.135
"P04","No alcanza gastos familia",0.139,0.152,0.173,0.182,0.196,0.143,0.181,0.132
"P04","Solo NBFamiliares",0.243,0.233,0.29,0.283,0.258,0.232,0.29,0.289
"P04","No alcanza NBFamiliares",0.378,0.303,0.244,0.311,0.265,0.263,0.276,0.282
"P04","No sabe",0.003,0.009,0.013,0.008,0.039,0.031,0.009,0.019
"P05","Si",0.241,0.206,0.153,0.17,0.17,0.136,0.212,0.16
"P05","No",0.759,0.794,0.847,0.83,0.83,0.864,0.788,0.84
"P06","Robo en vivienda, en su presencia",0.423,0.453,0.424,0.198,0.398,0.293,0.214,0.351
"P06","Robo en vivienda, en su ausencia",0.239,0.166,0.18,0.188,0.301,0.352,0.238,0.218
"P06","Robo de auto",0.065,0.071,0.136,0.075,0.04,0.088,0.101,0.035
"P06","Robo de moto",0.01,0.036,0.022,0.033,0.026,0.023,0.019,0.011
"P06","Robo de bicicleta",0.04,0.035,0.07,0.036,0,0.055,0.059,0.079
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.066,0.082,0.098,0.094,0.094,0.056,0.133,0.11
"P06","Otro tipo de delito a la propiedad",0.157,0.157,0.07,0.376,0.141,0.133,0.236,0.196
"P07","Muy seguro",0.163,0.14,0.164,0.168,0.155,0.146,0.057,0.175
"P07","Algo seguro",0.322,0.332,0.362,0.354,0.341,0.287,0.259,0.347
"P07","Seguro",0.134,0.107,0.135,0.168,0.158,0.174,0.081,0.123
"P07","Algo inseguro",0.174,0.185,0.217,0.127,0.202,0.198,0.242,0.183
"P07","Inseguro",0.127,0.164,0.089,0.129,0.104,0.12,0.194,0.13
"P07","Muy inseguro",0.08,0.072,0.033,0.054,0.04,0.075,0.167,0.042
"P08","Han aumentado en el último mes",0.456,0.42,0.256,0.343,0.288,0.332,0.453,0.25
"P08","Han disminuido en el ultimo mes",0.116,0.077,0.151,0.117,0.102,0.125,0.049,0.057
"P08","Se mantienen igual que el mes anterior",0.315,0.348,0.435,0.36,0.423,0.408,0.364,0.393
"P08","No sabe",0.113,0.155,0.158,0.18,0.187,0.135,0.134,0.3
"P09","Si",0.244,0.164,0.146,0.184,0.145,0.154,0.214,0.115
"P09","No",0.756,0.836,0.854,0.816,0.855,0.846,0.786,0.885
"P10","Hurto",0.358,0.501,0.547,0.339,0.378,0.42,0.258,0.329
"P10","Robo con violencia",0.365,0.269,0.202,0.258,0.285,0.304,0.245,0.122
"P10","Agresión física",0.043,0.041,0.112,0.033,0.01,0.052,0.127,0.234
"P10","Acoso verbal o intimidación",0.071,0.107,0.058,0.106,0.064,0.042,0.133,0.068
"P10","Otros delitos en la vía pública",0.163,0.082,0.081,0.264,0.263,0.182,0.237,0.247
"P11","Muy seguro",0.151,0.117,0.151,0.147,0.104,0.115,0.044,0.126
"P11","Algo seguro",0.319,0.3,0.377,0.34,0.341,0.256,0.241,0.397
"P11","Seguro",0.111,0.105,0.154,0.162,0.229,0.104,0.081,0.118
"P11","Algo inseguro",0.187,0.263,0.201,0.186,0.174,0.261,0.237,0.209
"P11","Inseguro",0.16,0.151,0.088,0.123,0.111,0.175,0.237,0.091
"P11","Muy inseguro",0.072,0.064,0.029,0.042,0.041,0.089,0.16,0.059
"P12","Han aumentado en el último mes",0.473,0.376,0.281,0.298,0.243,0.341,0.431,0.224
"P12","Han disminuido en el último mes",0.095,0.082,0.102,0.108,0.079,0.084,0.043,0.07
"P12","Se mantienen igual que el mes anterior",0.32,0.382,0.453,0.42,0.474,0.433,0.39,0.391
"P12","No sabe",0.112,0.16,0.164,0.174,0.204,0.142,0.136,0.315
"P13","Mayor presencia de policía en las calles",0.544,0.197,0.224,0.252,0.213,0.164,0.106,0.134
"P13","Presencia de Gendarmería en las calles",0.147,0.429,0.118,0.134,0.099,0.094,0.071,0.058
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.099,0.074,0.385,0.186,0.122,0.182,0.071,0.161
"P13","Más iluminación en espacios públicos",0.048,0.048,0.098,0.305,0.121,0.052,0.035,0.125
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.047,0.047,0.04,0.038,0.265,0.093,0.022,0.07
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.026,0.035,0.025,0.029,0.089,0.247,0.063,0.027
"P13","Todas las anteriores",0.062,0.14,0.096,0.037,0.066,0.136,0.594,0.155
"P13","No sabe",0.027,0.03,0.014,0.019,0.025,0.032,0.038,0.27
"P15","El Gobierno Nacional",0.274,0.144,0.088,0.051,0.083,0.072,0.095,0.079
"P15","El Gobierno Provincial",0.264,0.355,0.204,0.221,0.267,0.263,0.171,0.213
"P15","El Municipio",0.16,0.16,0.371,0.228,0.171,0.139,0.115,0.197
"P15","Todos los niveles de gobierno son igualmente responsables",0.263,0.327,0.306,0.475,0.369,0.496,0.608,0.405
"P15","No sabe",0.039,0.014,0.031,0.025,0.11,0.03,0.011,0.106
