"var","categoria","1","2","3","4","5","6","7","8","9"
"P01","Empleado en relación de dependencia",0.31,0.242,0.293,0.314,0.298,0.297,0.315,0.272,0.245
"P01","Jubilado o pensionado",0.259,0.239,0.29,0.146,0.196,0.242,0.179,0.212,0.211
"P01","Desempleado",0.212,0.338,0.187,0.233,0.255,0.213,0.13,0.267,0.319
"P01","Monotributista o autónomo",0.122,0.09,0.129,0.206,0.139,0.114,0.225,0.118,0.092
"P01","Empresario",0.017,0.01,0.013,0.022,0.02,0.043,0,0.022,0.017
"P01","Estudiante",0.014,0.028,0.021,0.051,0.032,0.039,0.031,0.042,0.029
"P01","Otro",0.066,0.053,0.067,0.028,0.06,0.052,0.12,0.067,0.087
"P02","Menos de $50.000 mensuales",0.44,0.485,0.407,0.455,0.433,0.456,0.457,0.467,0.6
"P02","Entre $50.000 y $100.000 mensuales",0.255,0.219,0.228,0.241,0.234,0.241,0.225,0.2,0.181
"P02","Entre $100.000 y $150.000 mensuales",0.155,0.172,0.149,0.152,0.17,0.098,0.169,0.13,0.104
"P02","Entre $150.000 y $200.000 mensuales",0.06,0.054,0.083,0.08,0.065,0.087,0.062,0.091,0.044
"P02","Entre $200.000 y $250.000 mensuales",0.035,0.014,0.055,0.03,0.035,0.056,0.026,0.042,0.021
"P02","Entre $250.000 y $300.000 mensuales",0.017,0.024,0.029,0.01,0.015,0.02,0.025,0.024,0.013
"P02","Más de $300.000",0.038,0.032,0.049,0.032,0.048,0.042,0.036,0.046,0.037
"P03","Si, tengo",0.136,0.144,0.102,0.121,0.078,0.113,0.096,0.154,0.095
"P03","No, no tengo",0.864,0.856,0.898,0.879,0.922,0.887,0.904,0.846,0.905
"P04","Si",0.347,0.218,0.149,0.104,0.176,0.553,0.069,0.158,0.174
"P04","No",0.653,0.782,0.851,0.896,0.824,0.447,0.931,0.842,0.826
"P05","Si",0.184,0.128,0.184,0.152,0.15,0.114,0.109,0.129,0.115
"P05","No",0.816,0.872,0.816,0.848,0.85,0.886,0.891,0.871,0.885
"P06","Si",0.304,0.42,0.222,0.134,0.228,0.292,0.164,0.285,0.232
"P06","No",0.696,0.58,0.778,0.866,0.772,0.708,0.836,0.715,0.768
"P07","Si, lo tomaría",0.178,0.083,0.262,0.157,0.205,0.222,0.202,0.191,0.113
"P07","Probablemente si",0.276,0.351,0.317,0.309,0.299,0.29,0.298,0.254,0.25
"P07","Probablemente no",0.209,0.242,0.155,0.259,0.234,0.265,0.183,0.249,0.268
"P07","No. no lo tomaría",0.266,0.231,0.192,0.223,0.193,0.147,0.243,0.265,0.281
"P07","No sabe",0.071,0.093,0.074,0.052,0.069,0.076,0.074,0.041,0.088
"P10","Muy convenientes",0.125,0.046,0.011,0.016,0.019,0.014,0.035,0.023,0.047
"P10","Bastante convenientes",0.044,0.115,0.038,0.042,0.046,0.024,0.011,0.021,0.039
"P10","Algo convenientes",0.079,0.105,0.234,0.175,0.14,0.178,0.183,0.103,0.096
"P10","Poco convenientes",0.194,0.205,0.232,0.328,0.252,0.208,0.273,0.238,0.174
"P10","Nada convenientes",0.435,0.26,0.356,0.266,0.388,0.371,0.388,0.435,0.411
"P10","No sabe",0.123,0.269,0.129,0.173,0.155,0.205,0.11,0.18,0.233
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.145,0.169,0.187,0.092,0.167,0.193,0.256,0.204,0.202
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.63,0.446,0.531,0.664,0.535,0.607,0.472,0.533,0.428
"P11","No sabe",0.225,0.385,0.282,0.244,0.298,0.2,0.272,0.263,0.37
"P12","Si",0.645,0.508,0.768,0.793,0.692,0.693,0.705,0.71,0.518
"P12","No",0.355,0.492,0.232,0.207,0.308,0.307,0.295,0.29,0.482
"P13","Banco Publico o cooperativo",0.571,0.595,0.525,0.537,0.503,0.453,0.452,0.595,0.503
"P13","Banco privado",0.371,0.307,0.414,0.374,0.425,0.464,0.463,0.384,0.351
"P13","No sabe",0.058,0.098,0.061,0.089,0.072,0.083,0.085,0.021,0.146
"P14","Banco Nacion",0.418,0.433,0.336,0.403,0.438,0.497,0.209,0.34,0.44
"P14","Banco Provincia",0.247,0.196,0.342,0.353,0.232,0.063,0.254,0.223,0.269
"P14","Banco Ciudad",0.029,0.035,0.035,0.026,0.031,0.06,0.115,0.066,0.03
"P14","Bancor, Banco de Cordoba",0.034,0.049,0.02,0.028,0.037,0,0,0.111,0.028
"P14","Nuevo Banco de Santa Fe",0.005,0.014,0.012,0.009,0.02,0.018,0.058,0.024,0.007
"P14","Credicoop",0.036,0.019,0.073,0.018,0.082,0.061,0.114,0.038,0.01
"P14","Otro",0.231,0.254,0.182,0.163,0.16,0.301,0.25,0.198,0.216
"P15","Santander",0.202,0.123,0.094,0.253,0.182,0.133,0.295,0.224,0.201
"P15","Galicia",0.256,0.258,0.234,0.094,0.205,0.251,0.314,0.224,0.203
"P15","Macro",0.093,0.149,0.025,0.11,0.13,0.113,0.047,0.205,0.139
"P15","Frances",0.122,0.068,0.2,0.055,0.109,0.134,0.088,0.055,0.084
"P15","ICBC",0.073,0.052,0.065,0.105,0.064,0.14,0.031,0.038,0.044
"P15","Patagonia",0.04,0.053,0.045,0.011,0.036,0.012,0.024,0.022,0.059
"P15","No sabe",0.214,0.297,0.337,0.372,0.274,0.217,0.201,0.232,0.27
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.284,0.217,0.247,0.26,0.248,0.199,0.262,0.286,0.222
"P16","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá",0.337,0.406,0.361,0.402,0.436,0.37,0.462,0.373,0.316
"P16","No sabe",0.379,0.377,0.392,0.338,0.316,0.431,0.276,0.341,0.462
"P17","Porque son mas seguras",0.234,0.174,0.202,0.148,0.187,0.134,0.179,0.18,0.179
"P17","Porque los costos del servicio son menores",0.201,0.245,0.235,0.175,0.242,0.248,0.234,0.28,0.182
"P17","Porque tienen mas clientes adheridos",0.125,0.131,0.141,0.17,0.136,0.208,0.148,0.106,0.127
"P17","Porque la calidad de la aplicación",0.087,0.073,0.118,0.162,0.112,0.058,0.103,0.079,0.077
"P17","Por la calidad de la atención al cliente",0.023,0.038,0.04,0.025,0.038,0.03,0.013,0.019,0.031
"P17","Por la eficiencia en la solución de reclamos",0.017,0.013,0.024,0.021,0.018,0.057,0.057,0.037,0.021
"P17","No sabe",0.313,0.326,0.24,0.299,0.267,0.265,0.266,0.299,0.383
"P18","Si, las conozco",0.38,0.367,0.371,0.259,0.365,0.287,0.377,0.269,0.327
"P18","No, no las conozco",0.62,0.633,0.629,0.741,0.635,0.713,0.623,0.731,0.673
"P19","Si",0.493,0.369,0.592,0.528,0.577,0.542,0.681,0.472,0.427
"P19","No",0.507,0.631,0.408,0.472,0.423,0.458,0.319,0.528,0.573
"P20","MODO",0.226,0.32,0.158,0.097,0.157,0.08,0.174,0.253,0.126
"P20","Cuenta DNI",0.149,0.156,0.17,0.178,0.141,0.074,0.173,0.117,0.136
"P20","Mercado de Pago",0.419,0.345,0.418,0.463,0.505,0.605,0.596,0.533,0.45
"P20","Ualá",0.024,0.016,0.023,0.019,0.034,0.006,0,0.005,0.037
"P20","Brubank",0.015,0.038,0.044,0.05,0.017,0.013,0,0,0.02
"P20","Naranja X",0.009,0.05,0.051,0.008,0.016,0.013,0,0.006,0.026
"P20","Otra",0.158,0.075,0.136,0.185,0.13,0.209,0.057,0.086,0.205
"P21","Para pagar en comercios con el celular",0.432,0.368,0.401,0.521,0.374,0.426,0.309,0.452,0.398
"P21","Para transferir / enviar o recibir dinero de terceros",0.282,0.331,0.291,0.183,0.372,0.223,0.346,0.296,0.3
"P21","Para usarla para trabajar / cobrar / vender",0.155,0.145,0.105,0.141,0.108,0.299,0.203,0.062,0.156
"P21","Para pagar servicios",0.083,0.053,0.141,0.13,0.091,0.032,0.142,0.156,0.098
"P21","Para extraer dinero sin tarjeta",0.018,0.009,0.01,0,0.022,0.02,0,0.006,0.021
"P21","Para recargar el celular / tarjeta de transporte",0.03,0.094,0.052,0.025,0.033,0,0,0.028,0.027
"P22","Usas más efectivo que antes",0.122,0.107,0.119,0.081,0.052,0.076,0.09,0.179,0.135
"P22","Usas la misma cantidad de efectivo que antes",0.27,0.322,0.348,0.247,0.323,0.146,0.135,0.316,0.329
"P22","Usas menos efectivo que antes",0.608,0.571,0.533,0.672,0.625,0.778,0.775,0.505,0.536
"P23","Tener mayor control de tus gastos",0.406,0.397,0.396,0.487,0.424,0.211,0.412,0.31,0.426
"P23","Tener igual control de tus gastos",0.456,0.414,0.475,0.421,0.445,0.764,0.494,0.606,0.426
"P23","Tener menor control de tus gastos",0.138,0.189,0.129,0.092,0.131,0.025,0.094,0.084,0.148
"P24","Muy de acuerdo",0.389,0.444,0.36,0.327,0.354,0.143,0.214,0.303,0.381
"P24","De acuerdo",0.236,0.272,0.134,0.245,0.289,0.392,0.393,0.304,0.24
"P24","Algo de acuerdo",0.232,0.155,0.331,0.224,0.225,0.204,0.277,0.207,0.206
"P24","Poco de acuerdo",0.075,0.071,0.062,0.184,0.073,0.191,0.078,0.074,0.063
"P24","Nada de acuerdo",0.068,0.058,0.113,0.02,0.059,0.07,0.038,0.112,0.11
"P25","Deberían mantenerse y ampliarse aún mas",0.331,0.266,0.367,0.323,0.364,0.307,0.447,0.233,0.316
"P25","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales",0.463,0.512,0.503,0.441,0.482,0.498,0.417,0.478,0.379
"P25","Deberian limitarse a los estrictamente necesarios",0.102,0.088,0.073,0.102,0.068,0.094,0.05,0.146,0.102
"P25","Deberian eliminarse y volverse a la situación anterior",0.104,0.134,0.057,0.134,0.086,0.101,0.086,0.143,0.203
"P26","Sí, compraría",0.173,0.203,0.175,0.152,0.227,0.15,0.241,0.152,0.183
"P26","No, no tengo suficiente información",0.493,0.492,0.497,0.469,0.464,0.553,0.42,0.499,0.44
"P26","No, me resulta una inversión riesgosa",0.12,0.081,0.11,0.065,0.09,0.097,0.151,0.154,0.116
"P26","No, me parece una inversión poco confiable",0.083,0.083,0.074,0.209,0.071,0.064,0.09,0.072,0.087
