"var","categoria","Empleado en relación de dependencia","Jubilado o pensionado","Desempleado","Monotributista o autónomo","Empresario","Estudiante","Otro"
"P02","Menos de $50.000 mensuales",0.392,0.459,0.76,0.233,0.077,0.635,0.527
"P02","Entre $50.000 y $100.000 mensuales",0.25,0.375,0.055,0.252,0.097,0.153,0.197
"P02","Entre $100.000 y $150.000 mensuales",0.18,0.091,0.171,0.186,0.098,0.009,0.05
"P02","Entre $150.000 y $200.000 mensuales",0.072,0.036,0.002,0.213,0.139,0.004,0.021
"P02","Entre $200.000 y $250.000 mensuales",0.044,0.016,0.005,0.043,0.258,0,0.013
"P02","Entre $250.000 y $300.000 mensuales",0.023,0.01,0.003,0.023,0.042,0.184,0.003
"P02","Más de $300.000",0.039,0.013,0.004,0.05,0.289,0.015,0.189
"P03","Si, tengo",0.147,0.151,0.117,0.118,0.164,0.084,0.083
"P03","No, no tengo",0.853,0.849,0.883,0.882,0.836,0.916,0.917
"P04","Si",0.271,0.256,0.213,0.243,0.35,0.354,0.139
"P04","No",0.729,0.744,0.787,0.757,0.65,0.646,0.861
"P05","Si",0.189,0.09,0.115,0.171,0.149,0.076,0.156
"P05","No",0.811,0.91,0.885,0.829,0.851,0.924,0.844
"P06","Si",0.317,0.245,0.255,0.234,0.627,0.188,0.345
"P06","No",0.683,0.755,0.745,0.766,0.373,0.812,0.655
"P07","Si, lo tomaría",0.212,0.091,0.104,0.236,0.262,0.081,0.113
"P07","Probablemente si",0.308,0.243,0.29,0.295,0.324,0.266,0.24
"P07","Probablemente no",0.194,0.311,0.264,0.203,0.178,0.23,0.251
"P07","No. no lo tomaría",0.22,0.296,0.246,0.213,0.191,0.27,0.302
"P07","No sabe",0.066,0.059,0.096,0.053,0.045,0.153,0.094
"P08","Si",0.503,0.389,0.209,0.579,0.576,0.27,0.315
"P08","No",0.497,0.611,0.791,0.421,0.424,0.73,0.685
"P09","1",0.339,0.343,0.242,0.323,0.311,0.168,0.294
"P09","2",0.146,0.174,0.213,0.131,0.098,0.181,0.131
"P09","3",0.041,0.049,0.028,0.044,0.032,0.032,0.038
"P09","4",0.027,0.015,0.021,0.042,0.031,0.047,0.009
"P09","5",0.139,0.111,0.124,0.156,0.159,0.164,0.114
"P09","6",0.026,0.025,0.019,0.024,0.064,0.037,0.018
"P09","7",0.024,0.017,0.011,0.042,0,0.026,0.037
"P09","8",0.033,0.031,0.034,0.035,0.045,0.055,0.034
"P09","9",0.225,0.235,0.308,0.203,0.26,0.29,0.325
"P10","Muy convenientes",0.071,0.051,0.075,0.056,0.061,0.045,0.047
"P10","Bastante convenientes",0.051,0.045,0.062,0.049,0.052,0.055,0.049
"P10","Algo convenientes",0.103,0.099,0.121,0.087,0.062,0.217,0.147
"P10","Poco convenientes",0.214,0.22,0.186,0.239,0.289,0.098,0.173
"P10","Nada convenientes",0.423,0.395,0.325,0.415,0.404,0.311,0.385
"P10","No sabe",0.138,0.19,0.231,0.154,0.132,0.274,0.199
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.184,0.146,0.153,0.238,0.308,0.169,0.127
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.601,0.521,0.454,0.57,0.487,0.442,0.521
"P11","No sabe",0.215,0.333,0.393,0.192,0.205,0.389,0.352
"P12","Si",0.751,0.545,0.467,0.758,0.806,0.722,0.516
"P12","No",0.249,0.455,0.533,0.242,0.194,0.278,0.484
"P13","Banco Publico o cooperativo",0.53,0.643,0.536,0.415,0.48,0.464,0.593
"P13","Banco privado",0.407,0.304,0.276,0.547,0.52,0.453,0.263
"P13","No sabe",0.063,0.053,0.188,0.038,0,0.083,0.144
"P14","Banco Nacion",0.373,0.432,0.496,0.357,0.297,0.221,0.533
"P14","Banco Provincia",0.277,0.267,0.198,0.212,0.172,0.161,0.254
"P14","Banco Ciudad",0.039,0.034,0.005,0.081,0,0.091,0.016
"P14","Bancor, Banco de Cordoba",0.042,0.022,0.038,0.061,0.011,0.112,0.007
"P14","Nuevo Banco de Santa Fe",0.015,0.004,0.012,0.011,0.038,0.023,0.006
"P14","Credicoop",0.03,0.031,0.038,0.053,0.088,0.235,0.004
"P14","Otro",0.224,0.21,0.213,0.225,0.394,0.157,0.18
"P15","Santander",0.221,0.156,0.186,0.184,0.208,0.034,0.142
"P15","Galicia",0.231,0.204,0.177,0.288,0.185,0.29,0.244
"P15","Macro",0.139,0.132,0.091,0.084,0.209,0.054,0.032
"P15","Frances",0.097,0.055,0.118,0.151,0.078,0.014,0.208
"P15","ICBC",0.078,0.033,0.114,0.034,0.106,0.005,0.079
"P15","Patagonia",0.039,0.044,0.054,0.043,0.009,0.047,0.026
"P15","No sabe",0.195,0.376,0.26,0.216,0.205,0.556,0.269
