"var","categoria","Estafa por redes sociales","Estafa telefónica","Correos electrónicos falsos que dirigían a un sitio web fraudulento","Virus","Otros"
"P01","Empleado en relación de dependencia",0.326,0.201,0.427,0.208,0.261
"P01","Jubilado o pensionado",0.197,0.201,0.233,0.155,0.277
"P01","Desempleado",0.271,0.342,0.155,0.106,0.186
"P01","Monotributista o autónomo",0.127,0.153,0.113,0.186,0.207
"P01","Empresario",0.017,0.003,0.03,0.021,0.026
"P01","Estudiante",0.028,0.064,0.008,0,0
"P01","Otro",0.034,0.036,0.034,0.324,0.043
"P02","Menos de $50.000 mensuales",0.461,0.408,0.453,0.627,0.382
"P02","Entre $50.000 y $100.000 mensuales",0.214,0.24,0.311,0.13,0.249
"P02","Entre $100.000 y $150.000 mensuales",0.16,0.169,0.078,0,0.166
"P02","Entre $150.000 y $200.000 mensuales",0.073,0.082,0.063,0.021,0.093
"P02","Entre $200.000 y $250.000 mensuales",0.028,0.038,0.01,0,0.038
"P02","Entre $250.000 y $300.000 mensuales",0.016,0.013,0.01,0,0.036
"P02","Más de $300.000",0.048,0.05,0.075,0.222,0.036
"P03","Si, tengo",0.198,0.201,0.162,0.082,0.151
"P03","No, no tengo",0.802,0.799,0.838,0.918,0.849
"P04","Si",0.47,0.375,0.451,0,0.213
"P04","No",0.53,0.625,0.549,1,0.787
"P05","Si",0.275,0.19,0.122,0.083,0.219
"P05","No",0.725,0.81,0.878,0.917,0.781
"P06","Si",0.191,0.401,0.381,1,0.399
"P06","No",0.809,0.599,0.619,0,0.601
"P07","Si, lo tomaría",0.235,0.412,0.143,0.056,0.257
"P07","Probablemente si",0.332,0.287,0.455,0.512,0.308
"P07","Probablemente no",0.209,0.071,0.211,0.023,0.159
"P07","No. no lo tomaría",0.201,0.123,0.152,0.409,0.256
"P07","No sabe",0.023,0.107,0.039,0,0.02
"P08","Si",0.474,0.424,0.475,0.656,0.628
"P08","No",0.526,0.576,0.525,0.344,0.372
"P09","1",0.367,0.348,0.285,0.502,0.33
"P09","2",0.208,0.138,0.242,0.202,0.113
"P09","3",0.038,0.03,0,0,0.061
"P09","4",0.028,0.023,0.017,0,0.038
"P09","5",0.088,0.094,0.207,0,0.154
"P09","6",0.036,0.01,0.004,0.027,0.033
"P09","7",0.016,0.039,0.004,0,0.047
"P09","8",0.029,0.016,0.026,0.04,0.027
"P09","9",0.19,0.302,0.215,0.229,0.197
"P10","Muy convenientes",0.091,0.106,0.132,0,0.065
"P10","Bastante convenientes",0.069,0.104,0.006,0.07,0.041
"P10","Algo convenientes",0.183,0.101,0.145,0.222,0.074
"P10","Poco convenientes",0.206,0.183,0.144,0.158,0.219
"P10","Nada convenientes",0.354,0.328,0.456,0.55,0.492
"P10","No sabe",0.097,0.178,0.117,0,0.109
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.272,0.15,0.271,0.128,0.285
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.557,0.565,0.505,0.825,0.56
"P11","No sabe",0.171,0.285,0.224,0.047,0.155
"P12","Si",0.661,0.718,0.57,0.516,0.777
"P12","No",0.339,0.282,0.43,0.484,0.223
"P13","Banco Publico o cooperativo",0.619,0.587,0.528,0.211,0.452
"P13","Banco privado",0.331,0.384,0.358,0.789,0.478
"P13","No sabe",0.05,0.029,0.114,0,0.07
"P14","Banco Nacion",0.377,0.495,0.332,0,0.466
"P14","Banco Provincia",0.132,0.186,0.254,1,0.31
"P14","Banco Ciudad",0.013,0.012,0.037,0,0.037
"P14","Bancor, Banco de Cordoba",0.02,0.071,0.081,0,0.037
"P14","Nuevo Banco de Santa Fe",0,0,0.011,0,0.001
"P14","Credicoop",0.094,0.036,0,0,0.036
"P14","Otro",0.364,0.2,0.285,0,0.113
"P15","Santander",0.103,0.089,0.081,0,0.196
"P15","Galicia",0.31,0.264,0.537,0,0.203
"P15","Macro",0.203,0.102,0.058,0.167,0.107
"P15","Frances",0.139,0.123,0.22,0.726,0.143
"P15","ICBC",0.122,0.064,0.028,0,0.069
"P15","Patagonia",0.011,0.036,0,0.059,0.034
"P15","No sabe",0.112,0.322,0.076,0.048,0.248
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.29,0.299,0.256,0.221,0.303
"P16","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá",0.47,0.437,0.49,0.682,0.328
"P16","No sabe",0.24,0.264,0.254,0.097,0.369
"P17","Porque son mas seguras",0.209,0.252,0.145,0.181,0.182
"P17","Porque los costos del servicio son menores",0.273,0.278,0.407,0.146,0.251
"P17","Porque tienen mas clientes adheridos",0.157,0.112,0.1,0.248,0.09
"P17","Porque la calidad de la aplicación",0.124,0.105,0.065,0,0.069
"P17","Por la calidad de la atención al cliente",0.056,0.047,0.024,0.106,0.054
"P17","Por la eficiencia en la solución de reclamos",0.03,0.022,0.047,0.02,0.028
"P17","No sabe",0.151,0.184,0.212,0.299,0.326
"P18","Si, las conozco",0.403,0.411,0.37,0.581,0.345
"P18","No, no las conozco",0.597,0.589,0.63,0.419,0.655
"P19","Si",0.522,0.5,0.463,0.808,0.561
"P19","No",0.478,0.5,0.537,0.192,0.439
"P20","MODO",0.429,0.148,0.366,0.109,0.229
"P20","Cuenta DNI",0.164,0.186,0.182,0,0.147
"P20","Mercado de Pago",0.256,0.454,0.345,0.8,0.31
"P20","Ualá",0.018,0.039,0.009,0,0.008
"P20","Brubank",0.005,0,0,0,0.052
"P20","Naranja X",0.06,0.057,0.01,0,0.04
"P20","Otra",0.068,0.116,0.088,0.091,0.214
"P21","Para pagar en comercios con el celular",0.46,0.356,0.563,0.038,0.455
"P21","Para transferir / enviar o recibir dinero de terceros",0.318,0.229,0.165,0.243,0.233
"P21","Para usarla para trabajar / cobrar / vender",0.081,0.24,0.198,0.63,0.154
"P21","Para pagar servicios",0.078,0.064,0.074,0,0.117
"P21","Para extraer dinero sin tarjeta",0.045,0.049,0,0.053,0.006
"P21","Para recargar el celular / tarjeta de transporte",0.018,0.062,0,0.036,0.035
"P22","Usas más efectivo que antes",0.319,0.109,0.097,0,0.067
"P22","Usas la misma cantidad de efectivo que antes",0.185,0.301,0.478,0.164,0.235
"P22","Usas menos efectivo que antes",0.496,0.59,0.425,0.836,0.698
"P23","Tener mayor control de tus gastos",0.575,0.606,0.468,0.276,0.404
"P23","Tener igual control de tus gastos",0.273,0.33,0.407,0.724,0.413
"P23","Tener menor control de tus gastos",0.152,0.064,0.125,0,0.183
"P24","Muy de acuerdo",0.533,0.639,0.238,0.262,0.355
"P24","De acuerdo",0.16,0.179,0.148,0.521,0.228
"P24","Algo de acuerdo",0.219,0.129,0.424,0.164,0.215
"P24","Poco de acuerdo",0.048,0.022,0.171,0,0.037
"P24","Nada de acuerdo",0.04,0.031,0.019,0.053,0.165
"P25","Deberían mantenerse y ampliarse aún mas",0.387,0.478,0.283,0.294,0.427
"P25","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales",0.451,0.36,0.397,0.621,0.346
"P25","Deberian limitarse a los estrictamente necesarios",0.081,0.099,0.172,0.065,0.121
"P25","Deberian eliminarse y volverse a la situación anterior",0.081,0.063,0.148,0.02,0.106
"P26","Sí, compraría",0.308,0.32,0.212,0.284,0.241
"P26","No, no tengo suficiente información",0.506,0.463,0.467,0.453,0.424
"P26","No, me resulta una inversión riesgosa",0.087,0.134,0.089,0.097,0.126
"P26","No, me parece una inversión poco confiable",0.053,0.03,0.102,0,0.111
"P26","No me interesa",0.046,0.053,0.13,0.166,0.098
"P27","Si",0.353,0.359,0.282,0.366,0.384
"P27","No",0.647,0.641,0.718,0.634,0.616
"P28","Muy seguro",0.356,0.407,0.424,0.574,0.288
"P28","Bastante seguro",0.201,0.271,0.129,0.025,0.194
"P28","Seguro",0.106,0.105,0.179,0.244,0.174
"P28","Poco seguro",0.134,0.071,0.123,0.067,0.134
"P28","Nada seguro",0.117,0.069,0.109,0,0.089
"P28","No hago operaciones online",0.086,0.077,0.036,0.09,0.121
"P31","Informar y asesorar a los usuarios/as sobre esta temática",0.343,0.156,0.193,0.232,0.231
"P31","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual",0.168,0.302,0.133,0,0.177
"P31","Generar productos bancarios que aseguren a los clientes ante estas situaciones",0.354,0.362,0.469,0.195,0.347
"P31","No sabe",0.135,0.18,0.205,0.573,0.245
"P32","Si, he limitado las operaciones",0.361,0.432,0.27,0.325,0.292
"P32","He limitado parcialmente",0.26,0.303,0.312,0,0.278
"P32","No, continúo operando igual que siempre",0.379,0.265,0.418,0.675,0.43
"P33","1",0.364,0.394,0.271,0.636,0.297
"P33","2",0.073,0.169,0.229,0.083,0.094
"P33","3",0.107,0.036,0.115,0.162,0.101
"P33","4",0.025,0.034,0.017,0.023,0.058
