"var","categoria","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá","No sabe"
"P01","Empleado en relación de dependencia",0.326,0.302,0.211
"P01","Jubilado o pensionado",0.203,0.129,0.366
"P01","Desempleado",0.262,0.264,0.249
"P01","Monotributista o autónomo",0.118,0.169,0.091
"P01","Empresario",0.009,0.026,0.013
"P01","Estudiante",0.019,0.033,0.013
"P01","Otro",0.063,0.077,0.057
"P02","Menos de $50.000 mensuales",0.448,0.437,0.533
"P02","Entre $50.000 y $100.000 mensuales",0.218,0.218,0.235
"P02","Entre $100.000 y $150.000 mensuales",0.175,0.162,0.115
"P02","Entre $150.000 y $200.000 mensuales",0.064,0.075,0.052
"P02","Entre $200.000 y $250.000 mensuales",0.034,0.037,0.022
"P02","Entre $250.000 y $300.000 mensuales",0.016,0.017,0.018
"P02","Más de $300.000",0.045,0.054,0.025
"P03","Si, tengo",0.145,0.118,0.106
"P03","No, no tengo",0.855,0.882,0.894
"P04","Si",0.293,0.276,0.236
"P04","No",0.707,0.724,0.764
"P05","Si",0.181,0.169,0.125
"P05","No",0.819,0.831,0.875
"P06","Si",0.257,0.262,0.26
"P06","No",0.743,0.738,0.74
"P07","Si, lo tomaría",0.209,0.2,0.107
"P07","Probablemente si",0.296,0.311,0.244
"P07","Probablemente no",0.213,0.216,0.256
"P07","No. no lo tomaría",0.226,0.202,0.303
"P07","No sabe",0.056,0.071,0.09
"P08","Si",0.535,0.464,0.38
"P08","No",0.465,0.536,0.62
"P09","1",0.369,0.301,0.318
"P09","2",0.131,0.168,0.146
"P09","3",0.044,0.045,0.045
"P09","4",0.026,0.028,0.022
"P09","5",0.132,0.159,0.108
"P09","6",0.018,0.023,0.025
"P09","7",0.024,0.03,0.017
"P09","8",0.04,0.036,0.031
"P09","9",0.216,0.21,0.288
"P10","Muy convenientes",0.074,0.074,0.057
"P10","Bastante convenientes",0.064,0.055,0.041
"P10","Algo convenientes",0.118,0.121,0.093
"P10","Poco convenientes",0.221,0.204,0.204
"P10","Nada convenientes",0.42,0.389,0.373
"P10","No sabe",0.103,0.157,0.232
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.178,0.212,0.132
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.623,0.519,0.508
"P11","No sabe",0.199,0.269,0.36
"P12","Si",0.712,0.574,0.529
"P12","No",0.288,0.426,0.471
"P13","Banco Publico o cooperativo",0.706,0.45,0.476
"P13","Banco privado",0.231,0.501,0.366
"P13","No sabe",0.063,0.049,0.158
"P14","Banco Nacion",0.528,0.364,0.343
"P14","Banco Provincia",0.288,0.228,0.232
"P14","Banco Ciudad",0.022,0.05,0.038
"P14","Bancor, Banco de Cordoba",0.028,0.042,0.04
"P14","Nuevo Banco de Santa Fe",0.013,0.013,0.005
"P14","Credicoop",0.029,0.038,0.043
"P14","Otro",0.092,0.265,0.299
"P15","Santander",0.178,0.199,0.181
"P15","Galicia",0.271,0.246,0.212
"P15","Macro",0.093,0.104,0.134
"P15","Frances",0.128,0.116,0.078
"P15","ICBC",0.062,0.078,0.048
"P15","Patagonia",0.051,0.033,0.048
"P15","No sabe",0.217,0.224,0.299
"P17","Porque son mas seguras",0.534,0.107,0.061
"P17","Porque los costos del servicio son menores",0.201,0.379,0.063
"P17","Porque tienen mas clientes adheridos",0.045,0.164,0.157
"P17","Porque la calidad de la aplicación",0.065,0.162,0.034
"P17","Por la calidad de la atención al cliente",0.037,0.037,0.019
"P17","Por la eficiencia en la solución de reclamos",0.016,0.033,0.011
"P17","No sabe",0.102,0.118,0.655
"P18","Si, las conozco",0.485,0.411,0.206
"P18","No, no las conozco",0.515,0.589,0.794
"P19","Si",0.655,0.645,0.195
"P19","No",0.345,0.355,0.805
"P20","MODO",0.305,0.14,0.113
"P20","Cuenta DNI",0.313,0.044,0.084
"P20","Mercado de Pago",0.215,0.65,0.336
"P20","Ualá",0.011,0.032,0.039
"P20","Brubank",0.019,0.015,0.04
"P20","Naranja X",0.011,0.02,0.042
"P20","Otra",0.126,0.099,0.346
"P21","Para pagar en comercios con el celular",0.457,0.377,0.385
"P21","Para transferir / enviar o recibir dinero de terceros",0.349,0.28,0.275
"P21","Para usarla para trabajar / cobrar / vender",0.088,0.194,0.132
"P21","Para pagar servicios",0.074,0.094,0.119
"P21","Para extraer dinero sin tarjeta",0.015,0.018,0.012
"P21","Para recargar el celular / tarjeta de transporte",0.017,0.037,0.077
"P22","Usas más efectivo que antes",0.123,0.097,0.123
"P22","Usas la misma cantidad de efectivo que antes",0.262,0.28,0.406
"P22","Usas menos efectivo que antes",0.615,0.623,0.471
"P23","Tener mayor control de tus gastos",0.424,0.415,0.333
"P23","Tener igual control de tus gastos",0.457,0.444,0.504
"P23","Tener menor control de tus gastos",0.119,0.141,0.163
"P24","Muy de acuerdo",0.383,0.414,0.207
"P24","De acuerdo",0.257,0.255,0.255
"P24","Algo de acuerdo",0.231,0.192,0.288
"P24","Poco de acuerdo",0.062,0.07,0.14
"P24","Nada de acuerdo",0.067,0.069,0.11
"P25","Deberían mantenerse y ampliarse aún mas",0.414,0.388,0.194
"P25","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales",0.489,0.444,0.443
"P25","Deberian limitarse a los estrictamente necesarios",0.062,0.081,0.13
"P25","Deberian eliminarse y volverse a la situación anterior",0.035,0.087,0.233
"P26","Sí, compraría",0.204,0.279,0.084
"P26","No, no tengo suficiente información",0.482,0.434,0.515
"P26","No, me resulta una inversión riesgosa",0.125,0.103,0.103
"P26","No, me parece una inversión poco confiable",0.07,0.079,0.1
"P26","No me interesa",0.119,0.105,0.198
"P27","Si",0.255,0.336,0.133
"P27","No",0.745,0.664,0.867
"P28","Muy seguro",0.325,0.274,0.083
"P28","Bastante seguro",0.306,0.321,0.216
"P28","Seguro",0.197,0.197,0.165
"P28","Poco seguro",0.072,0.083,0.105
"P28","Nada seguro",0.023,0.041,0.112
"P28","No hago operaciones online",0.077,0.084,0.319
"P29","Sí, he sido víctima",0.192,0.196,0.128
"P29","No, no he sido víctima",0.745,0.717,0.69
"P29","No sabe",0.063,0.087,0.182
"P30","Estafa por redes sociales",0.305,0.34,0.254
"P30","Estafa telefónica",0.189,0.19,0.168
"P30","Correos electrónicos falsos que dirigían a un sitio web fraudulento",0.124,0.163,0.123
"P30","Virus",0.016,0.034,0.007
"P30","Otros",0.366,0.273,0.448
"P31","Informar y asesorar a los usuarios/as sobre esta temática",0.27,0.192,0.152
"P31","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual",0.315,0.349,0.207
"P31","Generar productos bancarios que aseguren a los clientes ante estas situaciones",0.266,0.291,0.263
"P31","No sabe",0.149,0.168,0.378
"P32","Si, he limitado las operaciones",0.23,0.169,0.22
"P32","He limitado parcialmente",0.243,0.249,0.203
"P32","No, continúo operando igual que siempre",0.527,0.582,0.577
"P33","1",0.21,0.301,0.292
"P33","2",0.117,0.124,0.101
"P33","3",0.128,0.164,0.122
"P33","4",0.049,0.053,0.056
"P33","5",0.167,0.172,0.173
"P33","6",0.058,0.044,0.049
"P33","7",0.056,0.031,0.025
"P33","8",0.042,0.031,0.033
