"var","categoria","Informar y asesorar a los usuarios/as sobre esta temática","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual","Generar productos bancarios que aseguren a los clientes ante estas situaciones","No sabe"
"P01","Empleado en relación de dependencia",0.307,0.3,0.293,0.218
"P01","Jubilado o pensionado",0.282,0.243,0.229,0.344
"P01","Desempleado",0.203,0.205,0.189,0.256
"P01","Monotributista o autónomo",0.146,0.118,0.176,0.08
"P01","Empresario",0.014,0.017,0.022,0.012
"P01","Estudiante",0.02,0.035,0.023,0.008
"P01","Otro",0.028,0.082,0.068,0.082
"P02","Menos de $50.000 mensuales",0.43,0.381,0.383,0.565
"P02","Entre $50.000 y $100.000 mensuales",0.243,0.239,0.275,0.207
"P02","Entre $100.000 y $150.000 mensuales",0.182,0.183,0.149,0.109
"P02","Entre $150.000 y $200.000 mensuales",0.052,0.083,0.089,0.052
"P02","Entre $200.000 y $250.000 mensuales",0.037,0.032,0.041,0.032
"P02","Entre $250.000 y $300.000 mensuales",0.019,0.022,0.017,0.009
"P02","Más de $300.000",0.037,0.06,0.046,0.026
"P03","Si, tengo",0.13,0.147,0.106,0.11
"P03","No, no tengo",0.87,0.853,0.894,0.89
"P04","Si",0.358,0.325,0.217,0.246
"P04","No",0.642,0.675,0.783,0.754
"P05","Si",0.16,0.133,0.172,0.128
"P05","No",0.84,0.867,0.828,0.872
"P06","Si",0.266,0.235,0.323,0.33
"P06","No",0.734,0.765,0.677,0.67
"P07","Si, lo tomaría",0.256,0.196,0.186,0.086
"P07","Probablemente si",0.255,0.308,0.291,0.245
"P07","Probablemente no",0.223,0.201,0.213,0.27
"P07","No. no lo tomaría",0.226,0.234,0.241,0.279
"P07","No sabe",0.04,0.061,0.069,0.12
"P08","Si",0.547,0.516,0.59,0.352
"P08","No",0.453,0.484,0.41,0.648
"P09","1",0.389,0.357,0.358,0.294
"P09","2",0.133,0.184,0.141,0.124
"P09","3",0.063,0.038,0.045,0.047
"P09","4",0.016,0.025,0.03,0.029
"P09","5",0.124,0.135,0.159,0.119
"P09","6",0.023,0.02,0.035,0.025
"P09","7",0.022,0.022,0.015,0.02
"P09","8",0.027,0.029,0.036,0.031
"P09","9",0.203,0.19,0.181,0.311
"P10","Muy convenientes",0.083,0.084,0.037,0.048
"P10","Bastante convenientes",0.053,0.071,0.036,0.039
"P10","Algo convenientes",0.157,0.103,0.116,0.082
"P10","Poco convenientes",0.225,0.228,0.232,0.173
"P10","Nada convenientes",0.394,0.364,0.444,0.371
"P10","No sabe",0.088,0.15,0.135,0.287
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.208,0.212,0.174,0.149
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.63,0.578,0.639,0.428
"P11","No sabe",0.162,0.21,0.187,0.423
"P12","Si",0.71,0.608,0.696,0.53
"P12","No",0.29,0.392,0.304,0.47
"P13","Banco Publico o cooperativo",0.584,0.567,0.525,0.502
"P13","Banco privado",0.372,0.381,0.436,0.354
"P13","No sabe",0.044,0.052,0.039,0.144
"P14","Banco Nacion",0.416,0.433,0.39,0.4
"P14","Banco Provincia",0.246,0.256,0.286,0.264
"P14","Banco Ciudad",0.042,0.028,0.047,0.045
"P14","Bancor, Banco de Cordoba",0.025,0.03,0.043,0.054
"P14","Nuevo Banco de Santa Fe",0.021,0.006,0.012,0.014
"P14","Credicoop",0.054,0.034,0.041,0.03
"P14","Otro",0.196,0.213,0.181,0.193
"P15","Santander",0.2,0.192,0.177,0.197
"P15","Galicia",0.155,0.242,0.282,0.194
"P15","Macro",0.102,0.103,0.083,0.18
"P15","Frances",0.118,0.127,0.132,0.07
"P15","ICBC",0.04,0.121,0.097,0.012
"P15","Patagonia",0.048,0.051,0.043,0.019
"P15","No sabe",0.337,0.164,0.186,0.328
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.353,0.283,0.25,0.16
"P16","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá",0.363,0.452,0.397,0.26
"P16","No sabe",0.284,0.265,0.353,0.58
"P17","Porque son mas seguras",0.261,0.201,0.17,0.151
"P17","Porque los costos del servicio son menores",0.235,0.284,0.242,0.119
"P17","Porque tienen mas clientes adheridos",0.139,0.15,0.175,0.084
"P17","Porque la calidad de la aplicación",0.105,0.085,0.108,0.076
"P17","Por la calidad de la atención al cliente",0.019,0.04,0.02,0.035
"P17","Por la eficiencia en la solución de reclamos",0.01,0.028,0.03,0.011
"P17","No sabe",0.231,0.212,0.255,0.524
"P18","Si, las conozco",0.417,0.403,0.336,0.244
