"var","categoria","Santander","Galicia","Macro","Frances","ICBC","Patagonia","No sabe"
"P01","Empleado en relación de dependencia",0.403,0.341,0.415,0.313,0.411,0.316,0.258
"P01","Jubilado o pensionado",0.158,0.167,0.219,0.098,0.099,0.198,0.275
"P01","Desempleado",0.154,0.118,0.123,0.173,0.273,0.199,0.156
"P01","Monotributista o autónomo",0.215,0.272,0.16,0.312,0.115,0.223,0.183
"P01","Empresario",0.035,0.025,0.058,0.023,0.052,0.007,0.025
"P01","Estudiante",0.005,0.036,0.014,0.004,0.002,0.032,0.062
"P01","Otro",0.03,0.041,0.011,0.077,0.048,0.025,0.041
"P02","Menos de $50.000 mensuales",0.248,0.288,0.257,0.268,0.353,0.187,0.373
"P02","Entre $50.000 y $100.000 mensuales",0.279,0.28,0.379,0.213,0.173,0.304,0.293
"P02","Entre $100.000 y $150.000 mensuales",0.193,0.174,0.159,0.246,0.198,0.235,0.191
"P02","Entre $150.000 y $200.000 mensuales",0.12,0.113,0.127,0.134,0.059,0.132,0.059
"P02","Entre $200.000 y $250.000 mensuales",0.083,0.047,0.027,0.056,0.053,0.086,0.045
"P02","Entre $250.000 y $300.000 mensuales",0.03,0.035,0.021,0.008,0.035,0.027,0.015
"P02","Más de $300.000",0.047,0.063,0.03,0.075,0.129,0.029,0.024
"P03","Si, tengo",0.101,0.12,0.073,0.098,0.044,0.066,0.049
"P03","No, no tengo",0.899,0.88,0.927,0.902,0.956,0.934,0.951
"P04","Si",0.122,0.299,0.372,0.196,0,0,0.071
"P04","No",0.878,0.701,0.628,0.804,1,1,0.929
"P05","Si",0.193,0.189,0.243,0.24,0.152,0.215,0.199
"P05","No",0.807,0.811,0.757,0.76,0.848,0.785,0.801
"P06","Si",0.264,0.354,0.141,0.105,0.387,0,0.288
"P06","No",0.736,0.646,0.859,0.895,0.613,1,0.712
"P07","Si, lo tomaría",0.326,0.321,0.191,0.321,0.3,0.075,0.161
"P07","Probablemente si",0.243,0.292,0.32,0.294,0.297,0.2,0.228
"P07","Probablemente no",0.173,0.108,0.283,0.148,0.281,0.284,0.234
"P07","No. no lo tomaría",0.218,0.21,0.202,0.209,0.122,0.407,0.305
"P07","No sabe",0.04,0.069,0.004,0.028,0,0.034,0.072
"P08","Si",0.621,0.59,0.614,0.671,0.597,0.63,0.527
"P08","No",0.379,0.41,0.386,0.329,0.403,0.37,0.473
"P09","1",0.368,0.376,0.277,0.392,0.39,0.324,0.283
"P09","2",0.075,0.127,0.149,0.073,0.093,0.145,0.131
"P09","3",0.029,0.058,0.012,0.109,0.058,0.062,0.075
"P09","4",0.045,0.014,0.032,0.017,0.054,0.009,0.048
"P09","5",0.166,0.151,0.194,0.175,0.171,0.148,0.182
"P09","6",0.022,0.033,0.03,0.039,0.067,0.008,0.026
"P09","7",0.049,0.042,0.013,0.025,0.015,0.017,0.024
"P09","8",0.039,0.031,0.058,0.017,0.019,0.017,0.029
"P09","9",0.207,0.168,0.235,0.153,0.133,0.27,0.202
"P10","Muy convenientes",0.037,0.076,0.035,0.062,0.157,0.014,0.04
"P10","Bastante convenientes",0.022,0.052,0.037,0.052,0.027,0.021,0.046
"P10","Algo convenientes",0.109,0.106,0.059,0.104,0.087,0.059,0.095
"P10","Poco convenientes",0.223,0.203,0.345,0.234,0.16,0.291,0.243
"P10","Nada convenientes",0.48,0.448,0.361,0.467,0.461,0.474,0.446
"P10","No sabe",0.129,0.115,0.163,0.081,0.108,0.141,0.13
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.213,0.303,0.189,0.289,0.269,0.113,0.239
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.609,0.454,0.578,0.578,0.527,0.6,0.563
"P11","No sabe",0.178,0.243,0.233,0.133,0.204,0.287,0.198
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.174,0.209,0.152,0.225,0.178,0.227,0.16
"P16","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá",0.479,0.47,0.42,0.506,0.549,0.359,0.408
"P16","No sabe",0.347,0.321,0.428,0.269,0.273,0.414,0.432
"P17","Porque son mas seguras",0.142,0.166,0.129,0.18,0.184,0.208,0.172
"P17","Porque los costos del servicio son menores",0.243,0.239,0.171,0.252,0.159,0.196,0.187
"P17","Porque tienen mas clientes adheridos",0.195,0.186,0.078,0.138,0.263,0.17,0.144
"P17","Porque la calidad de la aplicación",0.074,0.116,0.196,0.173,0.128,0.083,0.095
"P17","Por la calidad de la atención al cliente",0.021,0.057,0.062,0.02,0.016,0,0.035
"P17","Por la eficiencia en la solución de reclamos",0.015,0.014,0.04,0.057,0.04,0.003,0.025
"P17","No sabe",0.31,0.222,0.324,0.18,0.21,0.34,0.342
"P18","Si, las conozco",0.326,0.403,0.287,0.372,0.356,0.372,0.394
"P18","No, no las conozco",0.674,0.597,0.713,0.628,0.644,0.628,0.606
"P19","Si",0.607,0.6,0.534,0.613,0.594,0.589,0.535
"P19","No",0.393,0.4,0.466,0.387,0.406,0.411,0.465
"P20","MODO",0.116,0.184,0.101,0.049,0.061,0.104,0.14
"P20","Cuenta DNI",0.066,0.084,0.058,0.167,0.009,0.258,0.056
"P20","Mercado de Pago",0.615,0.59,0.529,0.606,0.761,0.456,0.375
"P20","Ualá",0.031,0.022,0.043,0.016,0.1,0.168,0.022
"P20","Brubank",0.042,0.02,0.069,0.006,0.018,0,0.028
"P20","Naranja X",0.002,0.039,0.008,0.068,0.039,0.007,0.06
"P20","Otra",0.128,0.061,0.192,0.088,0.012,0.007,0.319
"P21","Para pagar en comercios con el celular",0.414,0.341,0.388,0.446,0.366,0.404,0.44
"P21","Para transferir / enviar o recibir dinero de terceros",0.234,0.328,0.183,0.289,0.367,0.382,0.309
"P21","Para usarla para trabajar / cobrar / vender",0.089,0.222,0.152,0.119,0.233,0.013,0.052
"P21","Para pagar servicios",0.094,0.08,0.225,0.096,0.034,0.138,0.107
"P21","Para extraer dinero sin tarjeta",0.111,0.015,0.028,0.026,0,0.008,0.01
"P21","Para recargar el celular / tarjeta de transporte",0.058,0.014,0.024,0.024,0,0.055,0.082
"P22","Usas más efectivo que antes",0.04,0.113,0.04,0.037,0.025,0.193,0.142
"P22","Usas la misma cantidad de efectivo que antes",0.276,0.298,0.304,0.428,0.285,0.057,0.341
"P22","Usas menos efectivo que antes",0.684,0.589,0.656,0.535,0.69,0.75,0.517
"P23","Tener mayor control de tus gastos",0.436,0.361,0.378,0.278,0.29,0.53,0.415
"P23","Tener igual control de tus gastos",0.486,0.493,0.567,0.678,0.685,0.432,0.44
"P23","Tener menor control de tus gastos",0.078,0.146,0.055,0.044,0.025,0.038,0.145
"P24","Muy de acuerdo",0.432,0.315,0.333,0.33,0.486,0.198,0.373
"P24","De acuerdo",0.139,0.208,0.315,0.197,0.186,0.581,0.166
"P24","Algo de acuerdo",0.279,0.264,0.109,0.254,0.188,0.118,0.268
"P24","Poco de acuerdo",0.08,0.12,0.065,0.199,0.082,0.062,0.066
"P24","Nada de acuerdo",0.07,0.093,0.178,0.02,0.058,0.041,0.127
"P25","Deberían mantenerse y ampliarse aún mas",0.401,0.35,0.321,0.461,0.431,0.378,0.351
"P25","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales",0.505,0.471,0.455,0.467,0.463,0.466,0.432
"P25","Deberian limitarse a los estrictamente necesarios",0.039,0.112,0.071,0.033,0.069,0.108,0.089
"P25","Deberian eliminarse y volverse a la situación anterior",0.055,0.067,0.153,0.039,0.037,0.048,0.128
"P26","Sí, compraría",0.261,0.292,0.136,0.24,0.28,0.168,0.17
"P26","No, no tengo suficiente información",0.45,0.346,0.47,0.557,0.571,0.531,0.463
"P26","No, me resulta una inversión riesgosa",0.129,0.13,0.062,0.078,0.087,0.119,0.109
"P26","No, me parece una inversión poco confiable",0.077,0.138,0.121,0.082,0.033,0.068,0.098
"P26","No me interesa",0.083,0.094,0.211,0.043,0.029,0.114,0.16
"P27","Si",0.436,0.435,0.249,0.341,0.507,0.248,0.328
"P27","No",0.564,0.565,0.751,0.659,0.493,0.752,0.672
"P28","Muy seguro",0.301,0.319,0.305,0.231,0.37,0.202,0.225
"P28","Bastante seguro",0.313,0.261,0.211,0.335,0.22,0.338,0.206
"P28","Seguro",0.207,0.213,0.233,0.229,0.281,0.203,0.211
"P28","Poco seguro",0.053,0.069,0.088,0.087,0.082,0.144,0.134
"P28","Nada seguro",0.041,0.067,0.028,0.041,0.011,0.036,0.119
"P28","No hago operaciones online",0.085,0.071,0.135,0.077,0.036,0.077,0.105
"P29","Sí, he sido víctima",0.141,0.22,0.25,0.259,0.222,0.098,0.171
"P29","No, no he sido víctima",0.774,0.686,0.661,0.714,0.733,0.881,0.761
"P29","No sabe",0.085,0.094,0.089,0.027,0.045,0.021,0.068
"P30","Estafa por redes sociales",0.171,0.269,0.374,0.198,0.376,0.093,0.124
"P30","Estafa telefónica",0.118,0.182,0.147,0.138,0.156,0.253,0.282
"P30","Correos electrónicos falsos que dirigían a un sitio web fraudulento",0.056,0.193,0.044,0.129,0.035,0,0.035
"P30","Virus",0,0,0.037,0.124,0,0.061,0.006
"P30","Otros",0.655,0.356,0.398,0.411,0.433,0.593,0.553
"P31","Informar y asesorar a los usuarios/as sobre esta temática",0.219,0.141,0.193,0.21,0.11,0.238,0.296
"P31","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual",0.281,0.293,0.26,0.303,0.439,0.338,0.191
"P31","Generar productos bancarios que aseguren a los clientes ante estas situaciones",0.311,0.412,0.25,0.377,0.423,0.343,0.262
"P31","No sabe",0.189,0.154,0.297,0.11,0.028,0.081,0.251
"P32","Si, he limitado las operaciones",0.211,0.213,0.115,0.224,0.063,0.355,0.249
"P32","He limitado parcialmente",0.291,0.21,0.171,0.254,0.329,0.266,0.173
"P32","No, continúo operando igual que siempre",0.498,0.577,0.714,0.522,0.608,0.379,0.578
"P33","1",0.363,0.266,0.246,0.307,0.31,0.217,0.241
"P33","2",0.095,0.139,0.165,0.037,0.158,0.046,0.125
"P33","3",0.082,0.138,0.086,0.091,0.131,0.099,0.145
"P33","4",0.036,0.07,0.061,0.097,0.02,0.018,0.07
"P33","5",0.199,0.167,0.228,0.257,0.136,0.225,0.175
