"var","categoria","Si, lo tomaría","Probablemente si","Probablemente no","No. no lo tomaría","No sabe"
"P01","Empleado en relación de dependencia",0.37,0.279,0.2,0.223,0.221
"P01","Jubilado o pensionado",0.141,0.196,0.286,0.268,0.175
"P01","Desempleado",0.209,0.301,0.311,0.285,0.368
"P01","Monotributista o autónomo",0.177,0.114,0.09,0.092,0.075
"P01","Empresario",0.03,0.019,0.012,0.012,0.01
"P01","Estudiante",0.018,0.03,0.029,0.034,0.063
"P01","Otro",0.055,0.061,0.072,0.086,0.088
"P02","Menos de $50.000 mensuales",0.373,0.453,0.548,0.525,0.557
"P02","Entre $50.000 y $100.000 mensuales",0.248,0.218,0.198,0.228,0.186
"P02","Entre $100.000 y $150.000 mensuales",0.179,0.18,0.135,0.118,0.148
"P02","Entre $150.000 y $200.000 mensuales",0.067,0.061,0.047,0.053,0.045
"P02","Entre $200.000 y $250.000 mensuales",0.048,0.029,0.023,0.025,0.012
"P02","Entre $250.000 y $300.000 mensuales",0.024,0.021,0.016,0.016,0.023
"P02","Más de $300.000",0.061,0.038,0.033,0.035,0.029
"P08","Si",0.612,0.337,0.305,0.367,0.242
"P08","No",0.388,0.663,0.695,0.633,0.758
"P09","1",0.332,0.274,0.253,0.306,0.259
"P09","2",0.089,0.202,0.17,0.155,0.197
"P09","3",0.065,0.042,0.025,0.03,0.036
"P09","4",0.024,0.025,0.025,0.021,0.015
"P09","5",0.18,0.141,0.134,0.105,0.119
"P09","6",0.037,0.025,0.029,0.015,0.025
"P09","7",0.03,0.024,0.018,0.022,0.022
"P09","8",0.041,0.029,0.035,0.035,0.017
"P09","9",0.202,0.238,0.311,0.311,0.31
"P10","Muy convenientes",0.099,0.065,0.044,0.038,0.02
"P10","Bastante convenientes",0.062,0.062,0.038,0.032,0.025
"P10","Algo convenientes",0.11,0.15,0.121,0.066,0.073
"P10","Poco convenientes",0.216,0.213,0.259,0.171,0.129
"P10","Nada convenientes",0.388,0.336,0.367,0.466,0.318
"P10","No sabe",0.125,0.174,0.171,0.227,0.435
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.254,0.164,0.167,0.178,0.125
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.571,0.518,0.453,0.486,0.449
"P11","No sabe",0.175,0.318,0.38,0.336,0.426
"P12","Si",0.729,0.616,0.524,0.572,0.489
"P12","No",0.271,0.384,0.476,0.428,0.511
"P13","Banco Publico o cooperativo",0.488,0.572,0.542,0.511,0.448
"P13","Banco privado",0.481,0.349,0.339,0.376,0.314
"P13","No sabe",0.031,0.079,0.119,0.113,0.238
"P14","Banco Nacion",0.398,0.41,0.414,0.407,0.496
"P14","Banco Provincia",0.204,0.222,0.276,0.258,0.257
"P14","Banco Ciudad",0.031,0.049,0.035,0.03,0.021
"P14","Bancor, Banco de Cordoba",0.039,0.04,0.046,0.045,0.011
"P14","Nuevo Banco de Santa Fe",0.022,0.013,0.012,0.012,0.006
"P14","Credicoop",0.059,0.03,0.021,0.072,0.016
"P14","Otro",0.247,0.236,0.196,0.176,0.193
"P15","Santander",0.234,0.166,0.16,0.165,0.155
"P15","Galicia",0.291,0.252,0.127,0.202,0.333
"P15","Macro",0.081,0.129,0.154,0.09,0.009
"P15","Frances",0.125,0.109,0.074,0.086,0.057
"P15","ICBC",0.083,0.078,0.1,0.036,0
"P15","Patagonia",0.013,0.033,0.062,0.074,0.031
"P15","No sabe",0.173,0.233,0.323,0.347,0.415
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.299,0.25,0.218,0.215,0.175
"P16","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá",0.44,0.402,0.339,0.295,0.346
"P16","No sabe",0.261,0.348,0.443,0.49,0.479
"P17","Porque son mas seguras",0.222,0.203,0.2,0.173,0.138
"P17","Porque los costos del servicio son menores",0.281,0.236,0.189,0.142,0.135
"P17","Porque tienen mas clientes adheridos",0.14,0.139,0.113,0.111,0.166
"P17","Porque la calidad de la aplicación",0.124,0.079,0.092,0.08,0.086
"P17","Por la calidad de la atención al cliente",0.022,0.028,0.029,0.03,0.032
