"var","categoria","Si, tengo","No, no tengo"
"P01","Empleado en relación de dependencia",0.305,0.265
"P01","Jubilado o pensionado",0.261,0.22
"P01","Desempleado",0.252,0.284
"P01","Monotributista o autónomo",0.098,0.11
"P01","Empresario",0.021,0.016
"P01","Estudiante",0.019,0.031
"P01","Otro",0.044,0.074
"P02","Menos de $50.000 mensuales",0.635,0.485
"P02","Entre $50.000 y $100.000 mensuales",0.137,0.226
"P02","Entre $100.000 y $150.000 mensuales",0.103,0.148
"P02","Entre $150.000 y $200.000 mensuales",0.049,0.056
"P02","Entre $200.000 y $250.000 mensuales",0.029,0.027
"P02","Entre $250.000 y $300.000 mensuales",0.013,0.019
"P02","Más de $300.000",0.034,0.039
"P08","Si",0.416,0.385
"P08","No",0.584,0.615
"P09","1",0.355,0.298
"P09","2",0.206,0.163
"P09","3",0.034,0.04
"P09","4",0.024,0.023
"P09","5",0.087,0.135
"P09","6",0.024,0.024
"P09","7",0.018,0.022
"P09","8",0.045,0.033
"P09","9",0.207,0.262
"P10","Muy convenientes",0.114,0.057
"P10","Bastante convenientes",0.067,0.05
"P10","Algo convenientes",0.089,0.112
"P10","Poco convenientes",0.203,0.208
"P10","Nada convenientes",0.392,0.383
"P10","No sabe",0.135,0.19
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.158,0.173
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.583,0.522
"P11","No sabe",0.259,0.305
"P12","Si",0.623,0.613
"P12","No",0.377,0.387
"P13","Banco Publico o cooperativo",0.662,0.525
"P13","Banco privado",0.264,0.389
"P13","No sabe",0.074,0.086
"P14","Banco Nacion",0.457,0.41
"P14","Banco Provincia",0.204,0.253
"P14","Banco Ciudad",0.041,0.033
"P14","Bancor, Banco de Cordoba",0.031,0.037
"P14","Nuevo Banco de Santa Fe",0.006,0.012
"P14","Credicoop",0.015,0.042
"P14","Otro",0.246,0.213
"P15","Santander",0.226,0.183
"P15","Galicia",0.333,0.222
"P15","Macro",0.1,0.115
"P15","Frances",0.124,0.104
"P15","ICBC",0.034,0.067
"P15","Patagonia",0.033,0.042
"P15","No sabe",0.15,0.267
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.301,0.242
"P16","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá",0.357,0.364
"P16","No sabe",0.342,0.394
"P17","Porque son mas seguras",0.219,0.193
"P17","Porque los costos del servicio son menores",0.266,0.207
"P17","Porque tienen mas clientes adheridos",0.153,0.129
"P17","Porque la calidad de la aplicación",0.064,0.092
"P17","Por la calidad de la atención al cliente",0.033,0.029
"P17","Por la eficiencia en la solución de reclamos",0.019,0.021
"P17","No sabe",0.246,0.329
"P18","Si, las conozco",0.366,0.352
"P18","No, no las conozco",0.634,0.648
"P19","Si",0.476,0.481
"P19","No",0.524,0.519
"P20","MODO",0.269,0.183
"P20","Cuenta DNI",0.176,0.141
"P20","Mercado de Pago",0.322,0.462
"P20","Ualá",0.017,0.027
"P20","Brubank",0.006,0.023
"P20","Naranja X",0.021,0.02
"P20","Otra",0.189,0.144
"P21","Para pagar en comercios con el celular",0.439,0.402
