"var","categoria","Muy seguro","Bastante seguro","Seguro","Poco seguro","Nada seguro","No hago operaciones online"
"P01","Empleado en relación de dependencia",0.374,0.296,0.28,0.269,0.206,0.118
"P01","Jubilado o pensionado",0.158,0.241,0.2,0.277,0.373,0.387
"P01","Desempleado",0.238,0.203,0.223,0.192,0.233,0.308
"P01","Monotributista o autónomo",0.163,0.133,0.167,0.161,0.093,0.065
"P01","Empresario",0.019,0.018,0.018,0.028,0.018,0.01
"P01","Estudiante",0.013,0.033,0.031,0.024,0.02,0.01
"P01","Otro",0.035,0.076,0.081,0.049,0.057,0.102
"P02","Menos de $50.000 mensuales",0.375,0.395,0.44,0.441,0.567,0.681
"P02","Entre $50.000 y $100.000 mensuales",0.197,0.242,0.247,0.317,0.294,0.175
"P02","Entre $100.000 y $150.000 mensuales",0.21,0.164,0.154,0.112,0.058,0.076
"P02","Entre $150.000 y $200.000 mensuales",0.076,0.1,0.072,0.056,0.02,0.024
"P02","Entre $200.000 y $250.000 mensuales",0.063,0.033,0.033,0.023,0.006,0.009
"P02","Entre $250.000 y $300.000 mensuales",0.021,0.022,0.021,0.028,0.001,0.004
"P02","Más de $300.000",0.058,0.044,0.033,0.023,0.054,0.031
"P03","Si, tengo",0.144,0.132,0.101,0.109,0.109,0.098
"P03","No, no tengo",0.856,0.868,0.899,0.891,0.891,0.902
"P04","Si",0.346,0.338,0.126,0.282,0.39,0.158
"P04","No",0.654,0.662,0.874,0.718,0.61,0.842
"P05","Si",0.176,0.119,0.181,0.219,0.179,0.089
"P05","No",0.824,0.881,0.819,0.781,0.821,0.911
"P06","Si",0.273,0.33,0.263,0.315,0.384,0.194
"P06","No",0.727,0.67,0.737,0.685,0.616,0.806
"P07","Si, lo tomaría",0.237,0.173,0.182,0.17,0.212,0.063
"P07","Probablemente si",0.304,0.301,0.297,0.318,0.219,0.184
"P07","Probablemente no",0.175,0.228,0.226,0.274,0.279,0.261
"P07","No. no lo tomaría",0.228,0.224,0.246,0.198,0.258,0.331
"P07","No sabe",0.056,0.074,0.049,0.04,0.032,0.161
"P08","Si",0.577,0.516,0.501,0.447,0.473,0.28
"P08","No",0.423,0.484,0.499,0.553,0.527,0.72
"P09","1",0.38,0.341,0.312,0.335,0.355,0.328
"P09","2",0.125,0.188,0.13,0.142,0.11,0.133
"P09","3",0.05,0.046,0.058,0.05,0.031,0.03
"P09","4",0.014,0.031,0.045,0.031,0.033,0.018
"P09","5",0.156,0.121,0.163,0.16,0.081,0.087
"P09","6",0.012,0.03,0.036,0.029,0.022,0.018
"P09","7",0.02,0.027,0.03,0.016,0.022,0.005
"P09","8",0.027,0.036,0.029,0.053,0.018,0.035
"P09","9",0.216,0.18,0.197,0.184,0.328,0.346
"P10","Muy convenientes",0.107,0.074,0.035,0.058,0.056,0.028
"P10","Bastante convenientes",0.064,0.06,0.04,0.026,0.033,0.045
"P10","Algo convenientes",0.134,0.111,0.14,0.135,0.095,0.072
"P10","Poco convenientes",0.175,0.226,0.231,0.264,0.174,0.193
"P10","Nada convenientes",0.419,0.366,0.374,0.389,0.517,0.351
"P10","No sabe",0.101,0.163,0.18,0.128,0.125,0.311
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.271,0.154,0.148,0.169,0.222,0.123
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.546,0.627,0.609,0.603,0.405,0.439
"P11","No sabe",0.183,0.219,0.243,0.228,0.373,0.438
"P12","Si",0.747,0.644,0.702,0.554,0.538,0.353
"P12","No",0.253,0.356,0.298,0.446,0.462,0.647
"P13","Banco Publico o cooperativo",0.55,0.59,0.492,0.494,0.514,0.516
"P13","Banco privado",0.425,0.35,0.411,0.414,0.383,0.315
"P13","No sabe",0.025,0.06,0.097,0.092,0.103,0.169
"P14","Banco Nacion",0.438,0.396,0.372,0.328,0.459,0.427
"P14","Banco Provincia",0.241,0.262,0.317,0.225,0.155,0.271
"P14","Banco Ciudad",0.061,0.036,0.028,0.022,0.096,0.01
"P14","Bancor, Banco de Cordoba",0.041,0.041,0.034,0.045,0.046,0.018
"P14","Nuevo Banco de Santa Fe",0.003,0.019,0.018,0.01,0,0
"P14","Credicoop",0.04,0.025,0.047,0.068,0.066,0.072
"P14","Otro",0.176,0.221,0.184,0.302,0.178,0.202
"P15","Santander",0.209,0.234,0.184,0.115,0.128,0.189
"P15","Galicia",0.264,0.233,0.225,0.179,0.249,0.189
"P15","Macro",0.119,0.089,0.116,0.108,0.05,0.17
"P15","Frances",0.09,0.14,0.114,0.105,0.071,0.096
"P15","ICBC",0.094,0.06,0.091,0.065,0.013,0.03
"P15","Patagonia",0.029,0.053,0.037,0.065,0.024,0.036
"P15","No sabe",0.195,0.191,0.233,0.363,0.465,0.29
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.388,0.284,0.274,0.212,0.095,0.118
"P16","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá",0.47,0.429,0.397,0.35,0.245,0.185
"P16","No sabe",0.142,0.287,0.329,0.438,0.66,0.697
"P17","Porque son mas seguras",0.292,0.22,0.201,0.178,0.058,0.084
"P17","Porque los costos del servicio son menores",0.294,0.266,0.215,0.228,0.175,0.103
"P17","Porque tienen mas clientes adheridos",0.122,0.16,0.162,0.123,0.128,0.088
"P17","Porque la calidad de la aplicación",0.124,0.083,0.118,0.087,0.048,0.034
"P17","Por la calidad de la atención al cliente",0.018,0.034,0.034,0.026,0.056,0.029
"P17","Por la eficiencia en la solución de reclamos",0.018,0.03,0.02,0.012,0.022,0.023
"P17","No sabe",0.132,0.207,0.25,0.346,0.513,0.639
"P18","Si, las conozco",0.444,0.365,0.378,0.321,0.244,0.18
"P18","No, no las conozco",0.556,0.635,0.622,0.679,0.756,0.82
"P19","Si",0.706,0.498,0.555,0.309,0.16,0.101
"P19","No",0.294,0.502,0.445,0.691,0.84,0.899
"P20","MODO",0.219,0.22,0.127,0.188,0.22,0.192
"P20","Cuenta DNI",0.189,0.125,0.143,0.147,0.061,0.067
"P20","Mercado de Pago",0.423,0.476,0.449,0.47,0.352,0.302
"P20","Ualá",0.023,0.016,0.039,0.025,0.058,0.078
"P20","Brubank",0.024,0.013,0.035,0.011,0.031,0.057
"P20","Naranja X",0.018,0.023,0.014,0.029,0.137,0.043
"P20","Otra",0.104,0.127,0.193,0.13,0.141,0.261
"P21","Para pagar en comercios con el celular",0.457,0.401,0.373,0.364,0.289,0.236
"P21","Para transferir / enviar o recibir dinero de terceros",0.295,0.328,0.308,0.266,0.173,0.383
"P21","Para usarla para trabajar / cobrar / vender",0.142,0.148,0.165,0.128,0.077,0.146
"P21","Para pagar servicios",0.075,0.087,0.098,0.185,0.139,0.054
"P21","Para extraer dinero sin tarjeta",0.015,0.016,0.007,0.023,0.099,0.058
"P21","Para recargar el celular / tarjeta de transporte",0.016,0.02,0.049,0.034,0.223,0.123
"P22","Usas más efectivo que antes",0.135,0.1,0.075,0.125,0.231,0.08
"P22","Usas la misma cantidad de efectivo que antes",0.218,0.291,0.284,0.381,0.47,0.532
"P22","Usas menos efectivo que antes",0.647,0.609,0.641,0.494,0.299,0.388
"P23","Tener mayor control de tus gastos",0.496,0.377,0.319,0.317,0.346,0.394
"P23","Tener igual control de tus gastos",0.388,0.497,0.561,0.525,0.329,0.416
"P23","Tener menor control de tus gastos",0.116,0.126,0.12,0.158,0.325,0.19
"P24","Muy de acuerdo",0.563,0.314,0.218,0.229,0.225,0.129
"P24","De acuerdo",0.156,0.345,0.332,0.153,0.1,0.23
"P24","Algo de acuerdo",0.16,0.203,0.293,0.384,0.199,0.413
"P24","Poco de acuerdo",0.05,0.074,0.091,0.149,0.04,0.123
"P24","Nada de acuerdo",0.071,0.064,0.066,0.085,0.436,0.105
"P25","Deberían mantenerse y ampliarse aún mas",0.513,0.355,0.3,0.263,0.157,0.162
"P25","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales",0.394,0.497,0.496,0.502,0.392,0.417
"P25","Deberian limitarse a los estrictamente necesarios",0.058,0.071,0.107,0.129,0.144,0.127
"P25","Deberian eliminarse y volverse a la situación anterior",0.035,0.077,0.097,0.106,0.307,0.294
"P26","Sí, compraría",0.333,0.193,0.186,0.159,0.131,0.033
"P26","No, no tengo suficiente información",0.431,0.498,0.495,0.509,0.527,0.46
"P26","No, me resulta una inversión riesgosa",0.111,0.1,0.097,0.135,0.124,0.107
"P26","No, me parece una inversión poco confiable",0.053,0.099,0.086,0.077,0.092,0.091
"P26","No me interesa",0.072,0.11,0.136,0.12,0.126,0.309
"P27","Si",0.457,0.194,0.253,0.221,0.19,0.057
"P27","No",0.543,0.806,0.747,0.779,0.81,0.943
"P29","Sí, he sido víctima",0.278,0.119,0.123,0.223,0.264,0.098
"P29","No, no he sido víctima",0.709,0.821,0.691,0.678,0.535,0.649
"P29","No sabe",0.013,0.06,0.186,0.099,0.201,0.253
"P30","Estafa por redes sociales",0.305,0.309,0.228,0.341,0.377,0.293
"P30","Estafa telefónica",0.21,0.252,0.134,0.109,0.134,0.157
"P30","Correos electrónicos falsos que dirigían a un sitio web fraudulento",0.167,0.091,0.175,0.144,0.161,0.056
"P30","Virus",0.034,0.003,0.036,0.012,0,0.021
"P30","Otros",0.284,0.345,0.427,0.394,0.328,0.473
"P31","Informar y asesorar a los usuarios/as sobre esta temática",0.3,0.182,0.186,0.234,0.135,0.093
"P31","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual",0.336,0.401,0.245,0.195,0.148,0.169
"P31","Generar productos bancarios que aseguren a los clientes ante estas situaciones",0.232,0.274,0.315,0.37,0.375,0.197
"P31","No sabe",0.132,0.143,0.254,0.201,0.342,0.541
"P32","Si, he limitado las operaciones",0.191,0.174,0.139,0.312,0.317,0.258
"P32","He limitado parcialmente",0.207,0.269,0.27,0.227,0.213,0.157
"P32","No, continúo operando igual que siempre",0.602,0.557,0.591,0.461,0.47,0.585
"P33","1",0.274,0.199,0.254,0.333,0.493,0.331
"P33","2",0.106,0.136,0.095,0.147,0.119,0.087
"P33","3",0.12,0.204,0.12,0.074,0.076,0.131
"P33","4",0.055,0.045,0.08,0.045,0.039,0.04
"P33","5",0.169,0.183,0.197,0.171,0.077,0.15
"P33","6",0.03,0.039,0.093,0.041,0.018,0.061
"P33","7",0.035,0.055,0.033,0.026,0.008,0.017
"P33","8",0.034,0.043,0.019,0.062,0.036,0.024
"P33","9",0.177,0.096,0.109,0.101,0.134,0.159
"P34","1",0.318,0.235,0.237,0.364,0.566,0.378
"P34","2",0.102,0.119,0.115,0.142,0.138,0.073
"P34","3",0.056,0.081,0.115,0.062,0.046,0.083
"P34","4",0.083,0.078,0.077,0.076,0.041,0.057
"P34","5",0.185,0.231,0.224,0.183,0.089,0.196
"P34","6",0.047,0.071,0.059,0.04,0.027,0.033
"P34","7",0.024,0.068,0.041,0.009,0.03,0.043
"P34","8",0.039,0.036,0.023,0.044,0.021,0.02
"P34","9",0.146,0.081,0.109,0.08,0.042,0.117
"P35","1",0.275,0.215,0.189,0.243,0.521,0.385
"P35","2",0.051,0.098,0.084,0.098,0.085,0.057
"P35","3",0.036,0.045,0.057,0.072,0.011,0.026
"P35","4",0.031,0.046,0.059,0.039,0.014,0.016
"P35","5",0.138,0.162,0.172,0.141,0.078,0.146
"P35","6",0.034,0.058,0.059,0.07,0.02,0.042
"P35","7",0.041,0.068,0.047,0.055,0.045,0.032
"P35","8",0.048,0.081,0.087,0.087,0.026,0.057
"P35","9",0.346,0.227,0.246,0.195,0.2,0.239
"P36","La falta de visión de largo plazo para el desarrollo productivo regional",0.368,0.295,0.263,0.295,0.225,0.158
"P36","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional",0.26,0.268,0.208,0.2,0.185,0.123
"P36","La ausencia de evaluaciones de impacto productivo de los programas a implementar",0.172,0.157,0.249,0.267,0.26,0.221
"P36","No sabe",0.2,0.28,0.28,0.238,0.33,0.498
"P37","Muy buena",0.12,0.099,0.072,0.097,0.121,0.05
"P37","Buena",0.126,0.137,0.12,0.104,0.105,0.111
"P37","Ni buena ni mala",0.129,0.164,0.163,0.194,0.159,0.192
"P37","Mala",0.16,0.175,0.23,0.185,0.145,0.198
"P37","Muy mala",0.457,0.416,0.405,0.419,0.403,0.376
"P37","No sabe",0.008,0.009,0.01,0.001,0.067,0.073
"P38","Gran excedente habitual",0.017,0.004,0.003,0.003,0.011,0
"P38","Gran excedente excepcional",0.016,0.008,0.008,0.019,0,0.014
"P38","Pequeño excedente habitual",0.093,0.046,0.062,0.053,0.054,0.021
"P38","Pequeño excedente excepcional",0.068,0.071,0.068,0.045,0.014,0.028
"P38","Alcanza gastos familia",0.128,0.163,0.107,0.122,0.126,0.08
"P38","No alcanza gastos familia",0.17,0.175,0.18,0.131,0.114,0.261
"P38","Solo NBFamiliares",0.222,0.276,0.28,0.274,0.263,0.224
"P38","No alcanza NBFamiliares",0.276,0.247,0.28,0.347,0.4,0.343
"P38","No sabe",0.01,0.01,0.012,0.006,0.018,0.029
"P39","Mejor",0.128,0.085,0.103,0.103,0.141,0.095
"P39","Igual",0.242,0.308,0.23,0.246,0.178,0.205
"P39","Peor",0.55,0.503,0.553,0.568,0.575,0.541
"P39","No sabe",0.08,0.104,0.114,0.083,0.106,0.159
