"var","categoria","Banco Nacion","Banco Provincia","Banco Ciudad","Bancor, Banco de Cordoba","Nuevo Banco de Santa Fe","Credicoop","Otro"
"P01","Empleado en relación de dependencia",0.289,0.365,0.36,0.366,0.44,0.253,0.333
"P01","Jubilado o pensionado",0.274,0.287,0.264,0.156,0.1,0.217,0.255
"P01","Desempleado",0.236,0.159,0.027,0.209,0.206,0.198,0.194
"P01","Monotributista o autónomo",0.098,0.099,0.267,0.191,0.116,0.16,0.119
"P01","Empresario",0.014,0.013,0,0.006,0.065,0.044,0.034
"P01","Estudiante",0.01,0.013,0.052,0.06,0.041,0.122,0.014
"P01","Otro",0.079,0.064,0.03,0.012,0.032,0.006,0.051
"P02","Menos de $50.000 mensuales",0.426,0.413,0.242,0.38,0.189,0.338,0.516
"P02","Entre $50.000 y $100.000 mensuales",0.236,0.266,0.339,0.15,0.267,0.301,0.205
"P02","Entre $100.000 y $150.000 mensuales",0.178,0.165,0.162,0.178,0.282,0.121,0.123
"P02","Entre $150.000 y $200.000 mensuales",0.055,0.06,0.108,0.218,0.071,0.084,0.08
"P02","Entre $200.000 y $250.000 mensuales",0.04,0.042,0.034,0.024,0.026,0.091,0.021
"P02","Entre $250.000 y $300.000 mensuales",0.014,0.026,0.026,0.025,0.041,0.012,0.023
"P02","Más de $300.000",0.051,0.028,0.089,0.025,0.124,0.053,0.032
"P03","Si, tengo",0.162,0.123,0.173,0.126,0.085,0.059,0.167
"P03","No, no tengo",0.838,0.877,0.827,0.874,0.915,0.941,0.833
"P04","Si",0.401,0.099,0.414,0.577,0,0.123,0.337
"P04","No",0.599,0.901,0.586,0.423,1,0.877,0.663
"P05","Si",0.18,0.213,0.087,0.196,0.172,0.188,0.187
"P05","No",0.82,0.787,0.913,0.804,0.828,0.812,0.813
"P06","Si",0.326,0.189,0.061,0.347,0.341,0.012,0.32
"P06","No",0.674,0.811,0.939,0.653,0.659,0.988,0.68
