"var","categoria","Muy convenientes","Bastante convenientes","Algo convenientes","Poco convenientes","Nada convenientes","No sabe"
"P01","Empleado en relación de dependencia",0.311,0.274,0.262,0.289,0.307,0.21
"P01","Jubilado o pensionado",0.189,0.199,0.211,0.248,0.24,0.241
"P01","Desempleado",0.316,0.318,0.296,0.24,0.226,0.336
"P01","Monotributista o autónomo",0.105,0.109,0.093,0.135,0.127,0.099
"P01","Empresario",0.016,0.017,0.009,0.024,0.018,0.012
"P01","Estudiante",0.015,0.022,0.042,0.01,0.017,0.031
"P01","Otro",0.048,0.061,0.087,0.054,0.065,0.071
"P02","Menos de $50.000 mensuales",0.548,0.541,0.505,0.443,0.452,0.553
"P02","Entre $50.000 y $100.000 mensuales",0.178,0.214,0.22,0.223,0.234,0.215
"P02","Entre $100.000 y $150.000 mensuales",0.15,0.148,0.148,0.169,0.144,0.136
"P02","Entre $150.000 y $200.000 mensuales",0.048,0.021,0.049,0.079,0.069,0.04
"P02","Entre $200.000 y $250.000 mensuales",0.009,0.027,0.022,0.032,0.037,0.02
"P02","Entre $250.000 y $300.000 mensuales",0.02,0.013,0.012,0.015,0.025,0.007
"P02","Más de $300.000",0.047,0.036,0.044,0.039,0.039,0.029
"P03","Si, tengo",0.212,0.152,0.096,0.116,0.121,0.087
"P03","No, no tengo",0.788,0.848,0.904,0.884,0.879,0.913
"P04","Si",0.377,0.288,0.223,0.248,0.239,0.191
"P04","No",0.623,0.712,0.777,0.752,0.761,0.809
"P05","Si",0.177,0.229,0.17,0.156,0.152,0.108
"P05","No",0.823,0.771,0.83,0.844,0.848,0.892
"P06","Si",0.256,0.288,0.171,0.28,0.312,0.252
"P06","No",0.744,0.712,0.829,0.72,0.688,0.748
"P07","Si, lo tomaría",0.278,0.209,0.155,0.162,0.158,0.098
"P07","Probablemente si",0.338,0.388,0.392,0.296,0.253,0.251
"P07","Probablemente no",0.185,0.188,0.253,0.29,0.222,0.199
"P07","No. no lo tomaría",0.171,0.174,0.149,0.204,0.302,0.282
"P07","No sabe",0.028,0.041,0.051,0.048,0.065,0.17
"P08","Si",0.463,0.248,0.275,0.471,0.565,0.168
"P08","No",0.537,0.752,0.725,0.529,0.435,0.832
"P09","1",0.618,0.263,0.227,0.296,0.357,0.212
"P09","2",0.119,0.363,0.159,0.164,0.112,0.243
"P09","3",0.007,0.029,0.085,0.045,0.037,0.028
"P09","4",0.006,0.021,0.04,0.04,0.018,0.024
"P09","5",0.039,0.112,0.164,0.156,0.13,0.109
"P09","6",0.005,0.011,0.039,0.024,0.023,0.027
"P09","7",0.012,0.005,0.038,0.03,0.023,0.013
"P09","8",0.013,0.014,0.033,0.04,0.039,0.034
"P09","9",0.181,0.182,0.215,0.205,0.261,0.31
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.324,0.183,0.14,0.166,0.188,0.102
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.478,0.607,0.483,0.582,0.591,0.357
"P11","No sabe",0.198,0.21,0.377,0.252,0.221,0.541
"P12","Si",0.621,0.597,0.647,0.634,0.636,0.523
"P12","No",0.379,0.403,0.353,0.366,0.364,0.477
"P13","Banco Publico o cooperativo",0.617,0.625,0.605,0.519,0.514,0.533
"P13","Banco privado",0.266,0.304,0.316,0.414,0.417,0.321
"P13","No sabe",0.117,0.071,0.079,0.067,0.069,0.146
"P14","Banco Nacion",0.431,0.457,0.448,0.389,0.42,0.392
"P14","Banco Provincia",0.279,0.137,0.223,0.241,0.275,0.225
"P14","Banco Ciudad",0.015,0.024,0.038,0.027,0.044,0.032
