"var","categoria","Muy de acuerdo","De acuerdo","Algo de acuerdo","Poco de acuerdo","Nada de acuerdo"
"P01","Empleado en relación de dependencia",0.327,0.254,0.277,0.37,0.342
"P01","Jubilado o pensionado",0.148,0.161,0.267,0.203,0.16
"P01","Desempleado",0.29,0.285,0.166,0.123,0.2
"P01","Monotributista o autónomo",0.148,0.137,0.187,0.197,0.213
"P01","Empresario",0.013,0.018,0.018,0.006,0.061
"P01","Estudiante",0.022,0.047,0.009,0.041,0.006
"P01","Otro",0.052,0.098,0.076,0.06,0.018
"P02","Menos de $50.000 mensuales",0.434,0.444,0.408,0.345,0.377
"P02","Entre $50.000 y $100.000 mensuales",0.215,0.244,0.25,0.228,0.231
"P02","Entre $100.000 y $150.000 mensuales",0.181,0.144,0.164,0.195,0.163
"P02","Entre $150.000 y $200.000 mensuales",0.067,0.08,0.067,0.084,0.107
"P02","Entre $200.000 y $250.000 mensuales",0.042,0.026,0.05,0.042,0.039
"P02","Entre $250.000 y $300.000 mensuales",0.019,0.014,0.019,0.023,0.007
"P02","Más de $300.000",0.042,0.048,0.042,0.083,0.076
"P03","Si, tengo",0.146,0.116,0.098,0.106,0.128
"P03","No, no tengo",0.854,0.884,0.902,0.894,0.872
"P04","Si",0.348,0.356,0.378,0.113,0.265
"P04","No",0.652,0.644,0.622,0.887,0.735
"P05","Si",0.188,0.136,0.181,0.174,0.202
"P05","No",0.812,0.864,0.819,0.826,0.798
"P06","Si",0.268,0.34,0.173,0.217,0.487
"P06","No",0.732,0.66,0.827,0.783,0.513
"P07","Si, lo tomaría",0.259,0.183,0.196,0.226,0.233
"P07","Probablemente si",0.27,0.258,0.309,0.283,0.221
"P07","Probablemente no",0.166,0.276,0.199,0.197,0.124
"P07","No. no lo tomaría",0.266,0.201,0.251,0.215,0.356
"P07","No sabe",0.039,0.082,0.045,0.079,0.066
"P08","Si",0.486,0.46,0.622,0.593,0.559
"P08","No",0.514,0.54,0.378,0.407,0.441
"P09","1",0.375,0.329,0.374,0.342,0.323
"P09","2",0.144,0.128,0.085,0.11,0.092
"P09","3",0.049,0.026,0.075,0.04,0.076
"P09","4",0.026,0.028,0.03,0.07,0.008
"P09","5",0.148,0.176,0.159,0.146,0.121
"P09","6",0.011,0.046,0.028,0.073,0.028
"P09","7",0.017,0.044,0.036,0.029,0.015
"P09","8",0.027,0.039,0.03,0.031,0.049
"P09","9",0.203,0.184,0.183,0.159,0.288
"P10","Muy convenientes",0.096,0.061,0.042,0.038,0.048
"P10","Bastante convenientes",0.061,0.047,0.027,0.036,0.024
"P10","Algo convenientes",0.121,0.138,0.124,0.103,0.04
"P10","Poco convenientes",0.198,0.229,0.228,0.272,0.206
"P10","Nada convenientes",0.393,0.367,0.439,0.35,0.484
"P10","No sabe",0.131,0.158,0.14,0.201,0.198
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.211,0.161,0.15,0.23,0.293
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.632,0.567,0.608,0.569,0.436
"P11","No sabe",0.157,0.272,0.242,0.201,0.271
"P12","Si",0.757,0.647,0.729,0.795,0.752
"P12","No",0.243,0.353,0.271,0.205,0.248
"P13","Banco Publico o cooperativo",0.579,0.58,0.519,0.457,0.478
"P13","Banco privado",0.382,0.35,0.423,0.442,0.485
"P13","No sabe",0.039,0.07,0.058,0.101,0.037
"P14","Banco Nacion",0.552,0.476,0.4,0.452,0.352
"P14","Banco Provincia",0.218,0.265,0.287,0.235,0.266
"P14","Banco Ciudad",0.041,0.027,0.035,0.075,0.097
"P14","Bancor, Banco de Cordoba",0.033,0.049,0.023,0,0.067
