"var","categoria","Si, las conozco","No, no las conozco"
"P01","Empleado en relación de dependencia",0.284,0.272
"P01","Jubilado o pensionado",0.191,0.266
"P01","Desempleado",0.275,0.234
"P01","Monotributista o autónomo",0.137,0.123
"P01","Empresario",0.017,0.019
"P01","Estudiante",0.032,0.018
"P01","Otro",0.064,0.068
"P02","Menos de $50.000 mensuales",0.476,0.475
"P02","Entre $50.000 y $100.000 mensuales",0.21,0.23
"P02","Entre $100.000 y $150.000 mensuales",0.16,0.14
"P02","Entre $150.000 y $200.000 mensuales",0.062,0.067
"P02","Entre $200.000 y $250.000 mensuales",0.029,0.032
"P02","Entre $250.000 y $300.000 mensuales",0.022,0.016
"P02","Más de $300.000",0.041,0.04
"P03","Si, tengo",0.127,0.121
"P03","No, no tengo",0.873,0.879
"P04","Si",0.354,0.241
"P04","No",0.646,0.759
"P05","Si",0.153,0.156
"P05","No",0.847,0.844
"P06","Si",0.292,0.26
"P06","No",0.708,0.74
"P07","Si, lo tomaría",0.199,0.158
"P07","Probablemente si",0.284,0.275
"P07","Probablemente no",0.211,0.241
"P07","No. no lo tomaría",0.232,0.25
"P07","No sabe",0.074,0.076
"P08","Si",0.478,0.452
"P08","No",0.522,0.548
"P09","1",0.358,0.32
"P09","2",0.151,0.143
"P09","3",0.049,0.046
"P09","4",0.02,0.031
"P09","5",0.137,0.131
"P09","6",0.019,0.026
"P09","7",0.022,0.02
"P09","8",0.026,0.038
"P09","9",0.218,0.245
"P10","Muy convenientes",0.089,0.058
"P10","Bastante convenientes",0.057,0.047
"P10","Algo convenientes",0.122,0.109
"P10","Poco convenientes",0.225,0.203
"P10","Nada convenientes",0.382,0.391
"P10","No sabe",0.125,0.192
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.212,0.15
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.544,0.556
"P11","No sabe",0.244,0.294
"P12","Si",0.636,0.59
"P12","No",0.364,0.41
"P13","Banco Publico o cooperativo",0.552,0.523
"P13","Banco privado",0.381,0.383
"P13","No sabe",0.067,0.094
"P14","Banco Nacion",0.453,0.392
"P14","Banco Provincia",0.25,0.262
"P14","Banco Ciudad",0.027,0.042
"P14","Bancor, Banco de Cordoba",0.041,0.03
"P14","Nuevo Banco de Santa Fe",0.01,0.011
"P14","Credicoop",0.026,0.047
"P14","Otro",0.193,0.216
