"var","categoria","Menos de $50.000 mensuales","Entre $50.000 y $100.000 mensuales","Entre $100.000 y $150.000 mensuales","Entre $150.000 y $200.000 mensuales","Entre $200.000 y $250.000 mensuales","Entre $250.000 y $300.000 mensuales","Más de $300.000"
"P01","Empleado en relación de dependencia",0.21,0.314,0.341,0.352,0.447,0.338,0.276
"P01","Jubilado o pensionado",0.205,0.393,0.144,0.149,0.134,0.125,0.073
"P01","Desempleado",0.422,0.072,0.335,0.011,0.052,0.046,0.031
"P01","Monotributista o autónomo",0.05,0.128,0.142,0.418,0.175,0.14,0.14
"P01","Empresario",0.003,0.007,0.011,0.042,0.158,0.039,0.124
"P01","Estudiante",0.037,0.021,0.002,0.002,0,0.3,0.011
"P01","Otro",0.073,0.065,0.025,0.026,0.034,0.012,0.345
"P03","Si, tengo",0.164,0.083,0.095,0.115,0.141,0.091,0.117
"P03","No, no tengo",0.836,0.917,0.905,0.885,0.859,0.909,0.883
"P04","Si",0.21,0.277,0.308,0.297,0.434,0.442,0.325
"P04","No",0.79,0.723,0.692,0.703,0.566,0.558,0.675
"P05","Si",0.127,0.167,0.13,0.168,0.131,0.085,0.121
"P05","No",0.873,0.833,0.87,0.832,0.869,0.915,0.879
"P06","Si",0.273,0.315,0.285,0.244,0.264,0.163,0.262
"P06","No",0.727,0.685,0.715,0.756,0.736,0.837,0.738
"P07","Si, lo tomaría",0.11,0.166,0.173,0.176,0.248,0.183,0.231
"P07","Probablemente si",0.26,0.281,0.335,0.311,0.293,0.307,0.278
"P07","Probablemente no",0.276,0.225,0.221,0.21,0.204,0.204,0.21
"P07","No. no lo tomaría",0.268,0.263,0.197,0.241,0.222,0.214,0.225
"P07","No sabe",0.086,0.065,0.074,0.062,0.033,0.092,0.056
"P08","Si",0.266,0.448,0.486,0.601,0.693,0.56,0.641
"P08","No",0.734,0.552,0.514,0.399,0.307,0.44,0.359
"P09","1",0.274,0.348,0.327,0.311,0.361,0.293,0.299
"P09","2",0.166,0.165,0.199,0.154,0.082,0.229,0.137
"P09","3",0.033,0.04,0.04,0.056,0.074,0.063,0.05
"P09","4",0.022,0.025,0.025,0.032,0.024,0.014,0.02
"P09","5",0.115,0.136,0.153,0.143,0.157,0.112,0.16
"P09","6",0.023,0.026,0.016,0.036,0.047,0.027,0.026
"P09","7",0.02,0.022,0.025,0.023,0.019,0.03,0.02
"P09","8",0.033,0.031,0.031,0.053,0.049,0.046,0.04
"P09","9",0.314,0.207,0.184,0.192,0.187,0.186,0.248
"P10","Muy convenientes",0.072,0.051,0.064,0.051,0.02,0.074,0.079
"P10","Bastante convenientes",0.058,0.05,0.052,0.018,0.05,0.041,0.05
"P10","Algo convenientes",0.114,0.109,0.109,0.089,0.083,0.078,0.126
"P10","Poco convenientes",0.189,0.208,0.235,0.274,0.233,0.172,0.213
"P10","Nada convenientes",0.358,0.405,0.372,0.445,0.487,0.556,0.394
"P10","No sabe",0.209,0.177,0.168,0.123,0.127,0.079,0.138
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.147,0.159,0.19,0.227,0.28,0.194,0.301
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.494,0.587,0.548,0.584,0.546,0.542,0.453
"P11","No sabe",0.359,0.254,0.262,0.189,0.174,0.264,0.246
"P12","Si",0.502,0.659,0.737,0.79,0.88,0.801,0.711
"P12","No",0.498,0.341,0.263,0.21,0.12,0.199,0.289
"P13","Banco Publico o cooperativo",0.586,0.527,0.503,0.474,0.499,0.492,0.546
"P13","Banco privado",0.27,0.417,0.432,0.505,0.496,0.486,0.44
"P13","No sabe",0.144,0.056,0.065,0.021,0.005,0.022,0.014
"P14","Banco Nacion",0.414,0.41,0.461,0.324,0.446,0.285,0.501
"P14","Banco Provincia",0.237,0.272,0.251,0.208,0.273,0.325,0.163
"P14","Banco Ciudad",0.02,0.049,0.035,0.053,0.031,0.046,0.072
"P14","Bancor, Banco de Cordoba",0.032,0.023,0.04,0.113,0.024,0.046,0.022
"P14","Nuevo Banco de Santa Fe",0.005,0.012,0.02,0.011,0.008,0.023,0.032
"P14","Credicoop",0.03,0.048,0.028,0.045,0.093,0.023,0.047
"P14","Otro",0.262,0.186,0.165,0.246,0.125,0.252,0.163
"P15","Santander",0.156,0.184,0.188,0.219,0.287,0.233,0.173
"P15","Galicia",0.224,0.23,0.209,0.257,0.204,0.336,0.289
"P15","Macro",0.099,0.154,0.095,0.142,0.058,0.096,0.067
"P15","Frances",0.096,0.08,0.135,0.14,0.109,0.035,0.158
"P15","ICBC",0.076,0.039,0.066,0.038,0.064,0.093,0.165
"P15","Patagonia",0.026,0.045,0.051,0.054,0.066,0.046,0.024
"P15","No sabe",0.323,0.268,0.256,0.15,0.212,0.161,0.124
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.234,0.242,0.298,0.251,0.281,0.223,0.277
"P16","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá",0.333,0.353,0.399,0.432,0.442,0.365,0.484
"P16","No sabe",0.433,0.405,0.303,0.317,0.277,0.412,0.239
"P17","Porque son mas seguras",0.197,0.181,0.228,0.164,0.205,0.226,0.191
"P17","Porque los costos del servicio son menores",0.199,0.23,0.2,0.305,0.199,0.249,0.206
"P17","Porque tienen mas clientes adheridos",0.126,0.131,0.142,0.121,0.182,0.081,0.164
"P17","Porque la calidad de la aplicación",0.079,0.081,0.11,0.092,0.159,0.138,0.09
"P17","Por la calidad de la atención al cliente",0.036,0.025,0.026,0.005,0.027,0.008,0.051
"P17","Por la eficiencia en la solución de reclamos",0.014,0.03,0.019,0.04,0.008,0.018,0.024
"P17","No sabe",0.349,0.322,0.275,0.273,0.22,0.28,0.274
"P18","Si, las conozco",0.354,0.334,0.384,0.337,0.333,0.436,0.36
"P18","No, no las conozco",0.646,0.666,0.616,0.663,0.667,0.564,0.64
"P19","Si",0.429,0.47,0.561,0.547,0.608,0.569,0.594
"P19","No",0.571,0.53,0.439,0.453,0.392,0.431,0.406
"P20","MODO",0.188,0.175,0.2,0.201,0.163,0.286,0.296
"P20","Cuenta DNI",0.133,0.181,0.146,0.168,0.141,0.04,0.102
"P20","Mercado de Pago",0.422,0.458,0.433,0.463,0.51,0.577,0.485
"P20","Ualá",0.039,0.014,0.026,0.009,0.003,0.018,0
"P20","Brubank",0.031,0.013,0.015,0.012,0.023,0.009,0.003
"P20","Naranja X",0.028,0.012,0.028,0.013,0.008,0,0
"P20","Otra",0.159,0.147,0.152,0.134,0.152,0.07,0.114
"P21","Para pagar en comercios con el celular",0.353,0.427,0.442,0.483,0.442,0.606,0.431
"P21","Para transferir / enviar o recibir dinero de terceros",0.322,0.29,0.285,0.226,0.373,0.205,0.363
"P21","Para usarla para trabajar / cobrar / vender",0.162,0.119,0.143,0.214,0.091,0.129,0.113
"P21","Para pagar servicios",0.102,0.102,0.077,0.053,0.083,0.051,0.066
"P21","Para extraer dinero sin tarjeta",0.015,0.028,0.009,0.014,0.003,0,0.009
"P21","Para recargar el celular / tarjeta de transporte",0.046,0.034,0.044,0.01,0.008,0.009,0.018
"P22","Usas más efectivo que antes",0.121,0.102,0.083,0.125,0.097,0.126,0.14
"P22","Usas la misma cantidad de efectivo que antes",0.33,0.32,0.264,0.192,0.126,0.187,0.275
"P22","Usas menos efectivo que antes",0.549,0.578,0.653,0.683,0.777,0.687,0.585
