"var","categoria","Usas más efectivo que antes","Usas la misma cantidad de efectivo que antes","Usas menos efectivo que antes"
"P01","Empleado en relación de dependencia",0.285,0.222,0.35
"P01","Jubilado o pensionado",0.217,0.187,0.174
"P01","Desempleado",0.24,0.317,0.205
"P01","Monotributista o autónomo",0.127,0.124,0.179
"P01","Empresario",0.032,0.024,0.015
"P01","Estudiante",0.017,0.055,0.014
"P01","Otro",0.082,0.071,0.063
"P02","Menos de $50.000 mensuales",0.459,0.473,0.387
"P02","Entre $50.000 y $100.000 mensuales",0.215,0.255,0.226
"P02","Entre $100.000 y $150.000 mensuales",0.124,0.149,0.182
"P02","Entre $150.000 y $200.000 mensuales",0.082,0.047,0.083
"P02","Entre $200.000 y $250.000 mensuales",0.034,0.017,0.05
"P02","Entre $250.000 y $300.000 mensuales",0.022,0.012,0.022
"P02","Más de $300.000",0.064,0.047,0.05
"P03","Si, tengo",0.181,0.106,0.115
"P03","No, no tengo",0.819,0.894,0.885
"P04","Si",0.347,0.36,0.349
"P04","No",0.653,0.64,0.651
"P05","Si",0.204,0.148,0.184
"P05","No",0.796,0.852,0.816
"P06","Si",0.408,0.299,0.222
"P06","No",0.592,0.701,0.778
"P07","Si, lo tomaría",0.281,0.176,0.234
"P07","Probablemente si",0.263,0.272,0.274
"P07","Probablemente no",0.162,0.214,0.206
"P07","No. no lo tomaría",0.253,0.25,0.241
"P07","No sabe",0.041,0.088,0.045
"P08","Si",0.469,0.469,0.565
"P08","No",0.531,0.531,0.435
"P09","1",0.391,0.327,0.363
"P09","2",0.115,0.129,0.113
"P09","3",0.06,0.066,0.05
"P09","4",0.021,0.024,0.033
"P09","5",0.07,0.165,0.157
"P09","6",0.02,0.014,0.038
"P09","7",0.023,0.013,0.037
"P09","8",0.051,0.034,0.026
"P09","9",0.249,0.228,0.183
"P10","Muy convenientes",0.209,0.06,0.044
"P10","Bastante convenientes",0.106,0.038,0.04
"P10","Algo convenientes",0.074,0.121,0.118
"P10","Poco convenientes",0.162,0.209,0.229
"P10","Nada convenientes",0.344,0.383,0.431
"P10","No sabe",0.105,0.189,0.138
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.229,0.19,0.184
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.588,0.542,0.605
"P11","No sabe",0.183,0.268,0.211
"P12","Si",0.668,0.685,0.752
"P12","No",0.332,0.315,0.248
"P13","Banco Publico o cooperativo",0.683,0.507,0.544
"P13","Banco privado",0.309,0.423,0.399
"P13","No sabe",0.008,0.07,0.057
"P14","Banco Nacion",0.502,0.486,0.474
"P14","Banco Provincia",0.2,0.22,0.277
"P14","Banco Ciudad",0.04,0.026,0.049
"P14","Bancor, Banco de Cordoba",0.031,0.031,0.035
"P14","Nuevo Banco de Santa Fe",0.014,0.026,0.011
"P14","Credicoop",0.003,0.067,0.022
"P14","Otro",0.21,0.144,0.132
"P15","Santander",0.082,0.163,0.207
"P15","Galicia",0.32,0.241,0.245
