"var","categoria","Unión por la Patria","Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco","No sabe"
"P06","Siempre",0.241,0.207,0.149,0.152,0.208,0.093,0.21,0.165
"P06","Casi siempre",0.317,0.391,0.415,0.425,0.371,0.305,0.211,0.259
"P06","Casi nunca",0.344,0.315,0.348,0.212,0.355,0.528,0.441,0.299
"P06","Nunca, pero esta es una excepción",0.098,0.087,0.088,0.211,0.066,0.074,0.138,0.277
"P10","A Daniel Passerini intendente y Javier Pretto viceintendente por Hacemos Unidos Por Córdoba",0.745,0.243,0.103,0.209,0.464,0.332,0.247,0.284
"P10","A Rodrigo de Loredo intendente y Soher el Sukaria viceintendenta por Juntos por el Cambio",0.195,0.705,0.434,0.064,0.275,0.312,0.122,0.161
"P10","A Verónica Sikora intendenta y Enrique Rigatuso viceintendente por La Libertad Primero",0.005,0.01,0.232,0.077,0,0.007,0.124,0.026
"P10","A Juan Pablo Quinteros intendente y Gabriel Ratner viceintendente por Somos Córdoba",0.003,0.013,0.028,0.299,0.048,0.026,0.143,0.04
"P10","A Jorge Scala intendente y Paola Janett González Cuevas viceintendenta por el Partido Demócrata",0,0.002,0.015,0,0.085,0,0.009,0
"P10","A Humberto Spaccesi intendente y Silvia Peñaloza viceintendenta por Córdoba de Todos",0.013,0.002,0.026,0.077,0.035,0.018,0.007,0.037
"P10","A César Orgaz intendente y Gonzalo Frontera viceintendente por Encuentro Vecinal Córdoba",0.002,0.002,0.014,0.009,0.04,0.017,0.082,0.005
"P10","A Laura Vilches intendenta y Virginia Caldera Marsengo viceintendenta por El Frente De Izquierda y De Trabajadores-Unidad",0.024,0.001,0.019,0.257,0.018,0.047,0.127,0.095
"P10","A los candidatos de otros partidos políticos",0.006,0.001,0.017,0.005,0.029,0.167,0.021,0.062
"P10","No sabe",0.007,0.021,0.112,0.003,0.006,0.074,0.118,0.29
"P12","Totalmente seguro",0.705,0.671,0.478,0.573,0.723,0.555,0.591,0.39
"P12","Bastante seguro",0.171,0.197,0.155,0.215,0.126,0.147,0.11,0.151
"P12","Algo seguro",0.097,0.085,0.142,0.132,0.056,0.222,0.088,0.214
"P12","Para nada seguro",0.027,0.047,0.225,0.08,0.095,0.076,0.211,0.245
"P13","Tiene Decidido que va a ir a votar",0.947,0.938,0.834,0.958,0.973,0.848,0.768,0.883
"P13","Tiene dudas sobre si va a ir a  votar",0.053,0.062,0.166,0.042,0.027,0.152,0.232,0.117
"P14","Si",0.583,0.492,0.428,0.428,0.414,0.498,0.435,0.262
"P14","No",0.417,0.508,0.572,0.572,0.586,0.502,0.565,0.738
