"var","categoria","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"P07","Si",0.949,0.816,0.811,0.723,0.514,0.749,0.743,0.512
"P07","Puede ser",0.043,0.128,0.071,0.054,0.381,0.154,0.21,0.277
"P07","No",0.008,0.056,0.118,0.223,0.105,0.097,0.047,0.211
"P23","Si",0.845,0.809,0.754,0.667,0.593,0.86,0.633,0.659
"P23","No",0.155,0.191,0.246,0.333,0.407,0.14,0.367,0.341
"P24","Inflación",0.324,0.142,0.126,0.149,0.258,0.077,0.208,0.176
"P24","Desempleo",0.155,0.073,0.17,0.026,0.182,0.058,0.106,0.093
"P24","Corrupción",0.161,0.484,0.441,0.207,0.123,0.516,0.292,0.429
"P24","Precio del dólar",0.063,0.025,0.114,0.021,0,0.027,0,0.052
"P24","Inseguridad",0.148,0.13,0.061,0.451,0.315,0,0.247,0.106
"P24","Pobreza",0.054,0.102,0.06,0.066,0.093,0.163,0.092,0.045
"P24","Narcotráfico",0.001,0,0,0,0,0.132,0,0.021
"P24","Tarifas",0.012,0.016,0.001,0.016,0,0,0.055,0.027
"P24","Otro",0.052,0.019,0.017,0.064,0.016,0.027,0,0.039
"P24","No sabe",0.03,0.009,0.01,0,0.013,0,0,0.012
"P30","Gran excedente habitual",0.001,0.01,0,0,0,0,0,0.029
"P30","Gran excedente excepcional",0.006,0,0.006,0,0,0.037,0.034,0
"P30","Pequeño excedente habitual",0.064,0.025,0,0.026,0.024,0.073,0.039,0.05
"P30","Pequeño excedente excepcional",0.064,0.031,0.099,0.031,0,0.023,0.015,0.046
"P30","Alcanza gastos familia",0.135,0.122,0.101,0.048,0.032,0.034,0.027,0.092
"P30","No alcanza gastos familia",0.118,0.118,0.204,0.333,0.009,0.205,0.138,0.102
"P30","Solo NBFamiliares",0.29,0.237,0.166,0.198,0.261,0.433,0.191,0.24
"P30","No alcanza NBFamiliares",0.296,0.442,0.415,0.364,0.623,0.134,0.556,0.403
"P30","No sabe",0.026,0.015,0.009,0,0.051,0.061,0,0.038
"P33","Mejor",0.306,0.02,0.023,0.07,0.174,0,0.182,0.1
"P33","Igual",0.314,0.195,0.167,0.229,0.404,0.226,0.047,0.338
"P33","Peor",0.205,0.657,0.725,0.458,0.375,0.563,0.514,0.423
"P33","No sabe",0.175,0.128,0.085,0.243,0.047,0.211,0.257,0.139
"P36","Mejor",0.453,0.019,0.061,0.117,0.204,0,0.203,0.148
"P36","Igual",0.223,0.122,0.112,0.51,0.239,0.126,0.081,0.153
"P36","Peor",0.225,0.75,0.755,0.329,0.226,0.712,0.589,0.53
"P36","No sabe",0.099,0.109,0.072,0.044,0.331,0.162,0.127,0.169
"P42","Muy buena",0.405,0.01,0.002,0,0.074,0.126,0.153,0.243
"P42","Buena",0.295,0.022,0.092,0.219,0.013,0,0.004,0.097
"P42","Ni buena ni mala",0.122,0.079,0.099,0.195,0.233,0.02,0.304,0.174
"P42","Mala",0.036,0.181,0.175,0.37,0.544,0.033,0.213,0.168
"P42","Muy mala",0.136,0.708,0.627,0.216,0.136,0.821,0.321,0.287
"P42","No sabe",0.006,0,0.005,0,0,0,0.005,0.031
"P43","Muy buena",0.62,0.035,0.019,0.018,0,0.125,0.209,0.18
"P43","Buena",0.102,0.044,0.05,0.239,0.177,0.008,0.005,0.128
"P43","Ni buena ni mala",0.109,0.015,0.022,0.04,0,0.082,0.265,0.14
"P43","Mala",0,0.101,0.084,0.206,0.617,0.008,0.132,0.003
"P43","Muy mala",0.162,0.802,0.825,0.497,0.104,0.777,0.377,0.513
"P43","No sabe",0.007,0.003,0,0,0.102,0,0.012,0.036
"P44","Muy buena",0.089,0.307,0.133,0.157,0,0.009,0.183,0.18
"P44","Buena",0.053,0.273,0.198,0,0,0.11,0.054,0.015
"P44","Ni buena ni mala",0.082,0.21,0.163,0.089,0,0.257,0.183,0.132
"P44","Mala",0.176,0.11,0.194,0.172,0.671,0.35,0.317,0.175
"P44","Muy mala",0.592,0.078,0.244,0.582,0.329,0.259,0.259,0.489
"P44","No sabe",0.008,0.022,0.068,0,0,0.015,0.004,0.009
"P45","Muy buena",0.08,0.567,0.334,0.209,0,0.17,0.169,0.185
"P45","Buena",0.085,0.286,0.401,0.456,0.338,0.248,0.132,0.162
"P45","Ni buena ni mala",0.245,0.048,0.072,0.16,0.215,0.174,0.338,0.216
