"var","categoria","La inflación","El desempleo","La corrupción","La inseguridad","El precio del dólar","La pobreza","El narcotráfico","Las tarifas","Otro","No sabe"
"P09","Porque me siento desanimado con la realidad del país",0.329,0.615,0.315,0,0,0,0,0,0.3,0
"P09","Porque estoy en desacuerdo con el gobierno, pero la oposición no me representa",0.234,0,0.407,0.486,0.344,1,1,1,0,0
"P09","Nunca voy a votar",0,0,0.084,0,0,0,0,0,0,0
"P09","Por miedo a la pandemia",0.18,0.228,0.11,0.514,0.591,0,0,0,0,0
"P09","Porque las PASO no son elecciones importantes",0.257,0.157,0.084,0,0.065,0,0,0,0.7,0
"P14","A Tolosa Paz por el Frente de Todos",0.373,0.428,0.224,0.513,0.49,0.532,0.474,0.489,0.71,0.175
"P14","A Santilli y Manes por Juntos",0.422,0.339,0.497,0.395,0.27,0.24,0.411,0.032,0.159,0
"P14","A del Caño por el Frente de Izquierda",0.034,0.184,0.076,0,0,0.062,0,0.42,0,0.017
"P14","A Espert por Avanza libertad",0.08,0.018,0.072,0,0.012,0.166,0,0.059,0.017,0.486
"P14","A Randazzo por ""Vamos con vos""",0.008,0.014,0.008,0,0.151,0,0,0,0,0
"P14","A Hotton por “+Valores”",0.023,0.007,0.07,0.058,0,0,0.115,0,0.041,0
"P14","Votaría en blanco o anularía",0.06,0.01,0.053,0.034,0.077,0,0,0,0.073,0.322
"P16","A Segundo cernadas por Juntos",0.431,0.339,0.497,0.395,0.27,0.24,0.258,0.032,0.159,0
"P16","A Gisela Zamora por el frente de todos",0.358,0.406,0.219,0.513,0.49,0.532,0.627,0.489,0.71,0.175
"P16","A Juan José Cervetto por avanza libertad",0.082,0.018,0.071,0,0.012,0.166,0,0.479,0.017,0.503
"P16","A Paula Yamila Akerfeld por el Frente de Izquierda",0.038,0.184,0.07,0,0,0.062,0,0,0,0
"P16","A Matias Orfo por Vamos con vos",0.008,0.017,0.013,0,0.151,0,0,0,0,0
"P16","A Nicolás Viera Dutra por el Partido Unión Celeste y Blanco",0.023,0.007,0.07,0.058,0.032,0,0.115,0,0.041,0
"P16","En blanco o anularía",0.06,0.029,0.06,0.034,0.045,0,0,0,0.073,0.322
"P18","Diego Santilli y Facundo Manes por “Juntos”",0.414,0.244,0.426,0.341,0.27,0.354,0.258,0,0.159,0.002
"P18","Victoria Tolosa Paz por el Frente de todos",0.382,0.501,0.214,0.429,0.502,0.419,0.474,0.489,0.568,0.175
"P18","Nicolás del Caño por el Frente de Izquierda",0.053,0.164,0.057,0,0,0.133,0,0,0.041,0.017
"P18","José Luis Espert por “Avanza Libertad”",0.039,0.035,0.08,0,0.032,0.009,0,0.479,0.065,0.484
"P18","Florencio Randazzo por “Vamos con vos”",0.016,0,0.017,0.034,0.151,0.085,0,0,0.082,0
"P18","Cynthia Hotton por “+Valores”",0.023,0,0.051,0,0,0,0.115,0,0,0
"P18","Ninguna en particular",0.04,0.051,0.104,0.113,0,0,0.153,0.032,0.06,0
"P18","No sabe",0.033,0.005,0.051,0.083,0.045,0,0,0,0.025,0.322
"P19","Diego Santilli y Facundo Manes por “Juntos”",0.555,0.407,0.216,0.422,0.458,0.468,0.139,0.909,0.455,0.66
"P19","Victoria Tolosa Paz por el Frente de todos",0.352,0.259,0.587,0.318,0.27,0.316,0.64,0,0.147,0.001
"P19","Nicolás del Caño por el Frente de Izquierda",0.008,0.143,0.016,0,0.044,0.056,0.068,0,0.035,0
"P19","José Luis Espert por “Avanza Libertad”",0.004,0.02,0.009,0.059,0,0.109,0,0,0.06,0
"P19","Florencio Randazzo por “Vamos con vos”",0.011,0.033,0.035,0,0.151,0,0,0,0.123,0
"P19","Cynthia Hotton por “+Valores”",0,0.07,0.024,0,0,0.01,0,0,0,0
"P19","Ninguna en particular",0.039,0.05,0.108,0.104,0.032,0.041,0.153,0.091,0.089,0
"P19","No sabe",0.031,0.018,0.005,0.097,0.045,0,0,0,0.091,0.339
"P20","No alcanzan para cubrir las necesidades básicas familiares",0.34,0.437,0.301,0.093,0.307,0.175,0,0.486,0.039,0
"P20","Solo alcanzan para cubrir las necesidades básicas familiares",0.179,0.276,0.261,0.157,0.193,0.428,0.425,0,0.152,0.578
"P20","No alcanzan para cubrir los gastos totales de la familia",0.166,0.204,0.139,0.38,0.116,0.142,0.153,0.062,0.128,0.322
"P20","Alcanzan para cubrir los gastos totales de la familia",0.145,0.052,0.129,0.279,0.105,0.025,0.307,0.032,0.393,0
"P20","Tenemos un pequeño excedente, pero es excepcional",0.05,0.028,0.062,0.027,0.104,0.041,0,0.42,0.052,0.082
"P20","Tenemos un pequeño excedente habitual que ahorramos o invertimos",0.059,0.003,0.025,0,0.013,0.184,0.115,0,0.122,0
"P20","Tenemos un gran excedente pero es excepcional",0,0,0.029,0,0,0,0,0,0,0
"P20","Tenemos un gran excedente habitual que ahorramos o invertimos",0,0,0.037,0,0.162,0.005,0,0,0.041,0
"P20","No sabe",0.061,0,0.017,0.064,0,0,0,0,0.073,0.018
"P22","Muy buena",0.245,0.183,0.108,0.307,0.244,0.157,0,0.77,0.182,0.084
"P22","Buena",0.158,0.252,0.051,0.13,0.357,0.34,0.139,0.116,0.34,0.096
"P22","Ni buena ni mala",0.11,0.256,0.134,0.234,0.062,0.104,0.399,0,0.242,0.819
"P22","Mala",0.212,0.138,0.138,0.063,0.072,0.142,0.153,0.114,0.059,0
"P22","Muy mala",0.275,0.15,0.557,0.266,0.265,0.257,0.309,0,0.177,0.001
"P22","No sabe",0,0.021,0.012,0,0,0,0,0,0,0
"P23","Muy buena",0.325,0.388,0.091,0.363,0.539,0.423,0.325,0.774,0.349,0.18
"P23","Buena",0.083,0.205,0.081,0.1,0.125,0.007,0.144,0.113,0.087,0.474
"P23","Ni buena ni mala",0.115,0.104,0.074,0.147,0,0.085,0,0,0.122,0.019
"P23","Mala",0.132,0.098,0.057,0,0.048,0.014,0.222,0.113,0.167,0
"P23","Muy mala",0.343,0.205,0.69,0.33,0.288,0.471,0.309,0,0.275,0.002
"P23","No sabe",0.002,0,0.007,0.06,0,0,0,0,0,0.325
"P24","Muy buena",0.127,0.135,0.089,0.054,0.017,0,0.318,0,0.129,0.087
"P24","Buena",0.178,0.296,0.08,0.182,0.33,0.282,0.071,0.326,0.122,0
"P24","Ni buena ni mala",0.212,0.283,0.143,0.157,0.519,0.065,0,0.113,0.308,0.564
"P24","Mala",0.122,0.064,0.139,0.16,0.062,0.31,0.144,0.561,0.04,0.002
"P24","Muy mala",0.361,0.218,0.546,0.388,0.072,0.329,0.313,0,0.327,0.02
"P24","No sabe",0,0.004,0.003,0.059,0,0.014,0.154,0,0.074,0.327
"P25","Muy buena",0.115,0.081,0.163,0.037,0.055,0.063,0.054,0,0.095,0.47
"P25","Buena",0.106,0.098,0.149,0.092,0.138,0.062,0.071,0,0.022,0
"P25","Ni buena ni mala",0.19,0.256,0.198,0.245,0.24,0.205,0.421,0,0.208,0
"P25","Mala",0.15,0.251,0.186,0.162,0.112,0.021,0.155,0.111,0.255,0.002
