"var","categoria","Porque me siento desanimado con la realidad del país","Porque estoy en desacuerdo con el gobierno, pero la oposición no me representa","Nunca voy a votar","Por miedo a la pandemia","Porque las PASO no son elecciones importantes"
"P14","A Tolosa Paz por el Frente de Todos",0.163,0.481,1,0.34,0.288
"P14","A Santilli y Manes por Juntos",0.573,0.166,0,0.55,0.368
"P14","A del Caño por el Frente de Izquierda",0.187,0.018,0,0.026,0.015
"P14","A Espert por Avanza libertad",0.008,0.071,0,0,0.143
"P14","A Randazzo por ""Vamos con vos""",0,0.018,0,0,0.133
"P14","A Hotton por “+Valores”",0,0,0,0,0.015
"P14","Votaría en blanco o anularía",0.069,0.246,0,0.084,0.038
"P16","A Segundo cernadas por Juntos",0.573,0.166,0,0.55,0.368
"P16","A Gisela Zamora por el frente de todos",0.163,0.378,1,0.34,0.303
"P16","A Juan José Cervetto por avanza libertad",0.008,0.174,0,0,0.089
"P16","A Paula Yamila Akerfeld por el Frente de Izquierda",0.187,0.018,0,0,0.015
"P16","A Matias Orfo por Vamos con vos",0,0.018,0,0.026,0.133
"P16","A Nicolás Viera Dutra por el Partido Unión Celeste y Blanco",0,0,0,0.037,0
"P16","En blanco o anularía",0.069,0.246,0,0.047,0.092
"P18","Diego Santilli y Facundo Manes por “Juntos”",0.326,0.069,0,0.504,0.471
"P18","Victoria Tolosa Paz por el Frente de todos",0.135,0.432,1,0.117,0.317
"P18","Nicolás del Caño por el Frente de Izquierda",0.054,0.166,0,0,0.017
"P18","José Luis Espert por “Avanza Libertad”",0.138,0.074,0,0.036,0.039
"P18","Florencio Randazzo por “Vamos con vos”",0.037,0.019,0,0,0
"P18","Cynthia Hotton por “+Valores”",0,0.015,0,0.025,0
"P18","Ninguna en particular",0.036,0.196,0,0.228,0.099
"P18","No sabe",0.274,0.029,0,0.09,0.057
"P19","Diego Santilli y Facundo Manes por “Juntos”",0.11,0.288,0,0.119,0.241
"P19","Victoria Tolosa Paz por el Frente de todos",0.235,0.444,1,0.506,0.489
"P19","Nicolás del Caño por el Frente de Izquierda",0.209,0.006,0,0.036,0
"P19","José Luis Espert por “Avanza Libertad”",0.036,0.009,0,0,0
"P19","Florencio Randazzo por “Vamos con vos”",0.138,0.033,0,0,0
"P19","Cynthia Hotton por “+Valores”",0,0.115,0,0.025,0
"P19","Ninguna en particular",0.272,0.077,0,0.24,0.141
"P19","No sabe",0,0.028,0,0.074,0.129
"P20","No alcanzan para cubrir las necesidades básicas familiares",0.521,0.256,0,0.199,0.305
"P20","Solo alcanzan para cubrir las necesidades básicas familiares",0.288,0.38,0,0.209,0.059
"P20","No alcanzan para cubrir los gastos totales de la familia",0.046,0.262,0,0.253,0.156
"P20","Alcanzan para cubrir los gastos totales de la familia",0.12,0.034,1,0.209,0.016
"P20","Tenemos un pequeño excedente, pero es excepcional",0,0.047,0,0.032,0.135
"P20","Tenemos un pequeño excedente habitual que ahorramos o invertimos",0.025,0.021,0,0,0.011
"P20","Tenemos un gran excedente pero es excepcional",0,0,0,0.024,0
"P20","Tenemos un gran excedente habitual que ahorramos o invertimos",0,0,0,0,0
"P20","No sabe",0,0,0,0.074,0.318
"P21","La inflación",0.409,0.251,0,0.355,0.598
"P21","El desempleo",0.212,0,0,0.126,0.102
"P21","La corrupción",0.353,0.392,1,0.196,0.176
"P21","La inseguridad",0,0.12,0,0.235,0
"P21","El precio del dólar",0,0.028,0,0.088,0.011
"P21","La pobreza",0,0.074,0,0,0
"P21","El narcotráfico",0,0.1,0,0,0
"P21","Las tarifas",0,0.035,0,0,0
"P21","Otro",0.026,0,0,0,0.113
"P21","No sabe",0,0,0,0,0
"P22","Muy buena",0.192,0.072,0,0.052,0
"P22","Buena",0.145,0.012,1,0.07,0.136
"P22","Ni buena ni mala",0.372,0.505,0,0.474,0.261
"P22","Mala",0.076,0.132,0,0.036,0.18
"P22","Muy mala",0.215,0.279,0,0.368,0.423
"P22","No sabe",0,0,0,0,0
"P23","Muy buena",0.056,0.17,0,0.228,0.086
"P23","Buena",0.087,0.165,1,0.055,0.205
"P23","Ni buena ni mala",0.457,0.029,0,0.348,0.161
"P23","Mala",0.038,0.302,0,0,0.144
"P23","Muy mala",0.362,0.334,0,0.369,0.404
"P23","No sabe",0,0,0,0,0
"P24","Muy buena",0,0.17,1,0.016,0
"P24","Buena",0.229,0.228,0,0.142,0.065
"P24","Ni buena ni mala",0.348,0.197,0,0.241,0.367
"P24","Mala",0.041,0.142,0,0.259,0.088
"P24","Muy mala",0.382,0.263,0,0.342,0.439
"P24","No sabe",0,0,0,0,0.041
"P25","Muy buena",0,0.081,0,0.037,0.243
"P25","Buena",0,0.021,0,0.058,0.009
"P25","Ni buena ni mala",0.446,0.222,0,0.407,0.304
"P25","Mala",0.476,0.32,0,0.297,0.29
"P25","Muy mala",0.078,0.356,1,0.201,0.154
"P25","No sabe",0,0,0,0,0
"P26","Muy buena",0.069,0.058,0,0.214,0.383
"P26","Buena",0.191,0.11,0,0.119,0.172
"P26","Ni buena ni mala",0.645,0.453,0,0.364,0.158
"P26","Mala",0.095,0.12,0,0.014,0.278
"P26","Muy mala",0,0.259,1,0.182,0.009
"P26","No sabe",0,0,0,0.107,0
"P27","Muy buena",0.063,0,1,0.055,0
"P27","Buena",0,0.224,0,0.061,0.183
"P27","Ni buena ni mala",0.536,0.309,0,0.344,0.337
"P27","Mala",0.104,0.143,0,0,0.169
"P27","Muy mala",0.224,0.324,0,0.35,0.073
"P27","No sabe",0.073,0,0,0.19,0.238
