"var","categoria","La seguridad","El tránsito","El arreglo de las calles","El estado de las escuelas y la educación","El sistema de salud","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P06","Muy buena",0.333,0.144,0.202,0.253,0.129,0.076,0.225,0.12,0.021
"P06","Buena",0.188,0.206,0.208,0.371,0.179,0.088,0.178,0.112,0.051
"P06","Ni buena ni mala",0.125,0.061,0.29,0.143,0.353,0.209,0.283,0.224,0.213
"P06","Mala",0.149,0.371,0.154,0.111,0.149,0.229,0.153,0.165,0.232
"P06","Muy mala",0.166,0.218,0.106,0.121,0.19,0.369,0.141,0.37,0.455
"P06","No sabe",0.039,0,0.04,0.001,0,0.029,0.02,0.009,0.028
"P07","Muy buena",0.296,0.014,0.1,0.096,0.103,0.099,0.127,0.031,0.095
"P07","Buena",0.153,0.126,0.179,0.058,0.076,0.099,0.007,0.167,0.109
"P07","Ni buena ni mala",0.21,0.468,0.406,0.405,0.464,0.384,0.298,0.336,0.365
"P07","Mala",0.116,0.286,0.098,0.119,0.092,0.137,0.179,0.121,0.093
"P07","Muy mala",0.123,0,0.075,0.196,0.094,0.151,0.182,0.139,0.208
"P07","No sabe",0.102,0.106,0.142,0.126,0.171,0.13,0.207,0.206,0.13
"P08","Muy buena",0.226,0.089,0.166,0.102,0.079,0.082,0.175,0.061,0.008
"P08","Buena",0.205,0.06,0.253,0.318,0.089,0.084,0.185,0.039,0.059
"P08","Ni buena ni mala",0.268,0.6,0.299,0.161,0.324,0.304,0.284,0.279,0.261
"P08","Mala",0.067,0.081,0.115,0.232,0.232,0.146,0.109,0.165,0.217
"P08","Muy mala",0.234,0.17,0.09,0.1,0.25,0.304,0.152,0.335,0.382
"P08","No sabe",0,0,0.077,0.087,0.026,0.08,0.095,0.121,0.073
"P09","Muy buena",0.288,0.014,0.06,0.124,0.045,0.033,0,0.112,0.046
"P09","Buena",0.156,0.214,0.123,0.004,0.085,0.077,0.04,0.044,0.092
"P09","Ni buena ni mala",0.326,0.371,0.426,0.293,0.472,0.428,0.294,0.495,0.338
"P09","Mala",0.049,0.077,0.087,0.279,0.055,0.147,0.149,0.158,0.167
"P09","Muy mala",0.102,0,0.103,0.162,0.222,0.166,0.349,0.056,0.189
"P09","No sabe",0.079,0.324,0.201,0.138,0.121,0.149,0.168,0.135,0.168
"P10","Muy buena",0.261,0.069,0.048,0.245,0.039,0.072,0.044,0.122,0.095
"P10","Buena",0.113,0.322,0.175,0.239,0.122,0.035,0.103,0.094,0.077
"P10","Ni buena ni mala",0.267,0.385,0.3,0.098,0.27,0.18,0.194,0.126,0.239
"P10","Mala",0.148,0.042,0.208,0.327,0.232,0.258,0.121,0.119,0.224
"P10","Muy mala",0.079,0.155,0.204,0.076,0.32,0.36,0.473,0.457,0.317
"P10","No sabe",0.132,0.027,0.065,0.015,0.017,0.095,0.065,0.082,0.048
"P11","Muy buena",0.254,0.109,0.087,0.005,0.02,0.077,0,0.152,0.082
"P11","Buena",0.077,0.303,0.081,0.146,0.064,0.054,0.029,0.045,0.077
"P11","Ni buena ni mala",0.231,0.357,0.45,0.299,0.449,0.379,0.477,0.218,0.326
"P11","Mala",0.119,0.048,0.084,0.232,0.058,0.081,0.035,0.116,0.089
"P11","Muy mala",0.087,0,0.06,0.167,0.246,0.107,0.197,0.088,0.145
"P11","No sabe",0.232,0.183,0.238,0.151,0.163,0.302,0.262,0.381,0.281
"P12","Muy buena",0.263,0.197,0.012,0.011,0.003,0.05,0.032,0.005,0.023
"P12","Buena",0.089,0.069,0.074,0.092,0.068,0.073,0.101,0.026,0.036
