"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P06","Muy buena",0.209,0.018,0.119
"P06","Buena",0.02,0.115,0.165
"P06","Ni buena ni mala",0.146,0.047,0.083
"P06","Mala",0.122,0.288,0.158
"P06","Muy mala",0.503,0.481,0.473
"P06","No sabe",0,0.051,0.002
"P07","Muy buena",0.371,0.156,0.118
"P07","Buena",0.27,0.189,0.11
"P07","Ni buena ni mala",0.289,0.447,0.432
"P07","Mala",0.003,0.048,0.042
"P07","Muy mala",0.067,0.106,0.166
"P07","No sabe",0,0.054,0.132
"P08","Muy buena",0.032,0.042,0.129
"P08","Buena",0.005,0.234,0.085
"P08","Ni buena ni mala",0.286,0.11,0.233
"P08","Mala",0.135,0.202,0.233
"P08","Muy mala",0.523,0.392,0.243
"P08","No sabe",0.019,0.02,0.077
"P09","Muy buena",0.209,0.103,0.133
"P09","Buena",0.049,0.186,0.142
"P09","Ni buena ni mala",0.463,0.486,0.449
"P09","Mala",0.062,0.062,0.096
"P09","Muy mala",0.195,0.102,0.03
"P09","No sabe",0.022,0.061,0.15
"P10","Muy buena",0.085,0.047,0.018
"P10","Buena",0.049,0.057,0.093
"P10","Ni buena ni mala",0.242,0.205,0.299
"P10","Mala",0.281,0.255,0.246
"P10","Muy mala",0.331,0.367,0.206
"P10","No sabe",0.012,0.069,0.138
"P11","Muy buena",0.357,0.11,0.227
"P11","Buena",0.016,0.075,0.109
"P11","Ni buena ni mala",0.452,0.506,0.299
"P11","Mala",0.016,0.129,0.074
"P11","Muy mala",0.008,0.069,0.016
"P11","No sabe",0.151,0.111,0.275
"P12","Muy buena",0.212,0.005,0.087
"P12","Buena",0.028,0.103,0.035
"P12","Ni buena ni mala",0.441,0.403,0.451
"P12","Mala",0.018,0.026,0.056
"P12","Muy mala",0.132,0.231,0.098
"P12","No sabe",0.169,0.232,0.273
"P13","Muy buena",0.232,0.005,0
"P13","Buena",0.017,0.082,0
"P13","Ni buena ni mala",0.443,0.463,0.372
"P13","Mala",0.018,0.008,0.053
"P13","Muy mala",0.014,0.18,0.083
"P13","No sabe",0.276,0.262,0.492
"P14","La seguridad",0.112,0.071,0.02
"P14","El tránsito",0,0,0.007
"P14","El arreglo de las calles",0.084,0.148,0.247
"P14","El estado de las escuelas y la educación",0,0,0.037
"P14","El sistema de salud",0.059,0.058,0.06
