"var","categoria","Frente de Todos y el peronismo","Cambiemos","Liberales","Izquierda","No sabe"
"P06","Muy buena",0.198,0.104,0.041,0.019,0.051
"P06","Buena",0.191,0.112,0.038,0.092,0.106
"P06","Ni buena ni mala",0.301,0.151,0.171,0.144,0.264
"P06","Mala",0.172,0.195,0.148,0.277,0.247
"P06","Muy mala",0.115,0.433,0.548,0.468,0.266
"P06","No sabe",0.023,0.005,0.054,0,0.066
"P07","Muy buena",0.066,0.255,0.043,0.031,0.048
"P07","Buena",0.028,0.239,0.115,0.018,0.157
"P07","Ni buena ni mala",0.41,0.295,0.473,0.366,0.369
"P07","Mala",0.142,0.035,0.08,0.202,0.135
"P07","Muy mala",0.142,0.124,0.197,0.259,0.116
"P07","No sabe",0.212,0.052,0.092,0.124,0.175
"P08","Muy buena",0.175,0.073,0.003,0.022,0.018
"P08","Buena",0.162,0.088,0.022,0.159,0.092
"P08","Ni buena ni mala",0.38,0.209,0.176,0.221,0.38
"P08","Mala",0.116,0.244,0.193,0.203,0.136
"P08","Muy mala",0.114,0.339,0.535,0.343,0.227
"P08","No sabe",0.053,0.047,0.071,0.052,0.147
"P09","Muy buena",0.047,0.151,0.004,0.008,0.021
"P09","Buena",0.058,0.158,0.09,0.155,0.098
"P09","Ni buena ni mala",0.368,0.43,0.417,0.329,0.379
"P09","Mala",0.171,0.109,0.101,0.235,0.079
"P09","Muy mala",0.158,0.097,0.251,0.217,0.124
"P09","No sabe",0.198,0.055,0.137,0.056,0.299
"P10","Muy buena",0.165,0.082,0.076,0.006,0.035
"P10","Buena",0.112,0.085,0.101,0.074,0.113
"P10","Ni buena ni mala",0.214,0.263,0.197,0.157,0.319
"P10","Mala",0.215,0.249,0.22,0.276,0.192
"P10","Muy mala",0.247,0.267,0.366,0.448,0.203
"P10","No sabe",0.047,0.054,0.04,0.039,0.138
"P11","Muy buena",0.035,0.238,0.058,0.018,0.019
"P11","Buena",0.048,0.122,0.089,0.056,0.097
"P11","Ni buena ni mala",0.395,0.334,0.343,0.326,0.342
"P11","Mala",0.087,0.065,0.076,0.219,0.084
"P11","Muy mala",0.135,0.054,0.18,0.174,0.133
"P11","No sabe",0.3,0.187,0.254,0.207,0.325
"P12","Muy buena",0.042,0.08,0.012,0.016,0.035
"P12","Buena",0.098,0.054,0.015,0.023,0.005
"P12","Ni buena ni mala",0.418,0.413,0.379,0.295,0.365
"P12","Mala",0.077,0.044,0.108,0.223,0.064
"P12","Muy mala",0.082,0.138,0.131,0.163,0.091
"P12","No sabe",0.283,0.271,0.355,0.28,0.44
"P13","Muy buena",0.035,0.063,0.004,0.023,0.002
"P13","Buena",0.024,0.011,0.036,0.004,0.037
"P13","Ni buena ni mala",0.425,0.41,0.337,0.314,0.341
"P13","Mala",0.044,0.035,0.069,0.251,0.053
"P13","Muy mala",0.093,0.099,0.129,0.109,0.079
"P13","No sabe",0.379,0.382,0.425,0.299,0.488
"P14","La seguridad",0.062,0.045,0.053,0.01,0.118
"P14","El tránsito",0.027,0.009,0.046,0.014,0.059
"P14","El arreglo de las calles",0.246,0.166,0.15,0.072,0.118
"P14","El estado de las escuelas y la educación",0.071,0.028,0.019,0.063,0.011
"P14","El sistema de salud",0.067,0.075,0.063,0.103,0.053
"P14","El deporte y la cultura",0.141,0.229,0.159,0.256,0.134
"P14","La obra pública",0.074,0.001,0.002,0.034,0.032
"P14","La luminaria",0.044,0.077,0.099,0.021,0.041
"P14","No sabe",0.268,0.37,0.409,0.427,0.434
"P15","La seguridad",0.411,0.585,0.623,0.379,0.458
"P15","El tránsito",0.037,0.027,0.028,0.014,0.033
"P15","El arreglo de las calles",0.198,0.144,0.132,0.09,0.162
"P15","El estado de las escuelas y la educación",0.068,0.03,0.046,0.176,0.043
"P15","El sistema de salud",0.138,0.086,0.038,0.053,0.061
"P15","El deporte y la cultura",0.029,0.001,0.05,0.062,0.021
"P15","La obra pública",0.023,0.025,0.021,0.021,0.015
"P15","La luminaria",0.016,0.017,0.032,0.015,0.014
"P15","No sabe",0.08,0.085,0.03,0.19,0.193
"P16","Agua corriente y cloacas",0.44,0.545,0.568,0.373,0.416
"P16","Energía eléctrica",0.12,0.084,0.091,0.191,0.11
"P16","Red de gas natural",0.165,0.167,0.058,0.123,0.113
"P16","Recolección de residuos",0.114,0.074,0.237,0.208,0.192
"P16","Ninguno",0.161,0.13,0.046,0.105,0.169
"P17","Los robos",0.569,0.591,0.531,0.44,0.395
"P17","El narcotráfico",0.164,0.118,0.056,0.124,0.108
"P17","La ausencia de patrulleros y personal policial",0.2,0.232,0.273,0.207,0.304
"P17","Otro",0.04,0.05,0.137,0.185,0.132
"P17","Ninguno",0.027,0.009,0.003,0.044,0.061
"P18","Muy buena",0.09,0.099,0.028,0.113,0.088
"P18","Buena",0.161,0.075,0.041,0.043,0.129
"P18","Ni buena ni mala",0.38,0.306,0.316,0.099,0.3
"P18","Mala",0.22,0.251,0.239,0.334,0.172
"P18","Muy mala",0.09,0.242,0.338,0.341,0.2
"P18","No sabe",0.059,0.027,0.038,0.07,0.111
"P19","Muy buena",0.087,0.049,0.01,0.089,0.041
"P19","Buena",0.178,0.057,0.058,0.027,0.104
"P19","Ni buena ni mala",0.358,0.337,0.276,0.201,0.404
"P19","Mala",0.167,0.249,0.231,0.23,0.15
"P19","Muy mala",0.123,0.212,0.344,0.429,0.23
"P19","No sabe",0.087,0.096,0.081,0.024,0.071
"P20","Al candidato del Frente de Todos",0.6,0.157,0.051,0.056,0.038
"P20","Al candidato de Juntos por el Cambio",0.101,0.645,0.24,0.017,0.091
"P20","Al candidato de la Izquierda",0.071,0.026,0.196,0.341,0.068
"P20","A otro candidato",0.113,0.105,0.425,0.569,0.19
"P20","No sabe",0.115,0.067,0.088,0.017,0.613
"P21","A Gustavo Menéndez",0.478,0.527,0.306,0,0.715
"P21","A Karina Menéndez",0.205,0.124,0,0.125,0.049
"P21","A Florencia Lizaraso",0.146,0,0.191,0,0.106
"P21","No sabe",0.171,0.349,0.503,0.875,0.13
"P28","Muy buena",0.212,0.026,0.007,0.027,0.07
"P28","Buena",0.266,0.051,0.099,0.141,0.115
"P28","Ni buena ni mala",0.309,0.157,0.112,0.16,0.216
"P28","Mala",0.125,0.188,0.177,0.219,0.227
"P28","Muy mala",0.071,0.578,0.599,0.453,0.347
"P28","No sabe",0.017,0,0.006,0,0.025
"P29","Muy buena",0.08,0.235,0.052,0.126,0.035
"P29","Buena",0.02,0.267,0.175,0.103,0.062
"P29","Ni buena ni mala",0.027,0.275,0.241,0.04,0.286
"P29","Mala",0.255,0.094,0.208,0.145,0.204
"P29","Muy mala",0.612,0.118,0.318,0.586,0.357
"P29","No sabe",0.006,0.011,0.006,0,0.056
"P30","Muy buena",0.655,0.129,0.052,0.151,0.117
"P30","Buena",0.115,0.026,0.001,0.03,0.087
"P30","Ni buena ni mala",0.116,0.075,0.145,0.054,0.271
"P30","Mala",0.02,0.129,0.105,0.101,0.097
"P30","Muy mala",0.077,0.641,0.688,0.655,0.371
"P30","No sabe",0.017,0,0.009,0.009,0.057
"P31","Muy buena",0.135,0.351,0.1,0.103,0.126
"P31","Buena",0.03,0.248,0.221,0.054,0.135
"P31","Ni buena ni mala",0.182,0.236,0.326,0.152,0.264
"P31","Mala",0.2,0.034,0.093,0.197,0.161
"P31","Muy mala",0.397,0.111,0.243,0.494,0.184
"P31","No sabe",0.056,0.02,0.017,0,0.13
"P32","Muy buena",0.135,0.077,0.035,0.061,0.091
"P32","Buena",0.283,0.036,0.012,0.099,0.059
"P32","Ni buena ni mala",0.301,0.154,0.229,0.234,0.274
"P32","Mala",0.126,0.172,0.167,0.195,0.166
"P32","Muy mala",0.086,0.559,0.551,0.405,0.323
"P32","No sabe",0.069,0.002,0.006,0.006,0.087
"P33","Muy buena",0.083,0.391,0.245,0.107,0.121
"P33","Buena",0.03,0.18,0.209,0.083,0.111
"P33","Ni buena ni mala",0.108,0.279,0.203,0.132,0.252
"P33","Mala",0.236,0.057,0.151,0.222,0.18
"P33","Muy mala",0.528,0.083,0.186,0.456,0.289
"P33","No sabe",0.015,0.01,0.006,0,0.047
"P34","Muy buena",0.068,0.189,0.566,0.14,0.027
"P34","Buena",0.033,0.063,0.179,0.038,0.047
"P34","Ni buena ni mala",0.126,0.363,0.114,0.149,0.356
"P34","Mala",0.165,0.166,0.02,0.148,0.186
"P34","Muy mala",0.51,0.186,0.109,0.506,0.23
"P34","No sabe",0.098,0.033,0.012,0.019,0.154
