"var","categoria","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A los candidatos de la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"P07","Si",0.931,0.757,0.794,0.883,0.636,0.959,0.67,0.352
"P07","Puede ser",0.064,0.166,0.078,0.074,0.263,0.025,0.256,0.165
"P07","No",0.005,0.077,0.128,0.043,0.101,0.016,0.074,0.483
"P23","Si",0.92,0.82,0.832,0.724,0.876,0.917,0.633,0.617
"P23","No",0.08,0.18,0.168,0.276,0.124,0.083,0.367,0.383
"P24","Inflación",0.339,0.202,0.164,0.179,0.238,0.259,0.208,0.176
"P24","Desempleo",0.133,0.083,0.118,0.041,0.057,0.141,0.15,0.123
"P24","Corrupción",0.086,0.363,0.413,0.371,0.311,0.477,0.185,0.36
"P24","Precio del dólar",0.057,0.027,0.062,0.025,0,0,0.021,0.028
"P24","Inseguridad",0.152,0.157,0.091,0.225,0.102,0.033,0.242,0.134
"P24","Pobreza",0.083,0.093,0.039,0.086,0.234,0.027,0.103,0.123
"P24","Narcotráfico",0.015,0.04,0,0,0,0.03,0.009,0.011
"P24","Tarifas",0.032,0.012,0.01,0.042,0,0,0,0
"P24","Otro",0.064,0.023,0.036,0.031,0.03,0.028,0.022,0.036
"P24","No sabe",0.039,0,0.067,0,0.028,0.005,0.06,0.009
"P30","Gran excedente habitual",0.001,0.001,0,0,0,0,0.002,0
"P30","Gran excedente excepcional",0,0.001,0,0,0,0,0,0
"P30","Pequeño excedente habitual",0.038,0.016,0.027,0.008,0,0.021,0,0.025
"P30","Pequeño excedente excepcional",0.086,0.048,0.028,0.058,0.008,0.047,0.029,0.009
"P30","Alcanza gastos familia",0.215,0.091,0.151,0.062,0.088,0.162,0.059,0.038
"P30","No alcanza gastos familia",0.12,0.203,0.148,0.216,0.158,0.166,0.253,0.262
"P30","Solo NBFamiliares",0.274,0.282,0.262,0.352,0.419,0.289,0.165,0.154
"P30","No alcanza NBFamiliares",0.26,0.354,0.378,0.304,0.327,0.309,0.482,0.512
"P30","No sabe",0.006,0.004,0.006,0,0,0.006,0.01,0
"P33","Mejor",0.383,0.04,0.053,0.024,0.075,0.089,0.022,0.006
"P33","Igual",0.301,0.183,0.168,0.292,0.573,0.224,0.236,0.256
