"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.17,0.164,0.176,0.165,0.15,0.205,0.184,0.431,0.058,0.042,0.374,0.051,0.062,0.253,0.1,0,0,0,6
"Buena",0.165,0.176,0.154,0.017,0.253,0.129,0.255,0.121,0.181,0.191,0.286,0.054,0.101,0.26,0.1,0,0,0,6
"Ni buena ni mala",0.257,0.293,0.222,0.356,0.172,0.278,0.276,0.209,0.256,0.32,0.224,0.258,0.233,0.258,0.245,0,0,0,6
"Mala",0.236,0.219,0.253,0.248,0.21,0.293,0.205,0.083,0.336,0.251,0.051,0.459,0.279,0.098,0.334,0,0,0,6
"Muy mala",0.168,0.144,0.192,0.214,0.211,0.095,0.065,0.15,0.169,0.189,0.065,0.178,0.312,0.127,0.221,0,0,0,6
"No sabe",0.004,0.004,0.003,0,0.004,0,0.015,0.006,0,0.007,0,0,0.013,0.004,0,0,0,0,6
"Positiva",0.335,0.34,0.33,0.182,0.403,0.334,0.439,0.552,0.239,0.233,0.66,0.105,0.163,0.513,0.2,0,0,0,4
"Neutra",0.257,0.293,0.222,0.356,0.172,0.278,0.276,0.209,0.256,0.32,0.224,0.258,0.233,0.258,0.245,0,0,0,4
"Negativa",0.404,0.363,0.445,0.462,0.421,0.388,0.27,0.233,0.505,0.44,0.116,0.637,0.591,0.225,0.555,0,0,0,4
"No sabe",0.004,0.004,0.003,0,0.004,0,0.015,0.006,0,0.007,0,0,0.013,0.004,0,0,0,0,4
