"var","categoria","El estado nacional","El estado provincial","Ambos de forma coordinada","No sabe"
"P10","Gran excedente habitual",0.096,0,0.022,0.02
"P10","Gran excedente excepcional",0.006,0,0,0
"P10","Pequeño excedente habitual",0.024,0,0.033,0.034
"P10","Pequeño excedente excepcional",0.046,0,0.005,0.063
"P10","Alcanza gastos familia",0.093,0,0.155,0.174
"P10","No alcanza gastos familia",0.087,0,0.094,0.299
"P10","Solo NBFamiliares",0.221,0,0.365,0.163
"P10","No alcanza NBFamiliares",0.424,0,0.32,0.247
"P10","No sabe",0.003,0,0.006,0
"P11","Muy buena",0.205,0,0.01,0
"P11","Buena",0.148,0,0.057,0.091
"P11","Ni buena ni mala",0.167,0,0.312,0.252
"P11","Mala",0.187,0,0.335,0.37
"P11","Muy mala",0.233,0,0.28,0.236
"P11","No sabe",0.06,0,0.006,0.051
"P12","Muy buena",0.609,0,0.313,0.359
"P12","Buena",0.021,0,0.181,0.17
"P12","Ni buena ni mala",0.111,0,0.204,0.221
"P12","Mala",0.098,0,0.063,0.168
"P12","Muy mala",0.11,0,0.222,0.054
"P12","No sabe",0.051,0,0.017,0.028
"P14","Muy buena",0.413,0,0.144,0.244
"P14","Buena",0.048,0,0.11,0.115
"P14","Ni buena ni mala",0.115,0,0.346,0.137
"P14","Mala",0.169,0,0.162,0.387
"P14","Muy mala",0.245,0,0.225,0.075
"P14","No sabe",0.01,0,0.013,0.042
"P15","Muy buena",0.383,0,0.008,0.018
"P15","Buena",0.099,0,0.053,0.339
"P15","Ni buena ni mala",0.165,0,0.398,0.059
"P15","Mala",0.122,0,0.281,0.335
"P15","Muy mala",0.192,0,0.205,0.197
"P15","No sabe",0.039,0,0.055,0.052
"P16","Gobierno nacional",0.306,0,0.084,0.087
"P16","Gobierno provincial",0.53,0,0.694,0.675
"P16","No sabe",0.164,0,0.222,0.238
"P17","El anterior gobierno de Arabela Carreras",0.418,0,0.407,0.379
"P17","El actual gobierno de Alberto Weretilneck",0.582,0,0.456,0.457
"P17","No sabe",0,0,0.137,0.164
"P18","El anterior gobierno de Alberto Fernández",0.639,0,0.379,0.971
"P18","El actual gobierno de Javier Milei",0.347,0,0.479,0.029
"P18","No sabe",0.014,0,0.142,0
"P19","Muy buena",0.201,0,0.016,0.028
"P19","Buena",0.163,0,0.155,0.097
"P19","Ni buena ni mala",0.227,0,0.22,0.255
"P19","Mala",0.199,0,0.348,0.418
"P19","Muy mala",0.21,0,0.247,0.182
"P19","No sabe",0,0,0.014,0.02
"P20","Muy buena",0.183,0,0.01,0
"P20","Buena",0.1,0,0.079,0.043
"P20","Ni buena ni mala",0.305,0,0.238,0.227
"P20","Mala",0.169,0,0.325,0.598
"P20","Muy mala",0.24,0,0.319,0.123
"P20","No sabe",0.003,0,0.029,0.009
"P21","Muy buena",0.273,0,0.007,0.025
"P21","Buena",0.132,0,0.054,0.033
"P21","Ni buena ni mala",0.163,0,0.347,0.244
"P21","Mala",0.196,0,0.338,0.533
"P21","Muy mala",0.236,0,0.227,0.112
"P21","No sabe",0,0,0.027,0.053
"P22","Muy de acuerdo",0.615,0,0.167,0.091
"P22","De acuerdo",0.08,0,0.156,0.025
"P22","Ni de acuerdo ni en desacuerdo",0.072,0,0.453,0.311
"P22","En desacuerdo",0.157,0,0.114,0.477
"P22","Muy en desacuerdo",0.076,0,0.055,0.016
"P22","No sabe",0,0,0.055,0.08
"P24","Inseguridad y narcotráfico",0.531,0,0.252,0.136
"P24","Altos impuestos y tarifas",0.116,0,0.288,0.095
"P24","Educación y estado de las escuelas",0.097,0,0.232,0.359
"P24","Inflación",0.182,0,0.129,0.278
"P24","Estado de la salud",0.053,0,0.055,0.042
"P24","Corrupción",0.011,0,0.01,0.079
"P24","Pobreza",0,0,0.003,0
"P24","Medio ambiente, incendios y contaminación",0.01,0,0,0
"P24","Falta de trabajo",0,0,0.013,0
"P24","No sabe",0,0,0.018,0.011
"P28","Muy buena",0.445,0,0.001,0.035
"P28","Buena",0.077,0,0.117,0.066
"P28","Ni buena ni mala",0.074,0,0.312,0.407
"P28","Mala",0.285,0,0.337,0.325
"P28","Muy mala",0.106,0,0.219,0.091
"P28","No sabe",0.013,0,0.014,0.076
"P29","Peor",0.806,0,0.459,0.238
"P29","Igual",0.078,0,0.349,0.293
"P29","Mejor",0.063,0,0.108,0.333
"P29","No sabe",0.053,0,0.084,0.136
"P30","Peor",0.656,0,0.349,0.213
"P30","Igual",0.208,0,0.356,0.19
"P30","Mejor",0.122,0,0.153,0.514
"P30","No sabe",0.014,0,0.142,0.083
"P31","Javier Milei",0.745,0,0.533,0.689
"P31","Los gobernadores",0.241,0,0.266,0.047
"P31","No sabe",0.014,0,0.201,0.264
"P32","Muy buena",0.292,0,0.001,0.232
"P32","Buena",0.077,0,0.132,0.027
"P32","Ni buena ni mala",0.215,0,0.325,0.111
"P32","Mala",0.146,0,0.293,0.52
"P32","Muy mala",0.27,0,0.249,0.087
"P32","No sabe",0,0,0,0.023
"P34","Muy buena",0.384,0,0.133,0.042
"P34","Buena",0.054,0,0.105,0.157
