"var","categoria","Peor","Igual","Mejor","No sabe"
"P10","Gran excedente habitual",0.048,0,0.009,0
"P10","Gran excedente excepcional",0,0,0.005,0
"P10","Pequeño excedente habitual",0.011,0,0.028,0
"P10","Pequeño excedente excepcional",0.032,0,0.03,0.016
"P10","Alcanza gastos familia",0.049,0,0.2,0.034
"P10","No alcanza gastos familia",0.115,0,0.158,0.062
"P10","Solo NBFamiliares",0.257,0,0.189,0.332
"P10","No alcanza NBFamiliares",0.485,0,0.381,0.556
"P10","No sabe",0.003,0,0,0
"P11","Muy buena",0.135,0,0.093,0.17
"P11","Buena",0.093,0,0.133,0.053
"P11","Ni buena ni mala",0.259,0,0.314,0.158
"P11","Mala",0.33,0,0.318,0.471
"P11","Muy mala",0.164,0,0.139,0.095
"P11","No sabe",0.019,0,0.003,0.053
"P12","Muy buena",0.37,0,0.439,0.201
"P12","Buena",0.082,0,0.174,0.289
"P12","Ni buena ni mala",0.119,0,0.234,0.165
"P12","Mala",0.106,0,0.065,0.184
"P12","Muy mala",0.304,0,0.088,0.135
"P12","No sabe",0.019,0,0,0.026
"P14","Muy buena",0.288,0,0.181,0.082
"P14","Buena",0.148,0,0.176,0.061
"P14","Ni buena ni mala",0.201,0,0.202,0.53
"P14","Mala",0.186,0,0.306,0.262
"P14","Muy mala",0.174,0,0.13,0.035
"P14","No sabe",0.003,0,0.005,0.03
"P15","Muy buena",0.149,0,0.156,0.165
"P15","Buena",0.178,0,0.233,0.094
"P15","Ni buena ni mala",0.313,0,0.166,0.42
"P15","Mala",0.231,0,0.217,0.099
"P15","Muy mala",0.12,0,0.225,0.05
"P15","No sabe",0.009,0,0.003,0.172
"P16","Gobierno nacional",0.337,0,0.131,0.126
"P16","Gobierno provincial",0.53,0,0.582,0.688
"P16","No sabe",0.133,0,0.287,0.186
"P17","El anterior gobierno de Arabela Carreras",0.399,0,0.586,0.51
"P17","El actual gobierno de Alberto Weretilneck",0.541,0,0.316,0.272
"P17","No sabe",0.06,0,0.098,0.218
"P18","El anterior gobierno de Alberto Fernández",0.412,0,0.836,0.843
"P18","El actual gobierno de Javier Milei",0.565,0,0.116,0.13
"P18","No sabe",0.023,0,0.048,0.027
"P19","Muy buena",0.082,0,0.036,0.023
"P19","Buena",0.203,0,0.109,0.154
"P19","Ni buena ni mala",0.203,0,0.296,0.123
"P19","Mala",0.306,0,0.304,0.533
"P19","Muy mala",0.205,0,0.226,0.167
"P19","No sabe",0.001,0,0.029,0
"P20","Muy buena",0.065,0,0.054,0
"P20","Buena",0.16,0,0.111,0.048
"P20","Ni buena ni mala",0.242,0,0.218,0.235
"P20","Mala",0.311,0,0.416,0.388
"P20","Muy mala",0.208,0,0.195,0.329
"P20","No sabe",0.014,0,0.006,0
"P21","Muy buena",0.103,0,0.049,0.024
"P21","Buena",0.094,0,0.104,0.076
"P21","Ni buena ni mala",0.293,0,0.27,0.308
"P21","Mala",0.3,0,0.361,0.48
"P21","Muy mala",0.176,0,0.203,0.092
"P21","No sabe",0.034,0,0.013,0.02
"P22","Muy de acuerdo",0.424,0,0.273,0.2
"P22","De acuerdo",0.189,0,0.125,0.178
"P22","Ni de acuerdo ni en desacuerdo",0.2,0,0.26,0.292
"P22","En desacuerdo",0.139,0,0.256,0.251
"P22","Muy en desacuerdo",0.048,0,0.023,0.035
"P22","No sabe",0,0,0.063,0.044
"P23","El estado nacional",0.253,0,0.104,0.022
"P23","El estado provincial",0.448,0,0.42,0.482
"P23","Ambos de forma coordinada",0.256,0,0.248,0.427
"P23","No sabe",0.043,0,0.228,0.069
"P24","Inseguridad y narcotráfico",0.554,0,0.119,0.05
"P24","Altos impuestos y tarifas",0.071,0,0.094,0.188
"P24","Educación y estado de las escuelas",0.081,0,0.465,0.383
"P24","Inflación",0.174,0,0.222,0.365
"P24","Estado de la salud",0.069,0,0.089,0.014
"P24","Corrupción",0.024,0,0.011,0
"P24","Pobreza",0.005,0,0,0
"P24","Medio ambiente, incendios y contaminación",0.001,0,0,0
"P24","Falta de trabajo",0.01,0,0,0
"P24","No sabe",0.011,0,0,0
"P28","Muy buena",0.131,0,0.032,0
"P28","Buena",0.061,0,0.06,0.219
"P28","Ni buena ni mala",0.23,0,0.399,0.546
"P28","Mala",0.39,0,0.366,0.168
"P28","Muy mala",0.171,0,0.136,0.024
"P28","No sabe",0.017,0,0.007,0.043
"P29","Peor",0.795,0,0.247,0.219
"P29","Igual",0.11,0,0.371,0.321
"P29","Mejor",0.034,0,0.346,0.151
"P29","No sabe",0.061,0,0.036,0.309
