"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Inseguridad y narcotráfico",0.306,0.319,0.292,0.228,0.351,0.392,0.188,0.364,0.277,0.285,0.3,0.285,0.517,0.4,0.266,0,0,0
"Altos impuestos y tarifas",0.198,0.234,0.164,0.229,0.189,0.158,0.229,0.181,0.227,0.17,0.17,0.232,0.104,0.142,0.245,0,0,0
"Educación y estado de las escuelas",0.208,0.182,0.233,0.179,0.189,0.178,0.362,0.205,0.233,0.167,0.259,0.232,0.146,0.136,0.231,0,0,0
"Inflación",0.195,0.193,0.197,0.325,0.147,0.153,0.152,0.22,0.171,0.208,0.199,0.171,0.095,0.204,0.18,0,0,0
"Estado de la salud",0.059,0.05,0.067,0.031,0.088,0.051,0.039,0.016,0.07,0.091,0.05,0.044,0.073,0.072,0.053,0,0,0
"Corrupción",0.017,0.005,0.028,0,0.023,0.032,0.007,0,0.015,0.039,0.007,0.034,0.022,0.015,0.021,0,0,0
"Pobreza",0.003,0.006,0.001,0.008,0,0.004,0.003,0,0,0.013,0,0.002,0,0.002,0.001,0,0,0
"Medio ambiente, incendios y contaminación",0.002,0.001,0.003,0,0.004,0,0.003,0,0,0.008,0.004,0,0,0.005,0,0,0,0
"Falta de trabajo",0.005,0.005,0.005,0,0.006,0.003,0.014,0,0.004,0.012,0.004,0,0.008,0.004,0.003,0,0,0
"No sabe",0.007,0.005,0.01,0,0.003,0.029,0.003,0.014,0.003,0.007,0.007,0,0.035,0.02,0,0,0,0
