"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.125,0.12,0.129,0.187,0.069,0.126,0.159,0.215,0.076,0.097,0.198,0.017,0.157,0.293,0.018,0,0,0,6
"Buena",0.104,0.076,0.131,0.047,0.107,0.157,0.13,0.047,0.105,0.175,0.119,0.009,0.306,0.216,0.046,0,0,0,6
"Ni buena ni mala",0.178,0.17,0.186,0.092,0.232,0.123,0.277,0.175,0.172,0.194,0.273,0.075,0.172,0.282,0.068,0,0,0,6
"Mala",0.178,0.205,0.153,0.187,0.159,0.231,0.135,0.244,0.146,0.155,0.181,0.205,0.043,0.053,0.231,0,0,0,6
"Muy mala",0.413,0.425,0.401,0.487,0.433,0.363,0.283,0.312,0.501,0.379,0.229,0.694,0.322,0.156,0.637,0,0,0,6
"No sabe",0.002,0.004,0,0,0,0,0.016,0.007,0,0,0,0,0,0,0,0,0,0,6
"Positiva",0.229,0.196,0.26,0.234,0.176,0.283,0.289,0.262,0.181,0.272,0.317,0.026,0.463,0.509,0.064,0,0,0,4
"Neutra",0.178,0.17,0.186,0.092,0.232,0.123,0.277,0.175,0.172,0.194,0.273,0.075,0.172,0.282,0.068,0,0,0,4
"Negativa",0.591,0.63,0.554,0.674,0.592,0.594,0.418,0.556,0.647,0.534,0.41,0.899,0.365,0.209,0.868,0,0,0,4
"No sabe",0.002,0.004,0,0,0,0,0.016,0.007,0,0,0,0,0,0,0,0,0,0,4
