"var","categoria","Gobierno nacional","Gobierno provincial","No sabe"
"P10","Gran excedente habitual",0.037,0,0
"P10","Gran excedente excepcional",0,0,0
"P10","Pequeño excedente habitual",0.004,0,0.008
"P10","Pequeño excedente excepcional",0.019,0,0.03
"P10","Alcanza gastos familia",0.083,0,0.117
"P10","No alcanza gastos familia",0.068,0,0.091
"P10","Solo NBFamiliares",0.262,0,0.245
"P10","No alcanza NBFamiliares",0.527,0,0.509
"P10","No sabe",0,0,0
"P11","Muy buena",0.192,0,0.085
"P11","Buena",0.267,0,0.144
"P11","Ni buena ni mala",0.308,0,0.441
"P11","Mala",0.151,0,0.264
"P11","Muy mala",0.071,0,0.042
"P11","No sabe",0.011,0,0.024
"P12","Muy buena",0.166,0,0.201
"P12","Buena",0.07,0,0.059
"P12","Ni buena ni mala",0.159,0,0.335
"P12","Mala",0.179,0,0.201
"P12","Muy mala",0.409,0,0.182
"P12","No sabe",0.017,0,0.022
"P14","Muy buena",0.357,0,0.167
"P14","Buena",0.189,0,0.162
"P14","Ni buena ni mala",0.23,0,0.263
"P14","Mala",0.077,0,0.31
"P14","Muy mala",0.141,0,0.064
"P14","No sabe",0.006,0,0.034
"P15","Muy buena",0.263,0,0.206
"P15","Buena",0.327,0,0.146
"P15","Ni buena ni mala",0.262,0,0.486
"P15","Mala",0.078,0,0.053
"P15","Muy mala",0.04,0,0.055
"P15","No sabe",0.03,0,0.054
"P19","Muy buena",0.127,0,0.075
"P19","Buena",0.266,0,0.202
"P19","Ni buena ni mala",0.23,0,0.403
"P19","Mala",0.216,0,0.23
"P19","Muy mala",0.152,0,0.076
"P19","No sabe",0.009,0,0.014
"P20","Muy buena",0.125,0,0.099
"P20","Buena",0.198,0,0.172
"P20","Ni buena ni mala",0.278,0,0.413
"P20","Mala",0.255,0,0.214
"P20","Muy mala",0.136,0,0.048
"P20","No sabe",0.008,0,0.054
"P21","Muy buena",0.144,0,0.072
"P21","Buena",0.134,0,0.126
"P21","Ni buena ni mala",0.357,0,0.508
"P21","Mala",0.119,0,0.18
"P21","Muy mala",0.212,0,0.061
"P21","No sabe",0.034,0,0.053
"P22","Muy de acuerdo",0.584,0,0.253
"P22","De acuerdo",0.212,0,0.238
"P22","Ni de acuerdo ni en desacuerdo",0.149,0,0.282
"P22","En desacuerdo",0.026,0,0.119
"P22","Muy en desacuerdo",0.029,0,0.005
"P22","No sabe",0,0,0.103
"P23","El estado nacional",0.225,0,0.125
"P23","El estado provincial",0.614,0,0.431
"P23","Ambos de forma coordinada",0.129,0,0.353
"P23","No sabe",0.032,0,0.091
"P24","Inseguridad y narcotráfico",0.504,0,0.175
"P24","Altos impuestos y tarifas",0.115,0,0.219
"P24","Educación y estado de las escuelas",0.151,0,0.332
"P24","Inflación",0.139,0,0.165
"P24","Estado de la salud",0.063,0,0.053
"P24","Corrupción",0.002,0,0.022
"P24","Pobreza",0.011,0,0
"P24","Medio ambiente, incendios y contaminación",0.009,0,0
"P24","Falta de trabajo",0.004,0,0
"P24","No sabe",0.002,0,0.034
"P28","Muy buena",0.158,0,0.087
"P28","Buena",0.156,0,0.066
"P28","Ni buena ni mala",0.308,0,0.49
"P28","Mala",0.256,0,0.251
"P28","Muy mala",0.118,0,0.06
"P28","No sabe",0.004,0,0.046
"P29","Peor",0.698,0,0.512
"P29","Igual",0.162,0,0.323
"P29","Mejor",0.093,0,0.113
