"var","categoria","A favor","En contra","No sabe"
"P08","Siempre",0.196,0.252,0.2
"P08","Casi siempre",0.327,0.397,0.355
"P08","Casi nunca",0.345,0.268,0.339
"P08","Nunca, pero esta es una excepción",0.132,0.083,0.106
"P09","Muy de acuerdo",0.519,0.088,0.094
"P09","De acuerdo",0.304,0.07,0.218
"P09","Ni de acuerdo ni en desacuerdo",0.149,0.214,0.56
"P09","En desacuerdo",0.015,0.269,0.069
"P09","Muy en desacuerdo",0.007,0.35,0.047
"P09","No sabe",0.006,0.009,0.012
"P10","De acuerdo",0.783,0.144,0.277
"P10","Ni de acuerdo ni en desacuerdo",0.144,0.191,0.341
"P10","En desacuerdo",0.031,0.546,0.274
"P10","No sabe",0.042,0.119,0.108
"P11","De acuerdo",0.819,0.272,0.485
"P11","Ni de acuerdo ni en desacuerdo",0.122,0.256,0.215
"P11","En desacuerdo",0.049,0.367,0.236
"P11","No sabe",0.01,0.105,0.064
"P12","De acuerdo",0.926,0.293,0.605
"P12","Ni de acuerdo ni en desacuerdo",0.045,0.284,0.147
"P12","En desacuerdo",0.021,0.324,0.178
"P12","No sabe",0.008,0.099,0.07
"P13","De acuerdo",0.782,0.162,0.306
"P13","Ni de acuerdo ni en desacuerdo",0.178,0.263,0.418
"P13","En desacuerdo",0.024,0.491,0.155
"P13","No sabe",0.016,0.084,0.121
"P14","De acuerdo",0.781,0.187,0.342
"P14","Ni de acuerdo ni en desacuerdo",0.176,0.233,0.346
"P14","En desacuerdo",0.024,0.527,0.206
"P14","No sabe",0.019,0.053,0.106
"P15","De acuerdo",0.702,0.267,0.442
"P15","Ni de acuerdo ni en desacuerdo",0.226,0.199,0.283
"P15","En desacuerdo",0.053,0.47,0.173
"P15","No sabe",0.019,0.064,0.102
"P16","De acuerdo",0.889,0.251,0.535
"P16","Ni de acuerdo ni en desacuerdo",0.074,0.21,0.192
"P16","En desacuerdo",0.024,0.448,0.134
"P16","No sabe",0.013,0.091,0.139
"P17","De acuerdo",0.692,0.092,0.203
"P17","Ni de acuerdo ni en desacuerdo",0.185,0.077,0.321
"P17","En desacuerdo",0.107,0.794,0.396
"P17","No sabe",0.016,0.037,0.08
"P18","De acuerdo",0.631,0.054,0.159
"P18","Ni de acuerdo ni en desacuerdo",0.246,0.099,0.353
"P18","En desacuerdo",0.089,0.784,0.355
"P18","No sabe",0.034,0.063,0.133
"P19","De acuerdo",0.835,0.106,0.269
"P19","Ni de acuerdo ni en desacuerdo",0.093,0.082,0.279
"P19","En desacuerdo",0.065,0.776,0.386
"P19","No sabe",0.007,0.036,0.066
"P20","De acuerdo",0.775,0.107,0.218
"P20","Ni de acuerdo ni en desacuerdo",0.149,0.124,0.338
"P20","En desacuerdo",0.057,0.719,0.315
"P20","No sabe",0.019,0.05,0.129
"P21","De acuerdo",0.793,0.129,0.291
"P21","Ni de acuerdo ni en desacuerdo",0.131,0.095,0.221
"P21","En desacuerdo",0.063,0.757,0.366
"P21","No sabe",0.013,0.019,0.122
"P22","Si",0.428,0.599,0.345
"P22","No",0.366,0.171,0.162
"P22","No sabe",0.206,0.23,0.493
"P23","Si",0.628,0.113,0.178
"P23","No",0.275,0.79,0.621
"P23","No sabe",0.097,0.097,0.201
"P24","Si",0.545,0.061,0.137
"P24","No",0.322,0.851,0.632
"P24","No sabe",0.133,0.088,0.231
"P25","Si",0.618,0.082,0.106
"P25","No",0.291,0.844,0.623
"P25","No sabe",0.091,0.074,0.271
