"var","categoria","Si","No","No sabe"
"P08","Siempre",0.237,0.224,0.17
"P08","Casi siempre",0.338,0.341,0.384
"P08","Casi nunca",0.309,0.319,0.325
"P08","Nunca, pero esta es una excepción",0.116,0.116,0.121
"P09","Muy de acuerdo",0.336,0.502,0.232
"P09","De acuerdo",0.215,0.246,0.255
"P09","Ni de acuerdo ni en desacuerdo",0.184,0.17,0.343
"P09","En desacuerdo",0.108,0.049,0.076
"P09","Muy en desacuerdo",0.148,0.031,0.079
"P09","No sabe",0.009,0.002,0.015
"P10","De acuerdo",0.527,0.72,0.419
"P10","Ni de acuerdo ni en desacuerdo",0.191,0.12,0.256
"P10","En desacuerdo",0.225,0.121,0.198
"P10","No sabe",0.057,0.039,0.127
"P11","De acuerdo",0.621,0.742,0.532
"P11","Ni de acuerdo ni en desacuerdo",0.173,0.142,0.206
"P11","En desacuerdo",0.17,0.08,0.21
"P11","No sabe",0.036,0.036,0.052
"P12","De acuerdo",0.694,0.841,0.649
"P12","Ni de acuerdo ni en desacuerdo",0.128,0.066,0.157
"P12","En desacuerdo",0.142,0.057,0.143
"P12","No sabe",0.036,0.036,0.051
"P13","De acuerdo",0.564,0.691,0.426
"P13","Ni de acuerdo ni en desacuerdo",0.199,0.188,0.334
"P13","En desacuerdo",0.203,0.089,0.149
"P13","No sabe",0.034,0.032,0.091
"P14","De acuerdo",0.568,0.719,0.419
"P14","Ni de acuerdo ni en desacuerdo",0.191,0.169,0.314
"P14","En desacuerdo",0.218,0.088,0.181
"P14","No sabe",0.023,0.024,0.086
"P15","De acuerdo",0.571,0.616,0.472
"P15","Ni de acuerdo ni en desacuerdo",0.18,0.249,0.275
"P15","En desacuerdo",0.219,0.095,0.183
"P15","No sabe",0.03,0.04,0.07
"P16","De acuerdo",0.651,0.774,0.635
"P16","Ni de acuerdo ni en desacuerdo",0.12,0.121,0.132
"P16","En desacuerdo",0.19,0.072,0.146
"P16","No sabe",0.039,0.033,0.087
"P17","De acuerdo",0.455,0.607,0.373
"P17","Ni de acuerdo ni en desacuerdo",0.142,0.188,0.221
"P17","En desacuerdo",0.377,0.187,0.349
"P17","No sabe",0.026,0.018,0.057
"P18","De acuerdo",0.443,0.528,0.279
"P18","Ni de acuerdo ni en desacuerdo",0.139,0.276,0.311
"P18","En desacuerdo",0.376,0.167,0.299
"P18","No sabe",0.042,0.029,0.111
"P19","De acuerdo",0.553,0.725,0.455
"P19","Ni de acuerdo ni en desacuerdo",0.09,0.11,0.169
"P19","En desacuerdo",0.337,0.158,0.324
"P19","No sabe",0.02,0.007,0.052
"P20","De acuerdo",0.53,0.676,0.37
"P20","Ni de acuerdo ni en desacuerdo",0.131,0.164,0.245
"P20","En desacuerdo",0.312,0.131,0.299
"P20","No sabe",0.027,0.029,0.086
"P21","De acuerdo",0.568,0.711,0.383
"P21","Ni de acuerdo ni en desacuerdo",0.112,0.123,0.185
"P21","En desacuerdo",0.306,0.139,0.371
"P21","No sabe",0.014,0.027,0.061
"P23","Si",0.481,0.535,0.266
"P23","No",0.45,0.409,0.481
"P23","No sabe",0.069,0.056,0.253
"P24","Si",0.372,0.514,0.204
"P24","No",0.538,0.414,0.505
"P24","No sabe",0.09,0.072,0.291
"P25","Si",0.413,0.557,0.26
"P25","No",0.515,0.361,0.527
"P25","No sabe",0.072,0.082,0.213
"P26","A favor",0.577,0.781,0.511
"P26","En contra",0.325,0.146,0.23
"P26","No sabe",0.098,0.073,0.259
