"var","categoria","Sí, mucho","Si, un poco","No"
"P06","1 hijo",0.536,0.553,0.635
"P06","2 hijos",0.319,0.311,0.264
"P06","3 hijos",0.084,0.102,0.058
"P06","4 o más hijos",0.061,0.034,0.043
"P07","Con hijos de 3 años y menos",0.562,0.388,0.357
"P07","Con hijos mayores de 3 años",0.438,0.612,0.643
"P08","En un Centro de Salud",0.522,0.5,0.433
"P08","En un hospital",0.273,0.255,0.263
"P08","En un sanatorio",0.022,0.032,0.045
"P08","En un Consultorio Privado",0.031,0.025,0.049
"P08","En un vacunatorio",0.152,0.188,0.21
"P09","Si",0.97,0.979,0.968
"P09","No",0.03,0.021,0.032
"P10","Si, son efectivas",0.973,0.992,0.998
"P10","No, no son efectivas",0.027,0.008,0.002
"P11","Si",0.925,0.983,0.99
"P11","No",0.075,0.017,0.01
"P12","Si",0.226,0.122,0.168
"P12","No",0.774,0.878,0.832
"P13","La quíntuple",0.211,0.095,0.092
"P13","La triple viral (Sarampión, rubeola y paperas)",0.117,0.102,0.007
"P13","La Neumococo",0.054,0.107,0.097
"P13","La BCG",0.039,0.052,0.08
"P13","Otra",0.227,0.177,0.139
"P13","No recuerda",0.352,0.467,0.585
"P14","Si",0.918,0.942,0.921
"P14","No",0.082,0.058,0.079
"P15","Si, las conozco",0.775,0.833,0.82
"P15","No, no las conozco",0.113,0.061,0.074
"P15","Algunas",0.112,0.106,0.106
"P16","Si",0.741,0.712,0.759
"P16","A veces",0.188,0.229,0.185
"P16","No",0.071,0.059,0.056
"P17","Sí, hay suficiente información",0.244,0.223,0.274
"P17","No, no hay suficiente información",0.756,0.777,0.726
"P18","Si",0.204,0.061,0.027
"P18","Sí, pero es necesario",0.583,0.552,0.371
"P18","No",0.213,0.387,0.602
"P20","Si",0.442,0.126,0.044
"P20","No",0.487,0.81,0.834
"P20","No recuerda",0.071,0.064,0.122
"P21","La quíntuple",0.206,0.194,0.567
"P21","La triple viral (Sarampión, rubeola y paperas)",0.199,0.211,0.05
"P21","La Neumococo",0.069,0.094,0.067
"P21","La BCG",0.055,0.051,0.036
"P21","Otra",0.074,0.091,0.021
"P21","No recuerda",0.397,0.359,0.259
"P22","Si",0.76,0.6,0.486
"P22","No",0.188,0.302,0.452
"P22","No recuerda",0.052,0.098,0.062
"P23","La quíntuple",0.266,0.187,0.247
"P23","La triple viral (Sarampión, rubeola y paperas)",0.166,0.154,0.122
"P23","La Neumococo",0.055,0.042,0.055
"P23","La BCG",0.064,0.08,0.097
"P23","Otra",0.077,0.059,0.045
"P23","No recuerda",0.372,0.478,0.434
"P24","Sí, una vez",0.179,0.106,0.085
"P24","Si varias veces",0.111,0.066,0.067
"P24","No",0.598,0.741,0.735
"P24","No recuerdo",0.112,0.087,0.113
"P25","Si",0.688,0.675,0.752
"P25","No",0.312,0.325,0.248
"P26","Si",0.455,0.511,0.545
"P26","No",0.545,0.489,0.455
"P27","Si, la Polio y la quíntuple",0.176,0.164,0.154
"P27","Si, la triple viral y la BCG",0.252,0.222,0.2
"P27","Otras",0.05,0.039,0.061
"P27","No recuerdo",0.522,0.575,0.585
"P28","Si",0.232,0.318,0.41
"P28","No",0.768,0.682,0.59
"P29","Si",0.119,0.168,0.276
"P29","No",0.881,0.832,0.724
"P30","Si, Infanrix",0.185,0.1,0.165
"P30","Si, Hexaxim",0.126,0.113,0.05
"P30","No recuerdo",0.689,0.787,0.785
"P31","Si",0.888,0.925,0.94
"P31","No",0.112,0.075,0.06
"P32","Si",0.451,0.525,0.482
"P32","No",0.549,0.475,0.518
"P33","Miedo al contagio",0.518,0.37,0.401
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.283,0.345,0.337
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.124,0.224,0.206
"P33","Porque era costoso el viaje",0.075,0.061,0.056
"P34","Si, una dosis",0.529,0.527,0.544
"P34","Si, dos dosis",0.278,0.388,0.408
"P34","Ninguna",0.193,0.085,0.048
"P35","Sputnik V",0.272,0.279,0.356
"P35","Sinopharm",0.352,0.318,0.27
"P35","AstraZeneca",0.346,0.348,0.331
"P35","Johnson",0.005,0.002,0
"P35","Phizer",0.001,0.01,0.002
"P35","Moderna",0.006,0.01,0.02
"P35","Otra",0.018,0.033,0.021
