"var","categoria","Si","No","No recuerda"
"P06","1 hijo",0.527,0.631,0.593
"P06","2 hijos",0.333,0.249,0.324
"P06","3 hijos",0.093,0.092,0.07
"P06","4 o más hijos",0.047,0.028,0.013
"P07","Con hijos de 3 años y menos",0.46,0.368,0.227
"P07","Con hijos mayores de 3 años",0.54,0.632,0.773
"P08","En un Centro de Salud",0.519,0.444,0.491
"P08","En un hospital",0.244,0.288,0.263
"P08","En un sanatorio",0.03,0.04,0.023
"P08","En un Consultorio Privado",0.025,0.034,0.035
"P08","En un vacunatorio",0.182,0.194,0.188
"P09","Si",0.976,0.973,0.983
"P09","No",0.024,0.027,0.017
"P10","Si, son efectivas",0.989,0.991,0.978
"P10","No, no son efectivas",0.011,0.009,0.022
"P11","Si",0.971,0.973,0.968
"P11","No",0.029,0.027,0.032
"P12","Si",0.164,0.134,0.106
"P12","No",0.836,0.866,0.894
"P13","La quíntuple",0.131,0.147,0.135
"P13","La triple viral (Sarampión, rubeola y paperas)",0.086,0.107,0.039
"P13","La Neumococo",0.084,0.082,0.156
"P13","La BCG",0.06,0.039,0.02
"P13","Otra",0.21,0.145,0.212
"P13","No recuerda",0.429,0.48,0.438
"P14","Si",0.937,0.933,0.941
"P14","No",0.063,0.067,0.059
"P15","Si, las conozco",0.818,0.846,0.77
"P15","No, no las conozco",0.068,0.078,0.063
"P15","Algunas",0.114,0.076,0.167
"P16","Si",0.704,0.765,0.683
"P16","A veces",0.226,0.19,0.247
"P16","No",0.07,0.045,0.07
"P17","Sí, hay suficiente información",0.234,0.22,0.26
"P17","No, no hay suficiente información",0.766,0.78,0.74
"P18","Si",0.101,0.068,0.071
"P18","Sí, pero es necesario",0.554,0.494,0.527
"P18","No",0.345,0.438,0.402
"P19","Sí, mucho",0.251,0.13,0.125
"P19","Si, un poco",0.657,0.69,0.789
"P19","No",0.092,0.18,0.086
"P20","Si",0.232,0.065,0.086
"P20","No",0.704,0.875,0.74
"P20","No recuerda",0.064,0.06,0.174
"P21","La quíntuple",0.226,0.163,0.11
"P21","La triple viral (Sarampión, rubeola y paperas)",0.169,0.325,0.382
"P21","La Neumococo",0.097,0,0
"P21","La BCG",0.059,0.017,0.038
"P21","Otra",0.086,0.034,0.103
"P21","No recuerda",0.363,0.461,0.367
"P24","Sí, una vez",0.154,0.047,0.111
"P24","Si varias veces",0.06,0.112,0.055
"P24","No",0.676,0.794,0.678
"P24","No recuerdo",0.11,0.047,0.156
"P25","Si",0.705,0.684,0.563
"P25","No",0.295,0.316,0.437
"P26","Si",0.481,0.549,0.515
"P26","No",0.519,0.451,0.485
"P27","Si, la Polio y la quíntuple",0.169,0.174,0.119
"P27","Si, la triple viral y la BCG",0.201,0.272,0.227
"P27","Otras",0.039,0.047,0.062
"P27","No recuerdo",0.591,0.507,0.592
"P28","Si",0.297,0.353,0.284
"P28","No",0.703,0.647,0.716
"P29","Si",0.166,0.203,0.107
"P29","No",0.834,0.797,0.893
"P30","Si, Infanrix",0.112,0.157,0.03
"P30","Si, Hexaxim",0.109,0.089,0.125
"P30","No recuerdo",0.779,0.754,0.845
"P31","Si",0.91,0.937,0.932
"P31","No",0.09,0.063,0.068
"P32","Si",0.529,0.503,0.372
"P32","No",0.471,0.497,0.628
"P33","Miedo al contagio",0.416,0.427,0.291
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.33,0.286,0.447
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.204,0.214,0.159
"P33","Porque era costoso el viaje",0.05,0.073,0.103
"P34","Si, una dosis",0.521,0.559,0.491
"P34","Si, dos dosis",0.357,0.383,0.419
"P34","Ninguna",0.122,0.058,0.09
"P35","Sputnik V",0.271,0.328,0.262
"P35","Sinopharm",0.326,0.303,0.311
"P35","AstraZeneca",0.352,0.326,0.37
"P35","Johnson",0.002,0.003,0
"P35","Phizer",0.007,0.011,0
"P35","Moderna",0.011,0.007,0.019
"P35","Otra",0.031,0.022,0.038
