"var","categoria","Sputnik V","Sinopharm","AstraZeneca","Johnson","Phizer","Moderna","Otra"
"P06","1 hijo",0.592,0.506,0.589,0.706,0.264,0.381,0.55
"P06","2 hijos",0.305,0.351,0.298,0.294,0.413,0.502,0.295
"P06","3 hijos",0.078,0.108,0.083,0,0.024,0,0.084
"P06","4 o más hijos",0.025,0.035,0.03,0,0.299,0.117,0.071
"P07","Con hijos de 3 años y menos",0.396,0.456,0.37,0.309,0.024,0.469,0.389
"P07","Con hijos mayores de 3 años",0.604,0.544,0.63,0.691,0.976,0.531,0.611
"P08","En un Centro de Salud",0.493,0.486,0.486,0.197,0.232,0.352,0.525
"P08","En un hospital",0.235,0.295,0.237,0.368,0.692,0.211,0.194
"P08","En un sanatorio",0.04,0.028,0.036,0,0,0.014,0.033
"P08","En un Consultorio Privado",0.018,0.024,0.025,0.29,0.032,0,0.076
"P08","En un vacunatorio",0.214,0.167,0.216,0.145,0.044,0.423,0.172
"P09","Si",0.978,0.981,0.984,1,1,1,0.905
"P09","No",0.022,0.019,0.016,0,0,0,0.095
"P10","Si, son efectivas",0.999,0.993,0.996,1,1,1,1
"P10","No, no son efectivas",0.001,0.007,0.004,0,0,0,0
"P11","Si",0.995,0.982,0.978,0.92,1,1,0.932
"P11","No",0.005,0.018,0.022,0.08,0,0,0.068
"P12","Si",0.151,0.13,0.138,0.309,0.299,0.335,0.143
"P12","No",0.849,0.87,0.862,0.691,0.701,0.665,0.857
"P13","La quíntuple",0.103,0.075,0.175,0,0,0,0.046
"P13","La triple viral (Sarampión, rubeola y paperas)",0.023,0.129,0.093,0,0,0,0
"P13","La Neumococo",0.094,0.123,0.05,0.251,0,0.303,0.124
"P13","La BCG",0.091,0.059,0.028,0,0,0,0
"P13","Otra",0.177,0.238,0.182,0,0,0,0.087
"P13","No recuerda",0.512,0.376,0.472,0.749,1,0.697,0.743
"P14","Si",0.944,0.957,0.947,0.935,1,0.827,0.796
"P14","No",0.056,0.043,0.053,0.065,0,0.173,0.204
"P15","Si, las conozco",0.855,0.847,0.825,1,0.907,0.768,0.833
"P15","No, no las conozco",0.061,0.066,0.058,0,0,0,0.055
"P15","Algunas",0.084,0.087,0.117,0,0.093,0.232,0.112
"P16","Si",0.739,0.714,0.753,1,0.669,0.661,0.602
"P16","A veces",0.204,0.231,0.198,0,0.032,0.339,0.339
"P16","No",0.057,0.055,0.049,0,0.299,0,0.059
"P17","Sí, hay suficiente información",0.242,0.194,0.209,0.204,0.024,0.189,0.204
"P17","No, no hay suficiente información",0.758,0.806,0.791,0.796,0.976,0.811,0.796
"P18","Si",0.07,0.071,0.064,0.08,0,0.183,0.156
"P18","Sí, pero es necesario",0.527,0.565,0.543,0.691,0.56,0.392,0.481
"P18","No",0.403,0.364,0.393,0.229,0.44,0.425,0.363
"P19","Sí, mucho",0.159,0.186,0.167,0.37,0.02,0.096,0.107
"P19","Si, un poco",0.689,0.709,0.715,0.63,0.948,0.673,0.805
"P19","No",0.152,0.105,0.118,0,0.032,0.231,0.088
"P20","Si",0.146,0.154,0.138,0.08,0.233,0.122,0.054
"P20","No",0.784,0.765,0.81,0.691,0.767,0.878,0.827
"P20","No recuerda",0.07,0.081,0.052,0.229,0,0,0.119
"P21","La quíntuple",0.18,0.225,0.311,0,0,0,0.344
"P21","La triple viral (Sarampión, rubeola y paperas)",0.156,0.238,0.175,1,0.598,0,0.107
"P21","La Neumococo",0.012,0.109,0.073,0,0,0,0.092
"P21","La BCG",0.093,0.015,0.063,0,0,0,0.338
"P21","Otra",0.071,0.068,0.042,0,0,0,0
"P21","No recuerda",0.488,0.345,0.336,0,0.402,1,0.119
"P22","Si",0.569,0.62,0.615,0.571,0.555,0.633,0.646
"P22","No",0.347,0.29,0.286,0.429,0.445,0.202,0.232
"P22","No recuerda",0.084,0.09,0.099,0,0,0.165,0.122
"P23","La quíntuple",0.245,0.224,0.18,0.139,0,0.023,0.331
"P23","La triple viral (Sarampión, rubeola y paperas)",0.123,0.164,0.176,0,0.267,0.03,0.213
"P23","La Neumococo",0.057,0.038,0.068,0,0,0,0
"P23","La BCG",0.076,0.101,0.095,0.113,0,0,0.101
"P23","Otra",0.076,0.038,0.043,0,0,0,0.023
"P23","No recuerda",0.423,0.435,0.438,0.748,0.733,0.947,0.332
"P24","Sí, una vez",0.095,0.106,0.104,0.08,0.391,0.117,0.09
"P24","Si varias veces",0.053,0.097,0.041,0.29,0.299,0.189,0.023
"P24","No",0.746,0.72,0.754,0.63,0.266,0.598,0.808
"P24","No recuerdo",0.106,0.077,0.101,0,0.044,0.096,0.079
"P25","Si",0.724,0.656,0.691,0.861,0.467,0.453,0.736
"P25","No",0.276,0.344,0.309,0.139,0.533,0.547,0.264
"P26","Si",0.553,0.501,0.511,0.781,0.528,0.336,0.548
"P26","No",0.447,0.499,0.489,0.219,0.472,0.664,0.452
"P27","Si, la Polio y la quíntuple",0.181,0.17,0.161,0.487,0.619,0.014,0.037
"P27","Si, la triple viral y la BCG",0.209,0.236,0.233,0.08,0.256,0.45,0.336
"P27","Otras",0.047,0.039,0.045,0.065,0,0.165,0.016
"P27","No recuerdo",0.563,0.555,0.561,0.368,0.125,0.371,0.611
"P28","Si",0.345,0.276,0.338,0.29,0.136,0.078,0.282
"P28","No",0.655,0.724,0.662,0.71,0.864,0.922,0.718
"P29","Si",0.201,0.167,0.159,0.29,0.032,0.039,0.046
"P29","No",0.799,0.833,0.841,0.71,0.968,0.961,0.954
"P30","Si, Infanrix",0.145,0.1,0.111,0,0,0.656,0.246
"P30","Si, Hexaxim",0.101,0.071,0.108,0,0,0.344,0.252
"P30","No recuerdo",0.754,0.829,0.781,1,1,0,0.502
"P31","Si",0.926,0.935,0.942,1,1,1,0.795
"P31","No",0.074,0.065,0.058,0,0,0,0.205
"P32","Si",0.566,0.515,0.537,0.855,0.576,0.439,0.747
"P32","No",0.434,0.485,0.463,0.145,0.424,0.561,0.253
"P33","Miedo al contagio",0.339,0.437,0.417,1,0.689,0.309,0.44
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.37,0.341,0.334,0,0.227,0.408,0.056
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.213,0.153,0.184,0,0.084,0.255,0.395
"P33","Porque era costoso el viaje",0.078,0.069,0.065,0,0,0.028,0.109
"P34","Si, una dosis",0.771,0.375,0.666,0.448,0.44,0.262,0.643
"P34","Si, dos dosis",0.229,0.625,0.334,0.552,0.56,0.738,0.357
