"var","categoria","Con hijos de 3 años y menos","Con hijos mayores de 3 años"
"P06","1 hijo",0.419,0.667
"P06","2 hijos",0.363,0.257
"P06","3 hijos",0.151,0.054
"P06","4 o más hijos",0.067,0.022
"P08","En un Centro de Salud",0.521,0.49
"P08","En un hospital",0.252,0.26
"P08","En un sanatorio",0.04,0.035
"P08","En un Consultorio Privado",0.036,0.03
"P08","En un vacunatorio",0.151,0.185
"P09","Si",0.956,0.978
"P09","No",0.044,0.022
"P10","Si, son efectivas",0.974,0.984
"P10","No, no son efectivas",0.026,0.016
"P11","Si",0.941,0.977
"P11","No",0.059,0.023
"P12","Si",0.191,0.156
"P12","No",0.809,0.844
"P13","La quíntuple",0.165,0.083
"P13","La triple viral (Sarampión, rubeola y paperas)",0.13,0.067
"P13","La Neumococo",0.057,0.124
"P13","La BCG",0.037,0.052
"P13","Otra",0.171,0.186
"P13","No recuerda",0.44,0.488
"P14","Si",0.93,0.941
"P14","No",0.07,0.059
"P15","Si, las conozco",0.788,0.833
"P15","No, no las conozco",0.101,0.064
"P15","Algunas",0.111,0.103
"P16","Si",0.713,0.728
"P16","A veces",0.223,0.208
"P16","No",0.064,0.064
"P17","Sí, hay suficiente información",0.244,0.227
"P17","No, no hay suficiente información",0.756,0.773
"P18","Si",0.098,0.08
"P18","Sí, pero es necesario",0.614,0.481
"P18","No",0.288,0.439
"P19","Sí, mucho",0.28,0.158
"P19","Si, un poco",0.621,0.712
"P19","No",0.099,0.13
"P20","Si",0.223,0.152
"P20","No",0.705,0.776
"P20","No recuerda",0.072,0.072
"P21","La quíntuple",0.206,0.216
"P21","La triple viral (Sarampión, rubeola y paperas)",0.173,0.228
"P21","La Neumococo",0.09,0.071
"P21","La BCG",0.026,0.079
"P21","Otra",0.101,0.06
"P21","No recuerda",0.404,0.346
"P22","Si",0.69,0.57
"P22","No",0.264,0.319
"P22","No recuerda",0.046,0.111
"P23","La quíntuple",0.241,0.186
"P23","La triple viral (Sarampión, rubeola y paperas)",0.141,0.166
"P23","La Neumococo",0.056,0.038
"P23","La BCG",0.061,0.092
"P23","Otra",0.075,0.05
"P23","No recuerda",0.426,0.468
"P24","Sí, una vez",0.128,0.111
"P24","Si varias veces",0.096,0.06
"P24","No",0.685,0.731
"P24","No recuerdo",0.091,0.098
"P25","Si",0.689,0.685
"P25","No",0.311,0.315
"P26","Si",0.479,0.522
"P26","No",0.521,0.478
"P27","Si, la Polio y la quíntuple",0.193,0.146
"P27","Si, la triple viral y la BCG",0.21,0.236
"P27","Otras",0.045,0.043
"P27","No recuerdo",0.552,0.575
"P28","Si",0.314,0.312
"P28","No",0.686,0.688
"P29","Si",0.172,0.171
"P29","No",0.828,0.829
"P30","Si, Infanrix",0.127,0.12
"P30","Si, Hexaxim",0.16,0.064
"P30","No recuerdo",0.713,0.816
"P31","Si",0.916,0.924
"P31","No",0.084,0.076
"P32","Si",0.617,0.431
"P32","No",0.383,0.569
"P33","Miedo al contagio",0.396,0.408
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.307,0.343
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.251,0.178
"P33","Porque era costoso el viaje",0.046,0.071
"P34","Si, una dosis",0.556,0.511
"P34","Si, dos dosis",0.326,0.402
"P34","Ninguna",0.118,0.087
"P35","Sputnik V",0.282,0.291
"P35","Sinopharm",0.358,0.29
"P35","AstraZeneca",0.317,0.365
"P35","Johnson",0.002,0.003
"P35","Phizer",0,0.012
"P35","Moderna",0.013,0.01
"P35","Otra",0.028,0.029
