"var","categoria","Si","A veces","No"
"P06","1 hijo",0.565,0.531,0.606
"P06","2 hijos",0.309,0.3,0.289
"P06","3 hijos",0.089,0.122,0.074
"P06","4 o más hijos",0.037,0.047,0.031
"P07","Con hijos de 3 años y menos",0.418,0.439,0.421
"P07","Con hijos mayores de 3 años",0.582,0.561,0.579
"P08","En un Centro de Salud",0.496,0.547,0.411
"P08","En un hospital",0.254,0.242,0.391
"P08","En un sanatorio",0.037,0.016,0.01
"P08","En un Consultorio Privado",0.033,0.028,0.006
"P08","En un vacunatorio",0.18,0.167,0.182
"P09","Si",0.983,0.957,0.931
"P09","No",0.017,0.043,0.069
"P10","Si, son efectivas",0.99,0.98,0.979
"P10","No, no son efectivas",0.01,0.02,0.021
"P11","Si",0.98,0.952,0.948
"P11","No",0.02,0.048,0.052
"P12","Si",0.125,0.181,0.349
"P12","No",0.875,0.819,0.651
"P13","La quíntuple",0.14,0.098,0.151
"P13","La triple viral (Sarampión, rubeola y paperas)",0.084,0.173,0.062
"P13","La Neumococo",0.086,0.094,0.113
"P13","La BCG",0.033,0.052,0.108
"P13","Otra",0.202,0.194,0.076
"P13","No recuerda",0.455,0.389,0.49
"P14","Si",0.942,0.923,0.936
"P14","No",0.058,0.077,0.064
"P15","Si, las conozco",0.858,0.718,0.654
"P15","No, no las conozco",0.061,0.121,0.139
"P15","Algunas",0.081,0.161,0.207
"P17","Sí, hay suficiente información",0.279,0.123,0.103
"P17","No, no hay suficiente información",0.721,0.877,0.897
"P18","Si",0.088,0.086,0.093
"P18","Sí, pero es necesario",0.546,0.551,0.382
"P18","No",0.366,0.363,0.525
"P19","Sí, mucho",0.214,0.182,0.243
"P19","Si, un poco",0.663,0.717,0.649
"P19","No",0.123,0.101,0.108
"P20","Si",0.178,0.191,0.198
"P20","No",0.759,0.713,0.71
"P20","No recuerda",0.063,0.096,0.092
"P21","La quíntuple",0.208,0.25,0.111
"P21","La triple viral (Sarampión, rubeola y paperas)",0.221,0.164,0.123
"P21","La Neumococo",0.055,0.08,0.326
"P21","La BCG",0.064,0.027,0.025
"P21","Otra",0.088,0.068,0.045
"P21","No recuerda",0.364,0.411,0.37
"P22","Si",0.606,0.646,0.69
"P22","No",0.314,0.258,0.215
"P22","No recuerda",0.08,0.096,0.095
"P23","La quíntuple",0.229,0.15,0.231
"P23","La triple viral (Sarampión, rubeola y paperas)",0.171,0.119,0.104
"P23","La Neumococo",0.05,0.044,0.023
"P23","La BCG",0.079,0.08,0.053
"P23","Otra",0.059,0.053,0.116
"P23","No recuerda",0.412,0.554,0.473
"P24","Sí, una vez",0.125,0.11,0.06
"P24","Si varias veces",0.07,0.081,0.118
"P24","No",0.718,0.691,0.715
"P24","No recuerdo",0.087,0.118,0.107
"P25","Si",0.716,0.645,0.49
"P25","No",0.284,0.355,0.51
"P26","Si",0.575,0.342,0.265
"P26","No",0.425,0.658,0.735
"P27","Si, la Polio y la quíntuple",0.188,0.107,0.119
"P27","Si, la triple viral y la BCG",0.235,0.188,0.238
"P27","Otras",0.042,0.047,0.051
"P27","No recuerdo",0.535,0.658,0.592
"P28","Si",0.381,0.162,0.07
"P28","No",0.619,0.838,0.93
"P29","Si",0.2,0.097,0.117
"P29","No",0.8,0.903,0.883
"P30","Si, Infanrix",0.118,0.19,0
"P30","Si, Hexaxim",0.098,0.154,0.041
"P30","No recuerdo",0.784,0.656,0.959
"P31","Si",0.937,0.887,0.848
"P31","No",0.063,0.113,0.152
"P32","Si",0.527,0.443,0.509
"P32","No",0.473,0.557,0.491
"P33","Miedo al contagio",0.442,0.291,0.448
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.322,0.386,0.218
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.178,0.244,0.283
"P33","Porque era costoso el viaje",0.058,0.079,0.051
"P34","Si, una dosis",0.544,0.493,0.487
"P34","Si, dos dosis",0.374,0.375,0.314
"P34","Ninguna",0.082,0.132,0.199
"P35","Sputnik V",0.29,0.274,0.298
"P35","Sinopharm",0.31,0.342,0.321
"P35","AstraZeneca",0.356,0.32,0.309
"P35","Johnson",0.003,0,0
"P35","Phizer",0.007,0.001,0.041
"P35","Moderna",0.01,0.017,0
"P35","Otra",0.024,0.046,0.031
