"var","categoria","1 hijo","2 hijos","3 hijos","4 o más hijos"
"P07","Con hijos de 3 años y menos",0.327,0.522,0.684,0.7
"P07","Con hijos mayores de 3 años",0.673,0.478,0.316,0.3
"P08","En un Centro de Salud",0.479,0.496,0.648,0.548
"P08","En un hospital",0.26,0.273,0.197,0.228
"P08","En un sanatorio",0.049,0.025,0.02,0.01
"P08","En un Consultorio Privado",0.035,0.023,0.04,0.053
"P08","En un vacunatorio",0.177,0.183,0.095,0.161
"P09","Si",0.978,0.969,0.93,0.919
"P09","No",0.022,0.031,0.07,0.081
"P10","Si, son efectivas",0.988,0.979,0.934,0.985
"P10","No, no son efectivas",0.012,0.021,0.066,0.015
"P11","Si",0.971,0.966,0.903,0.938
"P11","No",0.029,0.034,0.097,0.062
"P12","Si",0.18,0.14,0.166,0.291
"P12","No",0.82,0.86,0.834,0.709
"P13","La quíntuple",0.141,0.087,0.08,0.12
"P13","La triple viral (Sarampión, rubeola y paperas)",0.092,0.068,0.172,0.128
"P13","La Neumococo",0.082,0.115,0.101,0.105
"P13","La BCG",0.042,0.03,0.072,0.097
"P13","Otra",0.173,0.248,0.077,0.122
"P13","No recuerda",0.47,0.452,0.498,0.428
"P14","Si",0.942,0.933,0.916,0.922
"P14","No",0.058,0.067,0.084,0.078
"P15","Si, las conozco",0.817,0.841,0.744,0.729
"P15","No, no las conozco",0.072,0.073,0.132,0.122
"P15","Algunas",0.111,0.086,0.124,0.149
"P16","Si",0.728,0.729,0.675,0.691
"P16","A veces",0.203,0.21,0.275,0.258
"P16","No",0.069,0.061,0.05,0.051
"P17","Sí, hay suficiente información",0.219,0.228,0.291,0.358
"P17","No, no hay suficiente información",0.781,0.772,0.709,0.642
"P18","Si",0.078,0.095,0.133,0.062
"P18","Sí, pero es necesario",0.534,0.535,0.525,0.613
"P18","No",0.388,0.37,0.342,0.325
"P19","Sí, mucho",0.2,0.217,0.189,0.316
"P19","Si, un poco",0.667,0.682,0.738,0.56
"P19","No",0.133,0.101,0.073,0.124
"P20","Si",0.173,0.164,0.258,0.267
"P20","No",0.751,0.779,0.653,0.638
"P20","No recuerda",0.076,0.057,0.089,0.095
"P21","La quíntuple",0.223,0.14,0.215,0.463
"P21","La triple viral (Sarampión, rubeola y paperas)",0.187,0.206,0.304,0.038
"P21","La Neumococo",0.056,0.094,0.125,0.157
"P21","La BCG",0.062,0.022,0.028,0.177
"P21","Otra",0.086,0.091,0.068,0
"P21","No recuerda",0.386,0.447,0.26,0.165
"P22","Si",0.58,0.671,0.634,0.758
"P22","No",0.331,0.24,0.301,0.213
"P22","No recuerda",0.089,0.089,0.065,0.029
"P23","La quíntuple",0.23,0.187,0.231,0.13
"P23","La triple viral (Sarampión, rubeola y paperas)",0.157,0.148,0.159,0.161
"P23","La Neumococo",0.037,0.06,0.04,0.072
"P23","La BCG",0.083,0.064,0.07,0.128
"P23","Otra",0.039,0.095,0.073,0.065
"P23","No recuerda",0.454,0.446,0.427,0.444
"P24","Sí, una vez",0.121,0.103,0.125,0.169
"P24","Si varias veces",0.084,0.055,0.052,0.164
"P24","No",0.699,0.746,0.73,0.585
"P24","No recuerdo",0.096,0.096,0.093,0.082
"P25","Si",0.702,0.694,0.573,0.677
"P25","No",0.298,0.306,0.427,0.323
"P26","Si",0.522,0.496,0.502,0.32
"P26","No",0.478,0.504,0.498,0.68
"P27","Si, la Polio y la quíntuple",0.148,0.198,0.155,0.17
"P27","Si, la triple viral y la BCG",0.227,0.214,0.242,0.242
"P27","Otras",0.051,0.037,0.023,0.044
"P27","No recuerdo",0.574,0.551,0.58,0.544
"P28","Si",0.31,0.326,0.304,0.271
"P28","No",0.69,0.674,0.696,0.729
"P29","Si",0.179,0.17,0.167,0.069
"P29","No",0.821,0.83,0.833,0.931
"P30","Si, Infanrix",0.101,0.157,0.164,0
"P30","Si, Hexaxim",0.101,0.098,0.149,0.035
"P30","No recuerdo",0.798,0.745,0.687,0.965
"P31","Si",0.933,0.917,0.886,0.842
"P31","No",0.067,0.083,0.114,0.158
"P32","Si",0.472,0.555,0.556,0.486
"P32","No",0.528,0.445,0.444,0.514
"P33","Miedo al contagio",0.403,0.405,0.398,0.429
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.34,0.314,0.357,0.274
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.182,0.23,0.237,0.198
"P33","Porque era costoso el viaje",0.075,0.051,0.008,0.099
"P34","Si, una dosis",0.541,0.529,0.493,0.454
"P34","Si, dos dosis",0.377,0.368,0.331,0.391
"P34","Ninguna",0.082,0.103,0.176,0.155
"P35","Sputnik V",0.305,0.274,0.255,0.213
"P35","Sinopharm",0.288,0.348,0.39,0.322
"P35","AstraZeneca",0.365,0.322,0.326,0.303
"P35","Johnson",0.003,0.002,0,0
"P35","Phizer",0.004,0.01,0.002,0.065
"P35","Moderna",0.007,0.017,0,0.037
"P35","Otra",0.028,0.027,0.027,0.06
