"var","categoria","Si, la Polio y la quíntuple","Si, la triple viral y la BCG","Otras","No recuerdo"
"P06","1 hijo",0.502,0.564,0.646,0.567
"P06","2 hijos",0.376,0.299,0.27,0.306
"P06","3 hijos",0.082,0.095,0.045,0.09
"P06","4 o más hijos",0.04,0.042,0.039,0.037
"P07","Con hijos de 3 años y menos",0.478,0.382,0.419,0.4
"P07","Con hijos mayores de 3 años",0.522,0.618,0.581,0.6
"P08","En un Centro de Salud",0.478,0.465,0.53,0.49
"P08","En un hospital",0.251,0.287,0.203,0.262
"P08","En un sanatorio",0.06,0.025,0.025,0.028
"P08","En un Consultorio Privado",0.025,0.033,0.024,0.027
"P08","En un vacunatorio",0.186,0.19,0.218,0.193
"P09","Si",0.972,0.961,0.988,0.978
"P09","No",0.028,0.039,0.012,0.022
"P10","Si, son efectivas",0.986,0.979,0.988,0.993
"P10","No, no son efectivas",0.014,0.021,0.012,0.007
"P11","Si",0.975,0.962,0.932,0.977
"P11","No",0.025,0.038,0.068,0.023
"P12","Si",0.127,0.142,0.127,0.165
"P12","No",0.873,0.858,0.873,0.835
"P13","La quíntuple",0.182,0.111,0.098,0.109
"P13","La triple viral (Sarampión, rubeola y paperas)",0.059,0.08,0.343,0.072
"P13","La Neumococo",0.057,0.128,0.019,0.086
"P13","La BCG",0.103,0.07,0.065,0.042
"P13","Otra",0.226,0.198,0.205,0.195
"P13","No recuerda",0.373,0.413,0.27,0.496
"P14","Si",0.947,0.915,0.944,0.938
"P14","No",0.053,0.085,0.056,0.062
"P15","Si, las conozco",0.911,0.816,0.804,0.809
"P15","No, no las conozco",0.029,0.079,0.041,0.076
"P15","Algunas",0.06,0.105,0.155,0.115
"P16","Si",0.812,0.748,0.69,0.676
"P16","A veces",0.144,0.186,0.238,0.259
"P16","No",0.044,0.066,0.072,0.065
"P17","Sí, hay suficiente información",0.263,0.214,0.165,0.209
"P17","No, no hay suficiente información",0.737,0.786,0.835,0.791
"P18","Si",0.084,0.101,0.076,0.073
"P18","Sí, pero es necesario",0.617,0.549,0.49,0.517
"P18","No",0.299,0.35,0.434,0.41
"P19","Sí, mucho",0.199,0.209,0.212,0.172
"P19","Si, un poco",0.69,0.685,0.622,0.705
"P19","No",0.111,0.106,0.166,0.123
"P20","Si",0.154,0.148,0.166,0.164
"P20","No",0.78,0.785,0.751,0.759
"P20","No recuerda",0.066,0.067,0.083,0.077
"P21","La quíntuple",0.351,0.29,0.083,0.147
"P21","La triple viral (Sarampión, rubeola y paperas)",0.125,0.223,0.356,0.215
"P21","La Neumococo",0.18,0.088,0.041,0.047
"P21","La BCG",0.064,0.066,0.081,0.063
"P21","Otra",0.088,0.072,0.178,0.064
"P21","No recuerda",0.192,0.261,0.261,0.464
"P22","Si",0.615,0.541,0.541,0.632
"P22","No",0.318,0.365,0.328,0.271
"P22","No recuerda",0.067,0.094,0.131,0.097
"P23","La quíntuple",0.289,0.258,0.143,0.178
"P23","La triple viral (Sarampión, rubeola y paperas)",0.265,0.217,0.275,0.1
"P23","La Neumococo",0.091,0.063,0.038,0.034
"P23","La BCG",0.041,0.093,0.093,0.089
"P23","Otra",0.084,0.065,0.074,0.047
"P23","No recuerda",0.23,0.304,0.377,0.552
"P24","Sí, una vez",0.197,0.131,0.195,0.077
"P24","Si varias veces",0.126,0.109,0.02,0.052
"P24","No",0.633,0.686,0.673,0.758
"P24","No recuerdo",0.044,0.074,0.112,0.113
"P25","Si",0.845,0.665,0.548,0.662
"P25","No",0.155,0.335,0.452,0.338
"P26","Si",0.756,0.485,0.476,0.437
"P26","No",0.244,0.515,0.524,0.563
"P28","Si",0.495,0.257,0.305,0.283
"P28","No",0.505,0.743,0.695,0.717
"P29","Si",0.31,0.18,0.158,0.128
"P29","No",0.69,0.82,0.842,0.872
"P30","Si, Infanrix",0.168,0.133,0.024,0.094
"P30","Si, Hexaxim",0.169,0.109,0.147,0.046
"P30","No recuerdo",0.663,0.758,0.829,0.86
"P31","Si",0.934,0.875,0.957,0.932
"P31","No",0.066,0.125,0.043,0.068
"P32","Si",0.553,0.508,0.419,0.499
"P32","No",0.447,0.492,0.581,0.501
"P33","Miedo al contagio",0.34,0.425,0.313,0.422
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.378,0.4,0.354,0.288
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.2,0.125,0.302,0.224
"P33","Porque era costoso el viaje",0.082,0.05,0.031,0.066
"P34","Si, una dosis",0.463,0.557,0.52,0.54
"P34","Si, dos dosis",0.436,0.349,0.381,0.358
"P34","Ninguna",0.101,0.094,0.099,0.102
"P35","Sputnik V",0.308,0.258,0.309,0.291
"P35","Sinopharm",0.32,0.323,0.283,0.317
"P35","AstraZeneca",0.331,0.347,0.353,0.349
"P35","Johnson",0.007,0.001,0.003,0.002
"P35","Phizer",0.027,0.008,0,0.002
"P35","Moderna",0.001,0.021,0.041,0.007
"P35","Otra",0.006,0.042,0.011,0.032
