"var","categoria","En un Centro de Salud","En un hospital","En un sanatorio","En un Consultorio Privado","En un vacunatorio"
"P06","1 hijo",0.531,0.566,0.731,0.605,0.58
"P06","2 hijos",0.3,0.324,0.206,0.211,0.328
"P06","3 hijos",0.125,0.074,0.052,0.118,0.054
"P06","4 o más hijos",0.044,0.036,0.011,0.066,0.038
"P07","Con hijos de 3 años y menos",0.45,0.428,0.468,0.478,0.387
"P07","Con hijos mayores de 3 años",0.55,0.572,0.532,0.522,0.613
"P09","Si",0.985,0.939,0.99,0.902,0.969
"P09","No",0.015,0.061,0.01,0.098,0.031
"P10","Si, son efectivas",0.991,0.966,0.99,0.902,0.98
"P10","No, no son efectivas",0.009,0.034,0.01,0.098,0.02
"P11","Si",0.973,0.948,0.977,0.881,0.96
"P11","No",0.027,0.052,0.023,0.119,0.04
"P12","Si",0.167,0.162,0.213,0.195,0.181
"P12","No",0.833,0.838,0.787,0.805,0.819
"P13","La quíntuple",0.131,0.04,0.161,0.129,0.187
"P13","La triple viral (Sarampión, rubeola y paperas)",0.103,0.107,0.018,0.346,0.032
"P13","La Neumococo",0.091,0.108,0.07,0,0.099
"P13","La BCG",0.038,0.053,0.036,0.014,0.063
"P13","Otra",0.194,0.173,0.054,0.135,0.178
"P13","No recuerda",0.443,0.519,0.661,0.376,0.441
"P14","Si",0.944,0.92,0.957,0.896,0.939
"P14","No",0.056,0.08,0.043,0.104,0.061
"P15","Si, las conozco",0.806,0.804,0.813,0.73,0.867
"P15","No, no las conozco",0.093,0.078,0.098,0.061,0.044
"P15","Algunas",0.101,0.118,0.089,0.209,0.089
"P16","Si",0.714,0.705,0.868,0.788,0.732
"P16","A veces",0.233,0.198,0.111,0.199,0.202
"P16","No",0.053,0.097,0.021,0.013,0.066
"P17","Sí, hay suficiente información",0.262,0.222,0.26,0.189,0.179
"P17","No, no hay suficiente información",0.738,0.778,0.74,0.811,0.821
"P18","Si",0.087,0.086,0.168,0.142,0.071
"P18","Sí, pero es necesario",0.575,0.517,0.527,0.418,0.483
"P18","No",0.338,0.397,0.305,0.44,0.446
"P19","Sí, mucho",0.22,0.219,0.146,0.226,0.173
"P19","Si, un poco",0.678,0.662,0.686,0.577,0.693
"P19","No",0.102,0.119,0.168,0.197,0.134
"P20","Si",0.202,0.166,0.075,0.182,0.169
"P20","No",0.731,0.751,0.893,0.695,0.763
"P20","No recuerda",0.067,0.083,0.032,0.123,0.068
"P21","La quíntuple",0.255,0.088,0.15,0.282,0.224
"P21","La triple viral (Sarampión, rubeola y paperas)",0.169,0.246,0.173,0.454,0.2
"P21","La Neumococo",0.097,0.092,0.055,0.041,0.023
"P21","La BCG",0.052,0.066,0.124,0,0.04
"P21","Otra",0.098,0.063,0.116,0.019,0.056
"P21","No recuerda",0.329,0.445,0.382,0.204,0.457
"P22","Si",0.65,0.585,0.575,0.539,0.605
"P22","No",0.266,0.329,0.364,0.358,0.309
"P22","No recuerda",0.084,0.086,0.061,0.103,0.086
"P23","La quíntuple",0.225,0.204,0.233,0.164,0.185
"P23","La triple viral (Sarampión, rubeola y paperas)",0.18,0.131,0.107,0.091,0.129
"P23","La Neumococo",0.044,0.056,0.125,0.047,0.028
"P23","La BCG",0.079,0.086,0.043,0.083,0.069
"P23","Otra",0.056,0.066,0.027,0.22,0.058
"P23","No recuerda",0.416,0.457,0.465,0.395,0.531
"P24","Sí, una vez",0.143,0.101,0.049,0.085,0.093
"P24","Si varias veces",0.071,0.087,0.13,0.097,0.055
"P24","No",0.71,0.717,0.728,0.696,0.711
"P24","No recuerdo",0.076,0.095,0.093,0.122,0.141
"P25","Si",0.658,0.672,0.853,0.713,0.744
"P25","No",0.342,0.328,0.147,0.287,0.256
"P26","Si",0.493,0.491,0.661,0.505,0.524
"P26","No",0.507,0.509,0.339,0.495,0.476
"P27","Si, la Polio y la quíntuple",0.163,0.158,0.303,0.148,0.16
"P27","Si, la triple viral y la BCG",0.216,0.245,0.173,0.262,0.222
"P27","Otras",0.048,0.034,0.033,0.038,0.05
"P27","No recuerdo",0.573,0.563,0.491,0.552,0.568
"P28","Si",0.286,0.3,0.45,0.386,0.363
"P28","No",0.714,0.7,0.55,0.614,0.637
"P29","Si",0.157,0.136,0.255,0.334,0.213
"P29","No",0.843,0.864,0.745,0.666,0.787
"P30","Si, Infanrix",0.105,0.1,0.145,0.039,0.188
"P30","Si, Hexaxim",0.07,0.077,0.128,0.312,0.132
"P30","No recuerdo",0.825,0.823,0.727,0.649,0.68
"P31","Si",0.93,0.903,0.94,0.899,0.92
"P31","No",0.07,0.097,0.06,0.101,0.08
"P32","Si",0.509,0.461,0.554,0.439,0.562
"P32","No",0.491,0.539,0.446,0.561,0.438
"P33","Miedo al contagio",0.409,0.413,0.291,0.388,0.4
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.331,0.31,0.374,0.302,0.364
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.201,0.206,0.235,0.291,0.172
"P33","Porque era costoso el viaje",0.059,0.071,0.1,0.019,0.064
"P34","Si, una dosis",0.542,0.554,0.476,0.378,0.496
"P34","Si, dos dosis",0.345,0.361,0.428,0.418,0.43
"P34","Ninguna",0.113,0.085,0.096,0.204,0.074
"P35","Sputnik V",0.292,0.263,0.337,0.208,0.309
"P35","Sinopharm",0.318,0.364,0.263,0.308,0.266
"P35","AstraZeneca",0.346,0.319,0.368,0.356,0.374
"P35","Johnson",0.001,0.003,0,0.028,0.002
"P35","Phizer",0.004,0.02,0,0.01,0.001
"P35","Moderna",0.008,0.009,0.004,0,0.023
"P35","Otra",0.031,0.022,0.028,0.09,0.025
