"var","categoria","Miedo al contagio","Porque el lugar donde vacuno a mis hijos se encontraba cerrado","Porque el lugar donde vacuno a mi hijo atendía en horario reducido","Porque era costoso el viaje"
"P06","1 hijo",0.582,0.599,0.528,0.692
"P06","2 hijos",0.29,0.274,0.33,0.235
"P06","3 hijos",0.086,0.094,0.103,0.01
"P06","4 o más hijos",0.042,0.033,0.039,0.063
"P07","Con hijos de 3 años y menos",0.311,0.293,0.395,0.23
"P07","Con hijos mayores de 3 años",0.689,0.707,0.605,0.77
"P08","En un Centro de Salud",0.503,0.497,0.496,0.461
"P08","En un hospital",0.279,0.256,0.279,0.31
"P08","En un sanatorio",0.022,0.035,0.036,0.049
"P08","En un Consultorio Privado",0.031,0.029,0.047,0.01
"P08","En un vacunatorio",0.165,0.183,0.142,0.17
"P09","Si",0.969,0.983,0.963,0.857
"P09","No",0.031,0.017,0.037,0.143
"P10","Si, son efectivas",0.986,0.979,0.966,0.972
"P10","No, no son efectivas",0.014,0.021,0.034,0.028
"P11","Si",0.969,0.961,0.907,0.907
"P11","No",0.031,0.039,0.093,0.093
"P12","Si",0.191,0.142,0.177,0.211
"P12","No",0.809,0.858,0.823,0.789
"P13","La quíntuple",0.105,0.11,0.276,0.334
"P13","La triple viral (Sarampión, rubeola y paperas)",0.039,0.173,0.121,0.056
"P13","La Neumococo",0.02,0.042,0.098,0
"P13","La BCG",0.128,0.055,0.008,0.258
"P13","Otra",0.282,0.24,0.15,0.103
"P13","No recuerda",0.426,0.38,0.347,0.249
"P14","Si",0.946,0.925,0.956,0.828
"P14","No",0.054,0.075,0.044,0.172
"P15","Si, las conozco",0.763,0.791,0.794,0.818
"P15","No, no las conozco",0.102,0.114,0.084,0.11
"P15","Algunas",0.135,0.095,0.122,0.072
"P16","Si",0.747,0.662,0.604,0.628
"P16","A veces",0.183,0.297,0.308,0.321
"P16","No",0.07,0.041,0.088,0.051
"P17","Sí, hay suficiente información",0.116,0.175,0.184,0.193
"P17","No, no hay suficiente información",0.884,0.825,0.816,0.807
"P18","Si",0.075,0.113,0.101,0.116
"P18","Sí, pero es necesario",0.507,0.525,0.433,0.554
"P18","No",0.418,0.362,0.466,0.33
"P19","Sí, mucho",0.265,0.176,0.128,0.246
"P19","Si, un poco",0.616,0.702,0.749,0.647
"P19","No",0.119,0.122,0.123,0.107
"P20","Si",0.158,0.146,0.164,0.173
"P20","No",0.759,0.763,0.747,0.756
"P20","No recuerda",0.083,0.091,0.089,0.071
"P21","La quíntuple",0.229,0.224,0.309,0.418
"P21","La triple viral (Sarampión, rubeola y paperas)",0.18,0.117,0.205,0
"P21","La Neumococo",0.02,0.123,0,0.116
"P21","La BCG",0.141,0.122,0.067,0.05
"P21","Otra",0.048,0.064,0.014,0
"P21","No recuerda",0.382,0.35,0.405,0.416
"P22","Si",0.608,0.589,0.597,0.467
"P22","No",0.307,0.251,0.31,0.339
"P22","No recuerda",0.085,0.16,0.093,0.194
"P23","La quíntuple",0.154,0.25,0.235,0.329
"P23","La triple viral (Sarampión, rubeola y paperas)",0.173,0.188,0.163,0.208
"P23","La Neumococo",0.056,0.068,0.014,0.044
"P23","La BCG",0.069,0.086,0.134,0.023
"P23","Otra",0.008,0.03,0.043,0.124
"P23","No recuerda",0.54,0.378,0.411,0.272
"P24","Sí, una vez",0.107,0.138,0.136,0.124
"P24","Si varias veces",0.06,0.083,0.06,0.139
"P24","No",0.737,0.664,0.702,0.652
"P24","No recuerdo",0.096,0.115,0.102,0.085
"P25","Si",0.635,0.621,0.62,0.723
"P25","No",0.365,0.379,0.38,0.277
"P26","Si",0.358,0.437,0.486,0.499
"P26","No",0.642,0.563,0.514,0.501
"P27","Si, la Polio y la quíntuple",0.132,0.178,0.156,0.203
"P27","Si, la triple viral y la BCG",0.24,0.276,0.141,0.182
"P27","Otras",0.038,0.053,0.074,0.025
"P27","No recuerdo",0.59,0.493,0.629,0.59
"P28","Si",0.217,0.272,0.305,0.298
"P28","No",0.783,0.728,0.695,0.702
"P29","Si",0.12,0.133,0.165,0.228
"P29","No",0.88,0.867,0.835,0.772
"P30","Si, Infanrix",0.085,0.131,0.149,0.047
"P30","Si, Hexaxim",0.169,0.04,0.166,0.237
"P30","No recuerdo",0.746,0.829,0.685,0.716
"P31","Si",0.881,0.881,0.916,0.821
"P31","No",0.119,0.119,0.084,0.179
"P34","Si, una dosis",0.551,0.527,0.441,0.491
"P34","Si, dos dosis",0.329,0.364,0.387,0.467
"P34","Ninguna",0.12,0.109,0.172,0.042
"P35","Sputnik V",0.231,0.298,0.316,0.31
"P35","Sinopharm",0.36,0.332,0.274,0.329
"P35","AstraZeneca",0.368,0.348,0.354,0.33
"P35","Johnson",0.002,0,0,0
"P35","Phizer",0.011,0.004,0.003,0
"P35","Moderna",0.01,0.015,0.018,0.005
"P35","Otra",0.018,0.003,0.035,0.026
