"var","categoria","Si, una dosis","Si, dos dosis","Ninguna"
"P06","1 hijo",0.559,0.557,0.445
"P06","2 hijos",0.32,0.318,0.33
"P06","3 hijos",0.088,0.085,0.166
"P06","4 o más hijos",0.033,0.04,0.059
"P07","Con hijos de 3 años y menos",0.436,0.366,0.489
"P07","Con hijos mayores de 3 años",0.564,0.634,0.511
"P08","En un Centro de Salud",0.501,0.455,0.551
"P08","En un hospital",0.266,0.247,0.215
"P08","En un sanatorio",0.031,0.04,0.033
"P08","En un Consultorio Privado",0.02,0.032,0.058
"P08","En un vacunatorio",0.182,0.226,0.143
"P09","Si",0.975,0.984,0.922
"P09","No",0.025,0.016,0.078
"P10","Si, son efectivas",0.993,0.997,0.916
"P10","No, no son efectivas",0.007,0.003,0.084
"P11","Si",0.985,0.978,0.855
"P11","No",0.015,0.022,0.145
"P12","Si",0.146,0.135,0.265
"P12","No",0.854,0.865,0.735
"P13","La quíntuple",0.148,0.055,0.181
"P13","La triple viral (Sarampión, rubeola y paperas)",0.08,0.067,0.089
"P13","La Neumococo",0.088,0.097,0.117
"P13","La BCG",0.045,0.067,0.089
"P13","Otra",0.182,0.202,0.282
"P13","No recuerda",0.457,0.512,0.242
"P14","Si",0.936,0.95,0.902
"P14","No",0.064,0.05,0.098
"P15","Si, las conozco",0.843,0.84,0.736
"P15","No, no las conozco",0.06,0.056,0.133
"P15","Algunas",0.097,0.104,0.131
"P16","Si",0.736,0.723,0.585
"P16","A veces",0.208,0.226,0.295
"P16","No",0.056,0.051,0.12
"P17","Sí, hay suficiente información",0.225,0.193,0.187
"P17","No, no hay suficiente información",0.775,0.807,0.813
"P18","Si",0.069,0.074,0.203
"P18","Sí, pero es necesario",0.537,0.554,0.463
"P18","No",0.394,0.372,0.334
"P19","Sí, mucho",0.183,0.138,0.353
"P19","Si, un poco",0.699,0.735,0.592
"P19","No",0.118,0.127,0.055
"P20","Si",0.146,0.135,0.331
"P20","No",0.782,0.801,0.606
"P20","No recuerda",0.072,0.064,0.063
"P21","La quíntuple",0.257,0.204,0.143
"P21","La triple viral (Sarampión, rubeola y paperas)",0.195,0.193,0.167
"P21","La Neumococo",0.041,0.106,0.138
"P21","La BCG",0.063,0.048,0.098
"P21","Otra",0.049,0.069,0.192
"P21","No recuerda",0.395,0.38,0.262
"P22","Si",0.606,0.594,0.75
"P22","No",0.31,0.303,0.169
"P22","No recuerda",0.084,0.103,0.081
"P23","La quíntuple",0.242,0.174,0.171
"P23","La triple viral (Sarampión, rubeola y paperas)",0.151,0.163,0.165
"P23","La Neumococo",0.05,0.054,0.057
"P23","La BCG",0.088,0.091,0.063
"P23","Otra",0.04,0.061,0.103
"P23","No recuerda",0.429,0.457,0.441
"P24","Sí, una vez",0.1,0.112,0.253
"P24","Si varias veces",0.056,0.083,0.117
"P24","No",0.747,0.718,0.562
"P24","No recuerdo",0.097,0.087,0.068
"P25","Si",0.679,0.704,0.59
"P25","No",0.321,0.296,0.41
"P26","Si",0.485,0.572,0.33
"P26","No",0.515,0.428,0.67
"P27","Si, la Polio y la quíntuple",0.151,0.203,0.174
"P27","Si, la triple viral y la BCG",0.238,0.213,0.214
"P27","Otras",0.043,0.045,0.043
"P27","No recuerdo",0.568,0.539,0.569
"P28","Si",0.294,0.355,0.248
"P28","No",0.706,0.645,0.752
"P29","Si",0.155,0.194,0.141
"P29","No",0.845,0.806,0.859
"P30","Si, Infanrix",0.131,0.102,0.106
"P30","Si, Hexaxim",0.098,0.09,0.224
"P30","No recuerdo",0.771,0.808,0.67
"P31","Si",0.933,0.928,0.807
"P31","No",0.067,0.072,0.193
"P32","Si",0.547,0.543,0.428
"P32","No",0.453,0.457,0.572
"P33","Miedo al contagio",0.431,0.369,0.398
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.34,0.336,0.3
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.168,0.212,0.28
"P33","Porque era costoso el viaje",0.061,0.083,0.022
"P35","Sputnik V",0.372,0.163,NA
"P35","Sinopharm",0.199,0.492,NA
"P35","AstraZeneca",0.386,0.286,NA
"P35","Johnson",0.002,0.003,NA
"P35","Phizer",0.005,0.01,NA
"P35","Moderna",0.005,0.02,NA
"P35","Otra",0.031,0.026,NA
