"var","categoria","Sí, una vez","Si varias veces","No","No recuerdo"
"P06","1 hijo",0.576,0.625,0.549,0.564
"P06","2 hijos",0.273,0.23,0.327,0.315
"P06","3 hijos",0.097,0.063,0.093,0.089
"P06","4 o más hijos",0.054,0.082,0.031,0.032
"P07","Con hijos de 3 años y menos",0.448,0.527,0.396,0.395
"P07","Con hijos mayores de 3 años",0.552,0.473,0.604,0.605
"P08","En un Centro de Salud",0.594,0.464,0.487,0.39
"P08","En un hospital",0.221,0.301,0.261,0.258
"P08","En un sanatorio",0.014,0.057,0.034,0.033
"P08","En un Consultorio Privado",0.021,0.038,0.028,0.037
"P08","En un vacunatorio",0.15,0.14,0.19,0.282
"P09","Si",0.981,0.899,0.982,0.978
"P09","No",0.019,0.101,0.018,0.022
"P10","Si, son efectivas",0.982,0.935,0.997,0.981
"P10","No, no son efectivas",0.018,0.065,0.003,0.019
"P11","Si",0.942,0.908,0.988,0.941
"P11","No",0.058,0.092,0.012,0.059
"P12","Si",0.232,0.281,0.118,0.201
"P12","No",0.768,0.719,0.882,0.799
"P13","La quíntuple",0.229,0.151,0.12,0.019
"P13","La triple viral (Sarampión, rubeola y paperas)",0.05,0.129,0.087,0.085
"P13","La Neumococo",0.12,0.028,0.088,0.122
"P13","La BCG",0.05,0.131,0.045,0.029
"P13","Otra",0.322,0.06,0.201,0.136
"P13","No recuerda",0.229,0.501,0.459,0.609
"P14","Si",0.962,0.843,0.942,0.925
"P14","No",0.038,0.157,0.058,0.075
"P15","Si, las conozco",0.807,0.818,0.844,0.754
"P15","No, no las conozco",0.071,0.139,0.053,0.095
"P15","Algunas",0.122,0.043,0.103,0.151
"P16","Si",0.759,0.661,0.721,0.654
"P16","A veces",0.209,0.242,0.217,0.277
"P16","No",0.032,0.097,0.062,0.069
"P17","Sí, hay suficiente información",0.26,0.23,0.226,0.159
"P17","No, no hay suficiente información",0.74,0.77,0.774,0.841
"P18","Si",0.139,0.136,0.071,0.095
"P18","Sí, pero es necesario",0.611,0.601,0.524,0.457
"P18","No",0.25,0.263,0.405,0.448
"P19","Sí, mucho",0.297,0.288,0.164,0.229
"P19","Si, un poco",0.619,0.607,0.715,0.632
"P19","No",0.084,0.105,0.121,0.139
"P20","Si",0.334,0.251,0.133,0.15
"P20","No",0.581,0.681,0.807,0.702
"P20","No recuerda",0.085,0.068,0.06,0.148
"P21","La quíntuple",0.342,0.287,0.173,0.08
"P21","La triple viral (Sarampión, rubeola y paperas)",0.157,0.121,0.237,0.111
"P21","La Neumococo",0.05,0.147,0.088,0.055
"P21","La BCG",0.037,0.025,0.05,0.178
"P21","Otra",0.101,0.041,0.077,0.102
"P21","No recuerda",0.313,0.379,0.375,0.474
"P22","Si",0.796,0.482,0.577,0.705
"P22","No",0.122,0.454,0.34,0.152
"P22","No recuerda",0.082,0.064,0.083,0.143
"P23","La quíntuple",0.266,0.334,0.202,0.174
"P23","La triple viral (Sarampión, rubeola y paperas)",0.195,0.21,0.149,0.067
"P23","La Neumococo",0.062,0.02,0.05,0.028
"P23","La BCG",0.075,0.097,0.076,0.108
"P23","Otra",0.038,0.069,0.073,0.023
"P23","No recuerda",0.364,0.27,0.45,0.6
"P25","Si",0.667,0.65,0.699,0.645
"P25","No",0.333,0.35,0.301,0.355
"P26","Si",0.45,0.53,0.524,0.398
"P26","No",0.55,0.47,0.476,0.602
"P27","Si, la Polio y la quíntuple",0.287,0.274,0.146,0.078
"P27","Si, la triple viral y la BCG",0.258,0.324,0.215,0.18
"P27","Otras",0.075,0.012,0.041,0.053
"P27","No recuerdo",0.38,0.39,0.598,0.689
"P28","Si",0.249,0.306,0.33,0.264
"P28","No",0.751,0.694,0.67,0.736
"P29","Si",0.165,0.247,0.169,0.137
"P29","No",0.835,0.753,0.831,0.863
"P30","Si, Infanrix",0.141,0.054,0.141,0.025
"P30","Si, Hexaxim",0.115,0.348,0.063,0.103
"P30","No recuerdo",0.744,0.598,0.796,0.872
"P31","Si",0.867,0.802,0.939,0.936
"P31","No",0.133,0.198,0.061,0.064
"P32","Si",0.501,0.514,0.516,0.436
"P32","No",0.499,0.486,0.484,0.564
"P33","Miedo al contagio",0.347,0.336,0.425,0.378
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.368,0.378,0.314,0.371
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.222,0.166,0.202,0.199
"P33","Porque era costoso el viaje",0.063,0.12,0.059,0.052
"P34","Si, una dosis",0.441,0.413,0.551,0.567
"P34","Si, dos dosis",0.347,0.425,0.37,0.358
"P34","Ninguna",0.212,0.162,0.079,0.075
"P35","Sputnik V",0.263,0.233,0.291,0.325
"P35","Sinopharm",0.324,0.466,0.31,0.262
"P35","AstraZeneca",0.346,0.216,0.354,0.374
"P35","Johnson",0.002,0.01,0.002,0
"P35","Phizer",0.028,0.034,0.003,0.004
"P35","Moderna",0.012,0.031,0.009,0.011
"P35","Otra",0.025,0.01,0.031,0.024
