"var","categoria","Gustavo Menéndez a intendente por Unión por la Patria","Zencich a intendente por Juntos por el Cambio","Eduardo Varela a intendente por la Libertad Avanza","Raul Othacehé a intendente por el frente vecinal crecer","El candidato a intendente de la Izquierda","En blanco","No sabe"
"P05","Mucho",0.45,0.369,0.486,0.351,0.32,0.149,0.231
"P05","Bastante",0.317,0.305,0.306,0.277,0.319,0.376,0.175
"P05","Poco",0.131,0.228,0.15,0.2,0.31,0.067,0.192
"P05","Nada",0.074,0.066,0.05,0.056,0,0.31,0.213
"P05","No sabe",0.028,0.032,0.008,0.116,0.051,0.098,0.189
"P06","Siempre",0.214,0.263,0.199,0.179,0.062,0.146,0.067
"P06","Casi siempre",0.324,0.325,0.315,0.346,0.458,0.035,0.135
"P06","Casi nunca",0.249,0.246,0.392,0.351,0.366,0.489,0.574
"P06","Nunca, pero esta es una excepción",0.213,0.166,0.094,0.124,0.114,0.33,0.224
"P09","Unión por la Patria",0.687,0.145,0.083,0.186,0.344,0.342,0.073
"P09","Juntos por el Cambio",0.128,0.641,0.031,0.169,0.003,0.028,0.136
"P09","De los Liberales libertarios",0.094,0.141,0.687,0.241,0.102,0,0.161
"P09","De la Izquierda",0.015,0.034,0.121,0.125,0.363,0.088,0.055
"P09","Hacemos por nuestro país",0.026,0.013,0.002,0.045,0.076,0.011,0.081
"P09","Otro",0.009,0.006,0.03,0.153,0.086,0.213,0.048
"P09","En blanco",0.003,0.012,0.023,0.021,0.009,0.318,0.008
"P09","No sabe",0.038,0.008,0.023,0.06,0.017,0,0.438
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria",0.847,0.063,0.027,0.214,0.312,0.321,0.085
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.04,0.789,0.047,0.079,0.031,0.028,0.03
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.055,0.117,0.879,0.146,0.044,0,0.211
"P12","Raul Othacehé a intendente por el frente vecinal crecer",0.017,0.004,0.006,0.428,0.003,0,0.028
"P12","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.009,0,0.01,0.071,0.499,0.01,0.063
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.011,0.005,0,0.007,0,0.131,0.071
"P12","En blanco",0.005,0,0,0.005,0,0.432,0.103
"P12","No sabe",0.016,0.022,0.031,0.05,0.111,0.078,0.409
"P15","Si",0.335,0.524,0.285,0.986,0.622,0.512,0.756
"P15","No",0.665,0.476,0.715,0.014,0.378,0.488,0.244
"P16","Sergio Massa a presidente por Unión por la Patria",0.568,0.206,0.113,0.466,0.671,0.594,0.142
"P16","Patricia Bullrich a presidenta por Juntos por el Cambio",0.177,0.52,0.121,0.148,0.087,0.054,0.146
"P16","Javier Milei a presidente por la Libertad Avanza",0.154,0.261,0.66,0.18,0.069,0.014,0.203
"P16","Los candidatos a presidente de la Izquierda",0.036,0,0.047,0.028,0.15,0.208,0.147
"P16","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.04,0.007,0,0.079,0.01,0,0.101
"P16","En blanco",0.014,0,0,0.014,0,0.059,0.08
"P16","No sabe",0.011,0.006,0.059,0.085,0.013,0.071,0.181
"P19","Axel Kicillof a gobernador por Unión por la Patria",0.524,0.171,0.203,0.442,0.768,0.501,0.199
"P19","Néstor Grindetti a gobernador por Juntos por el Cambio",0.226,0.506,0.257,0.222,0,0.054,0.174
"P19","Carolina Piparo a gobernadora por la Libertad Avanza",0.155,0.29,0.533,0.11,0.068,0,0.085
"P19","El candidato a gobernador de la Izquierda",0.037,0,0,0.134,0.154,0.225,0
"P19","En blanco",0.015,0.014,0,0.041,0.01,0.058,0.248
"P19","No sabe",0.043,0.019,0.007,0.051,0,0.162,0.294
"P22","Gustavo Menéndez a intendente por Unión por la Patria",1,0,0,0,0,0,0
"P22","Zencich a intendente por Juntos por el Cambio",0,1,0,0,0,0,0
"P22","Eduardo Varela a intendente por la Libertad Avanza",0,0,1,0,0,0,0
"P22","Raul Othacehé a intendente por el frente vecinal crecer",0,0,0,1,0,0,0
"P22","El candidato a intendente de la Izquierda",0,0,0,0,1,0,0
"P22","En blanco",0,0,0,0,0,1,0
"P22","No sabe",0,0,0,0,0,0,1
"P25","Totalmente seguro",0.656,0.666,0.681,0.597,0.558,0.356,0.234
"P25","Bastante seguro",0.175,0.185,0.217,0.124,0.239,0.166,0.203
"P25","Algo seguro",0.103,0.101,0.061,0.079,0.151,0.011,0.064
"P25","Para nada seguro",0.066,0.048,0.041,0.2,0.052,0.467,0.499
"P26","Tiene Decidido que va a ir a votar",0.881,0.881,0.929,0.922,0.81,0.61,0.541
"P26","Tiene dudas sobre si va a ir a  votar",0.077,0.071,0.043,0.01,0.143,0.252,0.234
"P26","Tiene Decidido que no va a ir a votar",0.042,0.048,0.028,0.068,0.047,0.138,0.225
"P27","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.256,0.608,0.657,0.504,0.196,0.244,0.401
"P27","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.107,0.161,0.131,0.044,0.126,0,0.07
"P27","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.432,0.13,0.115,0.28,0.326,0.301,0.09
