"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente","En blanco","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.901,0.882,0.922,0.927,0.967,0.98,0.86,0.676
"P06","Tiene dudas sobre si va a ir a  votar",0.079,0.106,0.044,0.05,0.026,0.02,0.14,0.232
"P06","Tiene Decidido que no va a ir a votar",0.02,0.012,0.034,0.023,0.007,0,0,0.092
"P07","Mucho",0.499,0.468,0.582,0.531,0.708,0.353,0.221,0.309
"P07","Bastante",0.249,0.294,0.289,0.229,0.181,0.504,0.133,0.224
"P07","Poco",0.166,0.173,0.065,0.155,0.046,0.126,0.614,0.123
"P07","Nada",0.07,0.065,0.04,0.077,0.046,0.017,0.032,0.206
"P07","No sabe",0.016,0,0.024,0.008,0.019,0,0,0.138
"P08","Siempre",0.243,0.197,0.157,0.269,0.064,0.109,0,0.276
"P08","Casi siempre",0.316,0.409,0.357,0.198,0.416,0.542,0.202,0.149
"P08","Casi nunca",0.281,0.291,0.371,0.351,0.189,0.28,0.731,0.119
"P08","Nunca, pero esta es una excepción",0.16,0.103,0.115,0.182,0.331,0.069,0.067,0.456
"P13","Unión por la Patria",0.739,0.056,0.217,0.04,0.09,0.07,0,0.049
"P13","Juntos por el Cambio ",0.053,0.654,0.111,0.076,0.008,0.004,0,0.111
"P13","Juntos Somos Río Negro",0.093,0.235,0.518,0.131,0.174,0.263,0,0.027
"P13","Liberales",0.007,0.011,0.084,0.555,0,0.129,0,0.013
"P13","Izquierda",0.03,0.002,0.035,0.09,0.633,0.209,0,0.059
"P13","Otro",0.008,0.002,0,0.037,0.06,0.132,0.184,0.041
"P13","No sabe",0.07,0.04,0.035,0.071,0.035,0.193,0.816,0.7
"P18","Totalmente seguro",0.696,0.774,0.485,0.765,0.688,0.317,0.366,0.161
"P18","Bastante seguro",0.165,0.083,0.243,0.101,0.214,0.183,0,0.019
"P18","Algo seguro",0.072,0.099,0.228,0.067,0.028,0.253,0.107,0.076
"P18","Para nada seguro",0.067,0.044,0.044,0.067,0.07,0.247,0.527,0.744
"P27","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.955,0.217,0.677,0.113,0.846,0.405,0,0.14
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.027,0.744,0.142,0.336,0.154,0.362,0.444,0.539
"P27","En blanco",0.001,0.039,0.071,0.371,0,0.233,0,0
"P27","No sabe",0.017,0,0.11,0.18,0,0,0.556,0.321
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.273,0.641,0.267,0.081,0.055,0.535,0.446,0.491
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.023,0.24,0.299,0.814,0.102,0.352,0,0.202
"P28","En blanco",0.427,0.076,0.411,0.072,0.234,0.113,0,0
"P28","No sabe",0.277,0.043,0.023,0.033,0.609,0,0.554,0.307
"P29","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.921,0.257,0.687,0.029,0.898,0.049,0.559,0.133
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.029,0.338,0.156,0.944,0.102,0.454,0.441,0.571
"P29","En blanco",0.023,0.312,0.081,0.025,0,0.436,0,0
"P29","No sabe",0.027,0.093,0.076,0.002,0,0.061,0,0.296
"P30","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.209,0.403,0.125,0.622,0,0.164,0,0.371
"P30","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.095,0.125,0.17,0.206,0,0.281,1,0.033
"P30","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.534,0.316,0.464,0.056,0.232,0.314,0,0
"P30","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.114,0.152,0.121,0.046,0.055,0,0,0.085
