"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.895,0.985,0.828,0.924,0.898,0.835
"P06","Tiene dudas sobre si va a ir a  votar",0.069,0.015,0.172,0.055,0.03,0.165
"P06","Tiene Decidido que no va a ir a votar",0.036,0,0,0.021,0.072,0
"P07","Mucho",0.686,0.579,0.386,0.562,0.457,0.335
"P07","Bastante",0.177,0.256,0.212,0.243,0.236,0.215
"P07","Poco",0.13,0.159,0.31,0.181,0.118,0.286
"P07","Nada",0.007,0,0.051,0.014,0.139,0.164
"P07","No sabe",0,0.006,0.041,0,0.05,0
"P08","Siempre",0.266,0.292,0.285,0.269,0.363,0.288
"P08","Casi siempre",0.37,0.377,0.204,0.293,0.214,0.169
"P08","Casi nunca",0.222,0.225,0.349,0.367,0.341,0.385
"P08","Nunca, pero esta es una excepción",0.142,0.106,0.162,0.071,0.082,0.158
"P13","Unión por la Patria",0.706,0.658,0.278,0.082,0.193,0.381
"P13","Juntos por el Cambio ",0.115,0.054,0.093,0.063,0.114,0.16
"P13","Juntos Somos Río Negro",0.085,0.085,0.2,0.078,0.055,0.204
"P13","Liberales",0.051,0.133,0.338,0.38,0.451,0.216
"P13","Izquierda",0.01,0.022,0.026,0.166,0.031,0.004
"P13","Otro",0.01,0,0,0.06,0.027,0.009
"P13","No sabe",0.023,0.048,0.065,0.171,0.129,0.026
"P14","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.723,0.693,0.281,0.17,0.264,0.535
"P14","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.12,0.032,0.172,0.102,0.123,0.066
"P14","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.031,0.054,0.097,0.049,0.05,0.045
"P14","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.108,0.207,0.438,0.525,0.479,0.334
"P14","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.018,0.004,0,0,0,0.004
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0.01,0,0.025,0.038,0
"P14","En blanco",0,0,0.003,0,0.003,0
"P14","No sabe",0,0,0.009,0.129,0.043,0.016
"P18","Totalmente seguro",0.805,0.716,0.863,0.557,0.603,0.558
"P18","Bastante seguro",0.116,0.168,0.011,0.027,0.228,0.253
"P18","Algo seguro",0.03,0.098,0.047,0.149,0.065,0.173
