"var","categoria","Sí","No"
"P06","Tiene Decidido que va a ir a votar",0.876,0.927
"P06","Tiene dudas sobre si va a ir a  votar",0.103,0.055
"P06","Tiene Decidido que no va a ir a votar",0.021,0.018
"P07","Mucho",0.506,0.519
"P07","Bastante",0.249,0.237
"P07","Poco",0.166,0.162
"P07","Nada",0.066,0.067
"P07","No sabe",0.013,0.015
"P08","Siempre",0.261,0.253
"P08","Casi siempre",0.25,0.328
"P08","Casi nunca",0.327,0.276
"P08","Nunca, pero esta es una excepción",0.162,0.143
"P13","Unión por la Patria",0.138,0.735
"P13","Juntos por el Cambio ",0.143,0.048
"P13","Juntos Somos Río Negro",0.141,0.108
"P13","Liberales",0.424,0.006
"P13","Izquierda",0.067,0.042
"P13","Otro",0.014,0.012
"P13","No sabe",0.073,0.049
"P18","Totalmente seguro",0.766,0.681
"P18","Bastante seguro",0.099,0.183
"P18","Algo seguro",0.075,0.051
"P18","Para nada seguro",0.06,0.085
"P27","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.19,0.911
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.404,0.054
"P27","En blanco",0.272,0.008
"P27","No sabe",0.134,0.027
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.205,0.291
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.621,0.065
"P28","En blanco",0.092,0.412
"P28","No sabe",0.082,0.232
"P29","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.123,0.897
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.749,0.047
"P29","En blanco",0.08,0.038
"P29","No sabe",0.048,0.018
"P30","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.559,0.179
"P30","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.146,0.131
"P30","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.138,0.525
"P30","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.085,0.102
"P30","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.036,0.027
"P30","No sabe",0.036,0.036
"P31","No estaba enterado del tema",0.103,0.174
"P31","Un tema de la vida privada de él",0.094,0.167
"P31","Un hecho vergonzoso de exclusiva responsabilidad de él",0.149,0.524
"P31","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.214,0.042
"P31","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.437,0.05
"P31","No sabe",0.003,0.043
"P32","Si",0.749,0.811
"P32","No",0.251,0.189
"P33","Sergio Massa",0.166,0.812
"P33","Patria Bullrich",0.166,0.051
"P33","Javier Milei",0.522,0.05
"P33","Myriam Bregman",0.075,0.071
"P33","Juan Schiaretti",0.071,0.016
"P34","Ha aumentado significativamente",0.062,0.227
"P34","Ha aumentado ligeramente",0.123,0.281
"P34","Se mantiene igual",0.308,0.302
"P34","Ha disminuido ligeramente",0.208,0.133
"P34","Ha disminuido significativamente",0.299,0.057
"P35","No, ninguna dificultad",0.245,0.548
"P35","Alguna dificultad ocasional",0.352,0.302
"P35","Sí, dificultades frecuentes",0.403,0.15
"P36","Sí, absolutamente",0.389,0.703
"P36","Sí, en cierta medida",0.34,0.258
"P36","No, en absoluto",0.271,0.039
"P37","Reducir la inflación",0.268,0.505
"P37","Implementar reformas fiscales",0.132,0.072
"P37","Establecer políticas de control de precios",0.096,0.299
"P37","Reducir el gasto público",0.397,0.086
"P37","Estimular la inversión extranjera",0.08,0.029
"P37","Aumentar los subsidios a los servicios públicos",0.027,0.009
"P38","Muy positiva",0.164,0.295
"P38","Positiva",0.137,0.312
"P38","Neutral",0.34,0.222
"P38","Algo negativa",0.065,0.01
"P38","Negativa",0.093,0.005
"P38","No sabe",0.201,0.156
"P39","Muy positiva",0.141,0.629
"P39","Positiva",0.202,0.225
"P39","Neutral",0.279,0.097
"P39","Algo negativa",0.136,0.007
"P39","Negativa",0.204,0.005
"P39","No sabe",0.038,0.037
"P40","Muy positiva",0.144,0.415
"P40","Positiva",0.134,0.282
"P40","Neutral",0.228,0.12
"P40","Algo negativa",0.157,0.046
"P40","Negativa",0.208,0.074
"P40","No sabe",0.129,0.063
"P41","Muy positiva",0.358,0.6
"P41","Positiva",0.202,0.238
"P41","Neutral",0.2,0.06
"P41","Algo negativa",0.088,0.034
"P41","Negativa",0.114,0.036
"P41","No sabe",0.038,0.032
"P42","Muy positiva",0.259,0.607
"P42","Positiva",0.143,0.273
"P42","Neutral",0.348,0.037
"P42","Algo negativa",0.06,0.034
"P42","Negativa",0.139,0.009
"P42","No sabe",0.051,0.04
"P43","Lo votaría",0.108,0.837
"P43","Puede que lo vote",0.032,0.101
"P43","Nunca lo votaría",0.789,0.032
"P43","No sabe",0.071,0.03
"P44","Lo votaría",0.17,0.075
"P44","Puede que lo vote",0.196,0.091
"P44","Nunca lo votaría",0.498,0.786
"P44","No sabe",0.136,0.048
"P45","Lo votaría",0.08,0.065
"P45","Puede que lo vote",0.13,0.198
"P45","Nunca lo votaría",0.61,0.55
"P45","No sabe",0.18,0.187
"P46","Lo votaría",0.609,0.041
"P46","Puede que lo vote",0.119,0.067
"P46","Nunca lo votaría",0.209,0.847
"P46","No sabe",0.063,0.045
"P47","Lo votaría",0.091,0.035
"P47","Puede que lo vote",0.039,0.253
"P47","Nunca lo votaría",0.668,0.542
"P47","No sabe",0.202,0.17
"P48","Si",0.451,0.388
"P48","No",0.549,0.612
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.135,0.847
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.164,0.06
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.65,0.06
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.001,0.008
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.013,0.01
"PRESIDENTE","En blanco",0.01,0.01
"PRESIDENTE","No sabe",0.027,0.005
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.11,0.809
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.205,0.054
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.17,0.062
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.252,0.057
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.005,0.009
"DIPUTADOS","En blanco",0.111,0.004
"DIPUTADOS","No sabe",0.147,0.005
"PRESIDENTE_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.146,0.851
"PRESIDENTE_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.177,0.061
"PRESIDENTE_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.653,0.06
"PRESIDENTE_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.001,0.008
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.013,0.01
"PRESIDENTE_imputada","En blanco",0.01,0.01
"DIPUTADOS_imputada","Martín Soria a Diputado Nacional por Unión por la Patria",0.132,0.813
"DIPUTADOS_imputada","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.233,0.055
"DIPUTADOS_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.192,0.062
"DIPUTADOS_imputada","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.313,0.057
"DIPUTADOS_imputada","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.005,0.009
"DIPUTADOS_imputada","En blanco",0.125,0.004
