"var","categoria","Ha aumentado significativamente","Ha aumentado ligeramente","Se mantiene igual","Ha disminuido ligeramente","Ha disminuido significativamente"
"P06","Tiene Decidido que va a ir a votar",0.845,0.989,0.915,0.947,0.839
"P06","Tiene dudas sobre si va a ir a  votar",0.123,0.011,0.049,0.053,0.093
"P06","Tiene Decidido que no va a ir a votar",0.032,0,0.036,0,0.068
"P07","Mucho",0.701,0.611,0.456,0.443,0.563
"P07","Bastante",0.108,0.277,0.217,0.334,0.225
"P07","Poco",0.111,0.08,0.25,0.086,0.176
"P07","Nada",0.044,0.032,0.073,0.101,0.036
"P07","No sabe",0.036,0,0.004,0.036,0
"P08","Siempre",0.332,0.247,0.269,0.27,0.351
"P08","Casi siempre",0.319,0.396,0.237,0.274,0.281
"P08","Casi nunca",0.219,0.315,0.352,0.318,0.213
"P08","Nunca, pero esta es una excepción",0.13,0.042,0.142,0.138,0.155
"P13","Unión por la Patria",0.76,0.65,0.432,0.349,0.107
"P13","Juntos por el Cambio ",0.102,0.089,0.084,0.096,0.148
"P13","Juntos Somos Río Negro",0.062,0.096,0.139,0.169,0.113
"P13","Liberales",0.037,0.119,0.203,0.242,0.52
"P13","Izquierda",0.007,0.004,0.064,0.005,0.045
"P13","Otro",0,0.037,0.004,0,0.009
"P13","No sabe",0.032,0.005,0.074,0.139,0.058
"P14","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.781,0.635,0.547,0.369,0.124
"P14","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.065,0.089,0.069,0.085,0.247
"P14","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.059,0.04,0.03,0.114,0.018
"P14","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.086,0.22,0.318,0.365,0.573
"P14","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.005,0.014,0.003,0,0.005
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0.002,0.012,0,0.022
"P14","En blanco",0,0,0,0.003,0.002
"P14","No sabe",0.004,0,0.021,0.064,0.009
"P18","Totalmente seguro",0.712,0.87,0.627,0.746,0.796
"P18","Bastante seguro",0.126,0.112,0.173,0.098,0.117
"P18","Algo seguro",0.044,0.018,0.125,0.08,0.025
"P18","Para nada seguro",0.118,0,0.075,0.076,0.062
"P22","Sí",0.199,0.283,0.479,0.585,0.826
"P22","No",0.801,0.717,0.521,0.415,0.174
"P23","Martín Soria a Diputado Nacional por Unión por la Patria",0.3,0.227,0.044,0.066,0.086
"P23","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.132,0.284,0.234,0.205,0.298
"P23","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.23,0.208,0.112,0.319,0.027
"P23","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.182,0.128,0.314,0.32,0.256
"P23","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.053,0,0.012,0,0
"P23","En blanco",0.071,0.044,0.085,0.016,0.195
"P23","No sabe",0.032,0.109,0.199,0.074,0.138
"P27","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.889,0.715,0.618,0.422,0.158
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.06,0.235,0.171,0.281,0.431
"P27","En blanco",0.031,0.038,0.145,0.18,0.292
"P27","No sabe",0.02,0.012,0.066,0.117,0.119
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.411,0.141,0.27,0.276,0.198
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.11,0.215,0.279,0.361,0.647
"P28","En blanco",0.275,0.407,0.266,0.209,0.128
"P28","No sabe",0.204,0.237,0.185,0.154,0.027
"P29","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.778,0.687,0.579,0.399,0.205
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.154,0.255,0.328,0.46,0.678
"P29","En blanco",0.068,0.037,0.056,0.041,0.115
"P29","No sabe",0,0.021,0.037,0.1,0.002
"P30","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.322,0.244,0.32,0.317,0.55
"P30","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.05,0.145,0.238,0.075,0.075
"P30","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.545,0.45,0.317,0.373,0.155
"P30","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.019,0.134,0.081,0.111,0.123
"P30","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.007,0.024,0.018,0.017,0.086
"P30","No sabe",0.057,0.003,0.026,0.107,0.011
"P31","No estaba enterado del tema",0.291,0.126,0.106,0.112,0.048
"P31","Un tema de la vida privada de él",0.118,0.101,0.209,0.057,0.151
"P31","Un hecho vergonzoso de exclusiva responsabilidad de él",0.474,0.46,0.362,0.3,0.084
"P31","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.01,0.155,0.15,0.176,0.115
"P31","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.022,0.146,0.153,0.339,0.597
"P31","No sabe",0.085,0.012,0.02,0.016,0.005
"P32","Si",0.866,0.894,0.721,0.777,0.737
"P32","No",0.134,0.106,0.279,0.223,0.263
"P33","Sergio Massa",0.927,0.6,0.542,0.335,0.143
"P33","Patria Bullrich",0.002,0.092,0.084,0.138,0.214
