"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente","En blanco","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.91,0.878,0.925,0.969,0.918,0.856,0.704
"P06","Tiene dudas sobre si va a ir a  votar",0.072,0.1,0.052,0.024,0.055,0.144,0.212
"P06","Tiene Decidido que no va a ir a votar",0.018,0.022,0.023,0.007,0.027,0,0.084
"P07","Mucho",0.507,0.459,0.54,0.724,0.355,0.468,0.343
"P07","Bastante",0.257,0.303,0.22,0.17,0.533,0.134,0.229
"P07","Poco",0.158,0.166,0.158,0.044,0.083,0.234,0.113
"P07","Nada",0.064,0.072,0.074,0.044,0.011,0.073,0.189
"P07","No sabe",0.014,0,0.008,0.018,0.018,0.091,0.126
"P08","Siempre",0.233,0.192,0.267,0.116,0.138,0.07,0.266
"P08","Casi siempre",0.32,0.41,0.211,0.392,0.528,0.105,0.147
"P08","Casi nunca",0.294,0.301,0.346,0.178,0.238,0.679,0.121
"P08","Nunca, pero esta es una excepción",0.153,0.097,0.176,0.314,0.096,0.146,0.466
"P13","Unión por la Patria",0.699,0.055,0.044,0.174,0.038,0.1,0.042
"P13","Juntos por el Cambio ",0.05,0.66,0.074,0.007,0.032,0.013,0.096
"P13","Juntos Somos Río Negro",0.147,0.229,0.133,0.158,0.462,0.313,0.123
"P13","Liberales",0.006,0.011,0.557,0,0.092,0.059,0.015
"P13","Izquierda",0.027,0.005,0.087,0.575,0.112,0.148,0.059
"P13","Otro",0.008,0.001,0.036,0.054,0.071,0.068,0.036
"P13","No sabe",0.063,0.039,0.069,0.032,0.193,0.299,0.629
"P14","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.904,0,0,0,0,0,0
"P14","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0,0.966,0,0,0,0,0
"P14","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.096,0.034,0.032,0.091,0.462,0.632,0.127
"P14","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0,0,0.968,0,0,0,0
"P14","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0,0,0,0.909,0,0,0
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0,0,0,0.538,0,0
"P14","En blanco",0,0,0,0,0,0.368,0
"P14","No sabe",0,0,0,0,0,0,0.873
"P18","Totalmente seguro",0.686,0.765,0.773,0.623,0.232,0.364,0.161
"P18","Bastante seguro",0.17,0.095,0.097,0.194,0.154,0.143,0.121
"P18","Algo seguro",0.081,0.098,0.065,0.12,0.393,0.297,0.065
"P18","Para nada seguro",0.063,0.042,0.065,0.063,0.221,0.196,0.653
"P22","Sí",0.13,0.72,0.911,0.141,0.561,0.466,0.827
"P22","No",0.87,0.28,0.089,0.859,0.439,0.534,0.173
"P23","Martín Soria a Diputado Nacional por Unión por la Patria",0.33,0.19,0.057,0.6,0,0,0
"P23","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.239,0.463,0.103,0.4,0.597,0.075,0.309
"P23","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.212,0.226,0.158,0,0.161,0.648,0
"P23","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.009,0.059,0.365,0,0.242,0.277,0.621
"P23","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.036,0,0.002,0,0,0,0
"P23","En blanco",0.046,0.013,0.135,0,0,0,0
"P23","No sabe",0.128,0.049,0.18,0,0,0,0.07
"P27","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.949,0.204,0.116,0.846,0.58,0.464,0.14
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.026,0.759,0.334,0.154,0.256,0.049,0.539
"P27","En blanco",0.004,0.037,0.369,0,0.164,0.211,0
"P27","No sabe",0.021,0,0.181,0,0,0.276,0.321
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.269,0.633,0.083,0.055,0.464,0.245,0.491
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.036,0.256,0.813,0.102,0.241,0.23,0.202
"P28","En blanco",0.43,0.071,0.072,0.234,0.261,0.465,0
"P28","No sabe",0.265,0.04,0.032,0.609,0.034,0.06,0.307
"P29","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.922,0.241,0.032,0.898,0.355,0.25,0.133
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.028,0.363,0.942,0.102,0.307,0.254,0.571
"P29","En blanco",0.025,0.292,0.024,0,0.296,0.265,0
"P29","No sabe",0.025,0.104,0.002,0,0.042,0.231,0.296
"P30","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.203,0.39,0.62,0,0.115,0.262,0.371
"P30","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.101,0.117,0.205,0,0.197,0.399,0.033
"P30","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.536,0.296,0.058,0.232,0.421,0.339,0
"P30","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.108,0.194,0.045,0.055,0,0,0.085
"P30","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.018,0,0.049,0.713,0.098,0,0.042
"P30","No sabe",0.034,0.003,0.023,0,0.169,0,0.469
"P31","No estaba enterado del tema",0.2,0.084,0.074,0,0.036,0.109,0.083
"P31","Un tema de la vida privada de él",0.186,0.125,0.061,0,0.072,0.059,0
"P31","Un hecho vergonzoso de exclusiva responsabilidad de él",0.507,0.248,0.128,0.754,0.397,0.314,0
"P31","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.043,0.244,0.216,0.057,0.15,0.263,0.032
"P31","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.022,0.288,0.521,0.1,0.345,0.255,0.885
"P31","No sabe",0.042,0.011,0,0.089,0,0,0
"P32","Si",0.807,0.591,0.804,1,0.807,0.729,0.806
"P32","No",0.193,0.409,0.196,0,0.193,0.271,0.194
"P33","Sergio Massa",0.851,0.233,0.059,0.403,0.351,0.605,0.076
"P33","Patria Bullrich",0.041,0.413,0.077,0.062,0.166,0.066,0.521
"P33","Javier Milei",0.015,0.132,0.767,0,0.05,0.329,0.311
"P33","Myriam Bregman",0.072,0.152,0.043,0.535,0,0,0.066
"P33","Juan Schiaretti",0.021,0.07,0.054,0,0.433,0,0.026
"P34","Ha aumentado significativamente",0.232,0.101,0.041,0.153,0,0.147,0.03
"P34","Ha aumentado ligeramente",0.259,0.161,0.143,0.532,0.033,0.375,0
"P34","Se mantiene igual",0.318,0.238,0.31,0.16,0.394,0,0.336
"P34","Ha disminuido ligeramente",0.151,0.126,0.194,0,0,0.413,0.554
"P34","Ha disminuido significativamente",0.04,0.374,0.312,0.155,0.573,0.065,0.08
"P35","No, ninguna dificultad",0.577,0.24,0.213,0.312,0.148,0.246,0.029
"P35","Alguna dificultad ocasional",0.275,0.38,0.358,0.533,0.032,0.671,0.891
"P35","Sí, dificultades frecuentes",0.148,0.38,0.429,0.155,0.82,0.083,0.08
"P36","Sí, absolutamente",0.683,0.528,0.371,0.258,0.697,0.934,0.077
"P36","Sí, en cierta medida",0.267,0.385,0.288,0.742,0.048,0,0.844
"P36","No, en absoluto",0.05,0.087,0.341,0,0.255,0.066,0.079
"P37","Reducir la inflación",0.501,0.251,0.294,0.061,0.293,0.935,0
"P37","Implementar reformas fiscales",0.077,0.156,0.11,0.256,0,0,0.257
"P37","Establecer políticas de control de precios",0.3,0.073,0.097,0.525,0.242,0,0.078
"P37","Reducir el gasto público",0.067,0.452,0.396,0,0.465,0.065,0.665
"P37","Estimular la inversión extranjera",0.023,0.068,0.103,0,0,0,0
"P37","Aumentar los subsidios a los servicios públicos",0.032,0,0,0.158,0,0,0
"P38","Muy positiva",0.268,0.243,0.197,0.561,0,0.229,0.028
"P38","Positiva",0.299,0.189,0.114,0.229,0.47,0.608,0.198
"P38","Neutral",0.204,0.281,0.375,0.15,0.329,0.093,0.683
"P38","Algo negativa",0.022,0.125,0.025,0,0.121,0,0
"P38","Negativa",0.028,0.038,0.079,0,0.08,0,0
"P38","No sabe",0.179,0.124,0.21,0.06,0,0.07,0.091
"P39","Muy positiva",0.618,0.211,0.118,0.94,0.36,0.556,0.029
"P39","Positiva",0.208,0.221,0.202,0,0.164,0.28,0.631
"P39","Neutral",0.112,0.309,0.272,0,0.121,0.094,0.037
"P39","Algo negativa",0.019,0.052,0.155,0,0.152,0,0
"P39","Negativa",0.007,0.207,0.202,0,0.126,0.07,0.274
"P39","No sabe",0.036,0,0.051,0.06,0.077,0,0.029
"P40","Muy positiva",0.404,0.322,0.112,0.808,0,0.111,0
"P40","Positiva",0.288,0.082,0.151,0.131,0.224,0.125,0
"P40","Neutral",0.11,0.264,0.248,0,0,0.692,0.07
"P40","Algo negativa",0.03,0.089,0.169,0,0.453,0,0.585
"P40","Negativa",0.069,0.188,0.216,0,0.323,0.072,0.275
"P40","No sabe",0.099,0.055,0.104,0.061,0,0,0.07
"P41","Muy positiva",0.59,0.192,0.464,0.79,0.06,0.236,0.222
"P41","Positiva",0.222,0.152,0.244,0.149,0.499,0.311,0.07
"P41","Neutral",0.064,0.308,0.128,0,0.08,0.284,0.601
"P41","Algo negativa",0.037,0.146,0.059,0,0.24,0,0.029
"P41","Negativa",0.032,0.193,0.093,0,0.121,0.169,0.078
"P41","No sabe",0.055,0.009,0.012,0.061,0,0,0
"P42","Muy positiva",0.564,0.412,0.284,0.769,0.167,0.737,0.166
"P42","Positiva",0.275,0.121,0.165,0.166,0,0.107,0.056
"P42","Neutral",0.036,0.212,0.365,0,0.648,0,0.709
"P42","Algo negativa",0.032,0.193,0.018,0,0.072,0,0
"P42","Negativa",0.026,0.024,0.156,0,0.113,0.156,0.069
"P42","No sabe",0.067,0.038,0.012,0.065,0,0,0
"P43","Lo votaría",0.819,0.293,0.059,0.771,0.444,0.56,0
