"var","categoria","Unión por la Patria","Juntos por el Cambio","En blanco","No sabe"
"P10","Siempre",0.256,0.208,0.128,0.127
"P10","Casi siempre",0.315,0.325,0.154,0.235
"P10","Casi nunca",0.269,0.289,0.573,0.273
"P10","Nunca, pero esta es una excepción",0.16,0.178,0.145,0.365
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.871,0.136,0.274,0.27
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.11,0.839,0.202,0.228
"P13","En blanco",0.008,0.013,0.441,0.036
"P13","No sabe",0.011,0.012,0.083,0.466
"P15","Totalmente seguro",0.816,0.776,0.541,0.389
"P15","Bastante seguro",0.119,0.13,0.166,0.112
"P15","Algo seguro",0.038,0.05,0.126,0.126
"P15","Para nada seguro",0.027,0.044,0.167,0.373
"P16","Tiene Decidido que va a ir a votar",0.948,0.93,0.77,0.744
"P16","Tiene dudas sobre si va a ir a  votar",0.031,0.049,0.131,0.174
"P16","Tiene Decidido que no va a ir a votar",0.021,0.021,0.099,0.082
"P17","Lo votaría",0.931,0.156,0.365,0.355
"P17","Puede que lo vote",0.026,0.042,0.11,0.161
"P17","Nunca lo votaría",0.039,0.786,0.446,0.321
"P17","No sabe",0.004,0.016,0.079,0.163
"P18","Lo votaría",0.141,0.733,0.204,0.211
"P18","Puede que lo vote",0.043,0.098,0.168,0.199
"P18","Nunca lo votaría",0.798,0.162,0.53,0.398
"P18","No sabe",0.018,0.007,0.098,0.192
"P19","Muy buena",0.506,0.235,0.309,0.293
"P19","Buena",0.139,0.133,0.095,0.025
"P19","Ni buena ni mala",0.305,0.346,0.431,0.297
"P19","Mala",0.017,0.21,0.039,0.268
"P19","Muy mala",0.02,0.056,0.039,0.034
"P19","No sabe",0.013,0.02,0.087,0.083
"P20","Totalmente de acuerdo",0.135,0.377,0.214,0.227
"P20","Algo de acuerdo",0.028,0.149,0.063,0.015
"P20","ni de acuerdo ni en desacuerdo",0.171,0.308,0.263,0.407
"P20","En desacuerdo",0.353,0.106,0.313,0.109
"P20","Totalmente en desacuerdo",0.313,0.06,0.147,0.242
"P21","Cristiano no practicante",0.289,0.266,0.104,0.094
"P21","Católico apostólico romano",0.354,0.42,0.458,0.73
"P21","Cristiano evangelista o pentecostal",0.109,0.088,0.189,0.087
"P21","Otras confesiones cristianas",0.048,0.068,0.117,0.056
"P21","Musulmán",0.048,0.009,0.097,0
"P21","Judío",0.017,0.02,0,0
"P21","Otras",0.035,0.019,0,0
"P21","No soy religioso",0.063,0.072,0.031,0.029
"P21","Ateo",0.037,0.038,0.004,0.004
