"var","categoria","Muy buena","Buena","Regular","Mala","Muy mala"
"P06","Mucho",0.69,0.625,0.58,0.556,0.637
"P06","Bastante",0.222,0.292,0.303,0.24,0.268
"P06","Poco",0.046,0.065,0.105,0.155,0.052
"P06","Nada",0.038,0.016,0.009,0.04,0.024
"P06","No sabe",0.004,0.002,0.003,0.009,0.019
"P07","Siempre",0.345,0.241,0.25,0.188,0.274
"P07","Casi siempre",0.3,0.449,0.42,0.439,0.389
"P07","Casi nunca",0.244,0.275,0.278,0.342,0.284
"P07","Nunca, pero esta es una excepción",0.111,0.035,0.052,0.031,0.053
"P09","Gran excedente habitual",0.074,0.021,0.006,0.013,0.008
"P09","Gran excedente excepcional",0.013,0.054,0.02,0.011,0.027
"P09","Pequeño excedente habitual",0.127,0.183,0.121,0.05,0.068
"P09","Pequeño excedente excepcional",0.147,0.173,0.188,0.123,0.089
"P09","Alcanza gastos familia",0.115,0.123,0.153,0.198,0.202
"P09","No alcanza gastos familia",0.041,0.036,0.06,0.077,0.09
"P09","Solo NBFamiliares",0.228,0.252,0.293,0.255,0.165
"P09","No alcanza NBFamiliares",0.255,0.153,0.144,0.27,0.344
"P09","No sabe",0,0.005,0.015,0.003,0.007
"P10","Tiene Decidido que va a ir a votar",0.903,0.933,0.911,0.801,0.889
"P10","Tiene dudas sobre si va a ir a  votar",0.059,0.056,0.063,0.165,0.091
"P10","Tiene Decidido que no va a ir a votar",0.038,0.011,0.026,0.034,0.02
"P13","Unión por la Patria",0.521,0.507,0.252,0.17,0.094
"P13","Juntos por el Cambio ",0.107,0.247,0.452,0.369,0.389
"P13","Liberales",0.248,0.17,0.151,0.208,0.284
"P13","Izquierda",0.085,0.031,0.036,0.088,0.08
"P13","Hacemos por Nuestro país",0.021,0.022,0.036,0.068,0.036
"P13","No sabe",0.018,0.023,0.073,0.097,0.117
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.527,0.503,0.282,0.153,0.124
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.1,0.275,0.479,0.468,0.428
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.331,0.17,0.144,0.219,0.319
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.018,0.025,0.021,0.035,0.012
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.013,0.009,0.032,0.072,0.017
"P14","En blanco",0,0.012,0.02,0.027,0.055
"P14","No sabe",0.011,0.006,0.022,0.026,0.045
"P17","Totalmente seguro",0.732,0.75,0.674,0.585,0.591
"P17","Bastante seguro",0.161,0.139,0.154,0.223,0.148
"P17","Algo seguro",0.076,0.097,0.107,0.127,0.097
"P17","Para nada seguro",0.031,0.014,0.065,0.065,0.164
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.059,0.078,0.157,0.17,0.444
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.142,0.08,0.067,0.049,0.099
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.091,0.202,0.181,0.134,0.142
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.387,0.321,0.339,0.27,0.194
"P22","En blanco",0.213,0.232,0.193,0.164,0
"P22","No sabe",0.108,0.087,0.063,0.213,0.121
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.127,0.104,0.076,0.06,0.234
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.366,0.401,0.367,0.4,0.303
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.247,0.134,0.162,0.263,0.097
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.154,0.007,0.013,0.006,0.105
"P25","En blanco",0.055,0.214,0.26,0.204,0.204
"P25","No sabe",0.051,0.14,0.122,0.067,0.057
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.184,0.119,0.16,0.156,0.07
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.363,0.441,0.489,0.379,0.201
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.099,0.246,0.159,0.255,0.182
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.128,0.026,0.028,0.027,0.174
"P28","En blanco",0.199,0.142,0.144,0.098,0.353
"P28","No sabe",0.027,0.026,0.02,0.085,0.02
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.334,0.225,0.335,0.395,0.559
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.102,0.202,0.274,0.218,0.175
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.313,0.398,0.232,0.131,0.134
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.157,0.091,0.056,0.121,0.066
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.084,0.051,0.065,0.074,0.028
"P36","No sabe",0.01,0.033,0.038,0.061,0.038
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.553,0.541,0.29,0.219,0.181
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.211,0.327,0.541,0.488,0.562
"P37","En blanco",0.185,0.106,0.104,0.16,0.183
"P37","No sabe",0.051,0.026,0.065,0.133,0.074
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.265,0.338,0.513,0.424,0.404
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.289,0.191,0.176,0.211,0.324
