"var","categoria","Con políticas de shock, mano dura y castigando a los corruptos y ladrones","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar","Con políticas de desarrollo que permitan el crecimiento con inclusión social","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares","No sabe"
"P06","Mucho",0.573,0.544,0.622,0.589,0.883,0.308
"P06","Bastante",0.285,0.339,0.289,0.169,0.08,0.375
"P06","Poco",0.098,0.09,0.061,0.13,0.037,0.221
"P06","Nada",0.043,0.026,0.02,0.09,0,0.05
"P06","No sabe",0.001,0.001,0.008,0.022,0,0.046
"P07","Siempre",0.303,0.222,0.223,0.209,0.331,0.11
"P07","Casi siempre",0.363,0.406,0.477,0.319,0.429,0.421
"P07","Casi nunca",0.255,0.295,0.277,0.36,0.221,0.388
"P07","Nunca, pero esta es una excepción",0.079,0.077,0.023,0.112,0.019,0.081
"P09","Gran excedente habitual",0.007,0.019,0.026,0.025,0.046,0.015
"P09","Gran excedente excepcional",0.028,0.02,0.046,0.013,0.017,0.006
"P09","Pequeño excedente habitual",0.092,0.107,0.179,0.102,0.113,0.041
"P09","Pequeño excedente excepcional",0.127,0.206,0.186,0.089,0.133,0.188
"P09","Alcanza gastos familia",0.135,0.184,0.105,0.144,0.195,0.128
"P09","No alcanza gastos familia",0.07,0.051,0.038,0.089,0.045,0.124
"P09","Solo NBFamiliares",0.263,0.253,0.235,0.25,0.263,0.219
"P09","No alcanza NBFamiliares",0.267,0.149,0.175,0.288,0.188,0.279
"P09","No sabe",0.011,0.011,0.01,0,0,0
"P10","Tiene Decidido que va a ir a votar",0.879,0.911,0.925,0.847,0.904,0.803
"P10","Tiene dudas sobre si va a ir a  votar",0.088,0.074,0.049,0.109,0.038,0.141
"P10","Tiene Decidido que no va a ir a votar",0.033,0.015,0.026,0.044,0.058,0.056
"P13","Unión por la Patria",0.089,0.149,0.703,0.577,0.371,0.177
"P13","Juntos por el Cambio ",0.425,0.534,0.131,0.07,0.119,0.215
"P13","Liberales",0.34,0.178,0.054,0.031,0.217,0.171
"P13","Izquierda",0.041,0.037,0.042,0.075,0.21,0.086
"P13","Hacemos por Nuestro país",0.044,0.036,0.034,0.053,0.025,0.059
"P13","No sabe",0.061,0.066,0.036,0.194,0.058,0.292
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.138,0.19,0.647,0.567,0.348,0.335
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.456,0.553,0.162,0.09,0.212,0.295
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.349,0.185,0.097,0.072,0.193,0.134
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.018,0.019,0.021,0.053,0.071,0.038
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.011,0.013,0.017,0.068,0.165,0.011
"P14","En blanco",0.017,0.022,0.026,0.11,0.011,0.028
"P14","No sabe",0.011,0.018,0.03,0.04,0,0.159
"P17","Totalmente seguro",0.724,0.638,0.732,0.59,0.645,0.448
"P17","Bastante seguro",0.126,0.221,0.112,0.085,0.253,0.212
"P17","Algo seguro",0.086,0.097,0.113,0.153,0.073,0.17
"P17","Para nada seguro",0.064,0.044,0.043,0.172,0.029,0.17
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.252,0.155,0.072,0.066,0,0.238
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.276,0.19,0.048,0,0.017,0.057
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.251,0.167,0.193,0.085,0.21,0.14
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.103,0.251,0.376,0.519,0.279,0.062
"P22","En blanco",0.108,0.123,0.212,0.209,0.43,0.145
"P22","No sabe",0.01,0.114,0.099,0.121,0.064,0.358
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.077,0.097,0.14,0.349,0,0.033
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.45,0.371,0.3,0.301,0.055,0.094
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.145,0.196,0.245,0.162,0,0.075
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.037,0.006,0.016,0.154,0,0.065
"P25","En blanco",0.197,0.228,0.167,0.034,0.927,0.135
"P25","No sabe",0.094,0.102,0.132,0,0.018,0.598
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.104,0.178,0.27,0.116,0.103,0
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.457,0.359,0.416,0.474,0.061,0.369
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.157,0.196,0.154,0.053,0.332,0.172
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.056,0.019,0.055,0.256,0.087,0
"P28","En blanco",0.187,0.195,0.069,0.101,0.417,0.407
"P28","No sabe",0.039,0.053,0.036,0,0,0.052
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.188,0.212,0.66,0.599,0.441,0.295
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.606,0.685,0.151,0.076,0.216,0.405
"P37","En blanco",0.152,0.076,0.118,0.11,0.265,0.108
"P37","No sabe",0.054,0.027,0.071,0.215,0.078,0.192
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.537,0.572,0.215,0.155,0.211,0.293
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.348,0.25,0.097,0.101,0.165,0.173
"P38","En blanco",0.063,0.101,0.557,0.479,0.435,0.114
"P38","No sabe",0.052,0.077,0.131,0.265,0.189,0.42
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.214,0.223,0.689,0.627,0.412,0.321
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.507,0.477,0.11,0.082,0.114,0.252
"P39","En blanco",0.175,0.216,0.147,0.075,0.338,0.177
"P39","No sabe",0.104,0.084,0.054,0.216,0.136,0.25
"P40","Lo votaría",0.137,0.202,0.699,0.638,0.419,0.281
