"var","categoria","Muy bajas","Bajas","Adecuadas","Altas","Muy altas"
"P06","Mucho",0.579,0.582,0.573,0.627,0.66
"P06","Bastante",0.306,0.337,0.317,0.267,0.196
"P06","Poco",0.091,0.059,0.086,0.089,0.109
"P06","Nada",0.016,0.02,0.019,0.01,0.03
"P06","No sabe",0.008,0.002,0.005,0.007,0.005
"P07","Siempre",0.279,0.311,0.177,0.251,0.301
"P07","Casi siempre",0.43,0.41,0.433,0.428,0.398
"P07","Casi nunca",0.199,0.244,0.34,0.282,0.252
"P07","Nunca, pero esta es una excepción",0.092,0.035,0.05,0.039,0.049
"P09","Gran excedente habitual",0.024,0.031,0.021,0.014,0.011
"P09","Gran excedente excepcional",0.019,0.071,0.031,0.016,0.018
"P09","Pequeño excedente habitual",0.142,0.17,0.171,0.078,0.076
"P09","Pequeño excedente excepcional",0.134,0.193,0.202,0.157,0.112
"P09","Alcanza gastos familia",0.176,0.099,0.136,0.176,0.159
"P09","No alcanza gastos familia",0.057,0.056,0.031,0.075,0.056
"P09","Solo NBFamiliares",0.187,0.236,0.266,0.292,0.26
"P09","No alcanza NBFamiliares",0.221,0.129,0.13,0.192,0.308
"P09","No sabe",0.04,0.015,0.012,0,0
"P10","Tiene Decidido que va a ir a votar",0.919,0.958,0.913,0.871,0.863
"P10","Tiene dudas sobre si va a ir a  votar",0.062,0.022,0.066,0.103,0.107
"P10","Tiene Decidido que no va a ir a votar",0.019,0.02,0.021,0.026,0.03
"P13","Unión por la Patria",0.226,0.254,0.493,0.374,0.171
"P13","Juntos por el Cambio ",0.321,0.456,0.271,0.32,0.333
"P13","Liberales",0.285,0.186,0.135,0.147,0.282
"P13","Izquierda",0.028,0.042,0.031,0.062,0.084
"P13","Hacemos por Nuestro país",0.079,0.015,0.027,0.026,0.055
"P13","No sabe",0.061,0.047,0.043,0.071,0.075
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.234,0.27,0.508,0.346,0.224
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.393,0.475,0.283,0.372,0.386
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.319,0.204,0.134,0.157,0.29
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.047,0,0.02,0.029,0.036
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0,0.026,0.02,0.041,0.026
"P14","En blanco",0.007,0.006,0.01,0.033,0.026
"P14","No sabe",0,0.019,0.025,0.022,0.012
"P17","Totalmente seguro",0.735,0.72,0.703,0.681,0.631
"P17","Bastante seguro",0.116,0.162,0.155,0.145,0.172
"P17","Algo seguro",0.107,0.085,0.101,0.105,0.12
"P17","Para nada seguro",0.042,0.033,0.041,0.069,0.077
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.041,0.037,0.118,0.088,0.251
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.031,0.218,0.043,0.066,0.146
