"var","categoria","Muy buena","Buena","Regular","Mala","Muy mala"
"P06","Mucho",0.763,0.654,0.576,0.562,0.578
"P06","Bastante",0.159,0.286,0.294,0.278,0.315
"P06","Poco",0.052,0.039,0.107,0.132,0.082
"P06","Nada",0.015,0.021,0.019,0.023,0.016
"P06","No sabe",0.011,0,0.004,0.005,0.009
"P07","Siempre",0.309,0.246,0.258,0.219,0.253
"P07","Casi siempre",0.362,0.455,0.399,0.452,0.378
"P07","Casi nunca",0.297,0.243,0.299,0.294,0.271
"P07","Nunca, pero esta es una excepción",0.032,0.056,0.044,0.035,0.098
"P09","Gran excedente habitual",0.113,0.019,0.005,0.008,0.006
"P09","Gran excedente excepcional",0.042,0.07,0.016,0.012,0.017
"P09","Pequeño excedente habitual",0.133,0.244,0.121,0.07,0.05
"P09","Pequeño excedente excepcional",0.232,0.148,0.206,0.148,0.074
"P09","Alcanza gastos familia",0.069,0.105,0.151,0.157,0.238
"P09","No alcanza gastos familia",0.041,0.039,0.048,0.071,0.081
"P09","Solo NBFamiliares",0.135,0.274,0.273,0.255,0.29
"P09","No alcanza NBFamiliares",0.235,0.097,0.16,0.276,0.239
"P09","No sabe",0,0.004,0.02,0.003,0.005
"P10","Tiene Decidido que va a ir a votar",0.919,0.925,0.902,0.863,0.91
"P10","Tiene dudas sobre si va a ir a  votar",0.053,0.064,0.071,0.114,0.058
"P10","Tiene Decidido que no va a ir a votar",0.028,0.011,0.027,0.023,0.032
"P13","Unión por la Patria",0.7,0.606,0.323,0.153,0.054
"P13","Juntos por el Cambio ",0.084,0.192,0.35,0.483,0.429
"P13","Liberales",0.077,0.129,0.183,0.202,0.324
"P13","Izquierda",0.061,0.027,0.051,0.053,0.068
"P13","Hacemos por Nuestro país",0.04,0.02,0.026,0.052,0.039
"P13","No sabe",0.038,0.026,0.067,0.057,0.086
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.674,0.581,0.375,0.137,0.072
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.092,0.234,0.38,0.526,0.474
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.151,0.14,0.158,0.221,0.36
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.013,0.016,0.022,0.04,0.022
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.048,0.012,0.033,0.028,0.011
"P14","En blanco",0.016,0.006,0.024,0.015,0.027
"P14","No sabe",0.006,0.011,0.008,0.033,0.034
"P17","Totalmente seguro",0.713,0.744,0.659,0.664,0.667
"P17","Bastante seguro",0.145,0.131,0.168,0.171,0.159
"P17","Algo seguro",0.112,0.107,0.109,0.101,0.099
"P17","Para nada seguro",0.03,0.018,0.064,0.064,0.075
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.08,0.057,0.152,0.2,0.252
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.086,0.102,0.065,0.119,0.042
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.128,0.129,0.246,0.127,0.164
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.389,0.377,0.26,0.445,0.126
"P22","En blanco",0.221,0.264,0.168,0.072,0.262
"P22","No sabe",0.096,0.071,0.109,0.037,0.154
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.119,0.156,0.113,0.039,0.112
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.161,0.403,0.373,0.352,0.41
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.441,0.112,0.174,0.209,0.098
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.174,0.027,0.011,0.009,0.047
"P25","En blanco",0.064,0.131,0.219,0.293,0.236
"P25","No sabe",0.041,0.171,0.11,0.098,0.097
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.149,0.196,0.135,0.187,0.062
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.273,0.318,0.507,0.409,0.363
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.278,0.299,0.167,0.169,0.15
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.148,0.06,0.028,0.105,0.034
"P28","En blanco",0.152,0.11,0.115,0.097,0.364
"P28","No sabe",0,0.017,0.048,0.033,0.027
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.208,0.2,0.299,0.396,0.531
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.109,0.18,0.248,0.242,0.224
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.426,0.418,0.272,0.19,0.101
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.146,0.124,0.071,0.087,0.037
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.098,0.055,0.071,0.04,0.055
"P36","No sabe",0.013,0.023,0.039,0.045,0.052
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.73,0.582,0.389,0.2,0.114
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.12,0.255,0.439,0.59,0.632
"P37","En blanco",0.103,0.138,0.102,0.111,0.194
"P37","No sabe",0.047,0.025,0.07,0.099,0.06
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.299,0.259,0.412,0.537,0.516
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.101,0.203,0.202,0.206,0.306
"P38","En blanco",0.477,0.422,0.271,0.151,0.111
"P38","No sabe",0.123,0.116,0.115,0.106,0.067
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.731,0.603,0.429,0.21,0.111
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.09,0.212,0.303,0.393,0.578
"P39","En blanco",0.131,0.125,0.168,0.258,0.217
"P39","No sabe",0.048,0.06,0.1,0.139,0.094
"P40","Lo votaría",0.724,0.631,0.354,0.177,0.097
"P40","Puede que lo vote",0.129,0.077,0.155,0.123,0.115
"P40","Nunca lo votaría",0.129,0.268,0.448,0.653,0.764
"P40","No sabe",0.018,0.024,0.043,0.047,0.024
"P41","Lo votaría",0.194,0.303,0.365,0.522,0.502
"P41","Puede que lo vote",0.086,0.091,0.114,0.125,0.163
"P41","Nunca lo votaría",0.677,0.589,0.459,0.302,0.31
"P41","No sabe",0.043,0.017,0.062,0.051,0.025
"P42","Lo votaría",0.161,0.158,0.167,0.28,0.435
"P42","Puede que lo vote",0.029,0.118,0.197,0.183,0.21
"P42","Nunca lo votaría",0.781,0.684,0.58,0.464,0.315
"P42","No sabe",0.029,0.04,0.056,0.073,0.04
"P43","Lo votaría",0.191,0.111,0.117,0.079,0.085
"P43","Puede que lo vote",0.303,0.334,0.221,0.141,0.084
"P43","Nunca lo votaría",0.466,0.495,0.582,0.735,0.819
"P43","No sabe",0.04,0.06,0.08,0.045,0.012
"P44","Lo votaría",0.131,0.088,0.07,0.039,0.097
"P44","Puede que lo vote",0.185,0.299,0.286,0.258,0.173
"P44","Nunca lo votaría",0.681,0.537,0.554,0.592,0.68
"P44","No sabe",0.003,0.076,0.09,0.111,0.05
"P53","Sergio Massa y Javier Milei",0.589,0.571,0.443,0.285,0.203
"P53","Patricia Bullrich y Javier Milei",0.082,0.265,0.391,0.538,0.627
"P53","Sergio Massa y Patricia Bullrich",0.329,0.164,0.166,0.177,0.17
"P54","Muy buena",0.23,0.093,0.076,0.06,0.019
"P54","Buena",0.146,0.187,0.083,0.088,0.09
"P54","Regular",0.288,0.354,0.214,0.065,0.027
"P54","Mala",0.184,0.171,0.313,0.262,0.126
"P54","Muy mala",0.152,0.195,0.314,0.525,0.738
"P55","Muy buena",0.266,0.024,0.003,0.005,0.009
"P55","Buena",0.256,0.314,0.062,0.011,0
"P55","Regular",0.236,0.284,0.29,0.079,0.003
"P55","Mala",0.11,0.165,0.264,0.322,0.076
"P55","Muy mala",0.132,0.213,0.381,0.583,0.912
"P56","Muy buena",0.343,0.157,0.037,0.026,0.072
"P56","Buena",0.234,0.357,0.2,0.139,0.099
"P56","Regular",0.255,0.275,0.451,0.333,0.248
"P56","Mala",0.1,0.116,0.162,0.358,0.231
"P56","Muy mala",0.068,0.095,0.15,0.144,0.35
"P57","Muy buena",0.501,0.044,0.012,0.017,0.026
"P57","Buena",0.304,0.67,0.195,0.089,0.011
"P57","Regular",0.151,0.261,0.678,0.512,0.241
"P57","Mala",0.029,0.025,0.102,0.32,0.368
"P57","Muy mala",0.015,0,0.013,0.062,0.354
"P59","Muy buena",0.553,0.125,0.028,0.057,0.096
"P59","Buena",0.309,0.654,0.273,0.133,0.127
"P59","Regular",0.1,0.19,0.609,0.438,0.249
"P59","Mala",0.032,0.017,0.069,0.343,0.14
"P59","Muy mala",0.006,0.014,0.021,0.029,0.388
"P60","Ha aumentado significativamente",0.516,0.115,0.04,0.029,0.031
"P60","Ha aumentado ligeramente",0.349,0.388,0.193,0.098,0.06
"P60","Se mantiene igual",0.069,0.357,0.392,0.261,0.126
"P60","Ha disminuido ligeramente",0.017,0.126,0.243,0.348,0.165
"P60","Ha disminuido significativamente",0.049,0.014,0.132,0.264,0.618
"P61","Muy baja",0.174,0.034,0.02,0.022,0.053
"P61","Baja",0.09,0.113,0.044,0.037,0.042
"P61","Moderada",0.131,0.127,0.091,0.065,0.01
"P61","Alta",0.28,0.35,0.302,0.164,0.053
"P61","Muy alta",0.325,0.376,0.543,0.712,0.842
"P62","Muy bajas",0.142,0.073,0.049,0.057,0.049
"P62","Bajas",0.159,0.178,0.155,0.158,0.137
"P62","Adecuadas",0.416,0.373,0.299,0.233,0.181
"P62","Altas",0.157,0.229,0.31,0.3,0.244
"P62","Muy altas",0.126,0.147,0.187,0.252,0.389
"P63","No, ninguna dificultad",0.729,0.632,0.378,0.306,0.187
"P63","Alguna dificultad ocasional",0.151,0.285,0.359,0.356,0.378
"P63","Sí, dificultades frecuentes",0.12,0.083,0.263,0.338,0.435
"P64","Sí, absolutamente",0.741,0.538,0.411,0.272,0.241
"P64","Sí, en cierta medida",0.189,0.35,0.391,0.392,0.307
"P64","No, en absoluto",0.07,0.112,0.198,0.336,0.452
"P65","Reducir la inflación",0.475,0.403,0.405,0.444,0.343
"P65","Implementar reformas fiscales",0.197,0.204,0.124,0.107,0.114
"P65","Establecer políticas de control de precios",0.232,0.218,0.174,0.073,0.046
"P65","Reducir el gasto público",0.047,0.127,0.245,0.332,0.459
"P65","Estimular la inversión extranjera",0.019,0.037,0.039,0.032,0.03
"P65","Aumentar los subsidios a los servicios públicos",0.03,0.011,0.013,0.012,0.008
"P66","Fomentar la competencia entre proveedores",0.29,0.265,0.367,0.431,0.515
"P66","Incrementar la inversión en infraestructura",0.221,0.345,0.276,0.235,0.188
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.169,0.169,0.102,0.085,0.098
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.32,0.221,0.255,0.249,0.199
"P67","Muy positiva",0.443,0.315,0.182,0.134,0.092
"P67","Positiva",0.246,0.37,0.228,0.167,0.103
"P67","Neutral",0.168,0.146,0.264,0.265,0.34
"P67","Algo negativa",0.112,0.041,0.165,0.206,0.196
"P67","Negativa",0.027,0.08,0.098,0.145,0.22
"P67","No sabe",0.004,0.048,0.063,0.083,0.049
"P68","Muy positivo",0.501,0.23,0.132,0.055,0.086
"P68","Positivo",0.184,0.403,0.234,0.121,0.073
"P68","Neutral",0.193,0.177,0.311,0.358,0.344
"P68","Algo negativo",0.027,0.043,0.118,0.194,0.19
"P68","Negativo",0.048,0.074,0.118,0.193,0.251
"P68","No sabe",0.047,0.073,0.087,0.079,0.056
"P69","Muy positivo",0.406,0.139,0.056,0.022,0.026
"P69","Positivo",0.162,0.312,0.202,0.07,0.058
"P69","Neutral",0.328,0.392,0.496,0.558,0.522
"P69","Algo negativo",0.019,0.044,0.06,0.153,0.108
"P69","Negativo",0.041,0.041,0.085,0.1,0.222
"P69","No sabe",0.044,0.072,0.101,0.097,0.064
"P70","Muy positiva",0.625,0.491,0.331,0.132,0.113
"P70","Positiva",0.239,0.198,0.161,0.165,0.135
"P70","Neutral",0.073,0.174,0.251,0.355,0.312
"P70","Algo negativa",0.014,0.024,0.108,0.155,0.153
"P70","Negativa",0.049,0.059,0.112,0.146,0.28
"P70","No sabe",0,0.054,0.037,0.047,0.007
"P71","Muy positivo",0.628,0.508,0.285,0.169,0.108
"P71","Positivo",0.194,0.225,0.218,0.205,0.118
"P71","Neutral",0.105,0.138,0.238,0.257,0.296
"P71","Algo negativo",0.036,0.032,0.117,0.171,0.139
"P71","Negativo",0.035,0.08,0.109,0.159,0.319
"P71","No sabe",0.002,0.017,0.033,0.039,0.02
"P72","Muy positivo",0.605,0.392,0.233,0.121,0.15
"P72","Positivo",0.193,0.305,0.262,0.205,0.102
"P72","Neutral",0.15,0.212,0.312,0.411,0.33
"P72","Algo negativo",0.023,0.016,0.065,0.096,0.113
"P72","Negativo",0.026,0.054,0.097,0.13,0.276
"P72","No sabe",0.003,0.021,0.031,0.037,0.029
"P73","Muy positiva",0.61,0.381,0.182,0.094,0.046
"P73","Positiva",0.165,0.316,0.212,0.206,0.075
"P73","Neutral",0.093,0.113,0.291,0.293,0.228
"P73","Algo negativa",0.01,0.067,0.114,0.178,0.133
"P73","Negativa",0.073,0.08,0.118,0.166,0.403
"P73","No sabe",0.049,0.043,0.083,0.063,0.115
"P74","Muy positivo",0.606,0.344,0.173,0.022,0.036
"P74","Positivo",0.186,0.319,0.208,0.161,0.069
"P74","Neutral",0.062,0.111,0.322,0.28,0.249
"P74","Algo negativo",0.012,0.056,0.116,0.24,0.142
"P74","Negativo",0.074,0.131,0.113,0.204,0.407
"P74","No sabe",0.06,0.039,0.068,0.093,0.097
"P75","Muy positivo",0.492,0.233,0.101,0.032,0.045
"P75","Positivo",0.177,0.315,0.212,0.107,0.04
"P75","Neutral",0.209,0.25,0.407,0.397,0.305
"P75","Algo negativo",0.014,0.052,0.122,0.175,0.128
"P75","Negativo",0.051,0.107,0.086,0.189,0.383
"P75","No sabe",0.057,0.043,0.072,0.1,0.099
"P76","Muy positiva",0.647,0.538,0.313,0.204,0.168
"P76","Positiva",0.099,0.24,0.239,0.186,0.157
"P76","Neutral",0.181,0.094,0.199,0.252,0.245
"P76","Algo negativa",0.051,0.05,0.095,0.168,0.121
"P76","Negativa",0.019,0.051,0.095,0.141,0.287
"P76","No sabe",0.003,0.027,0.059,0.049,0.022
"P77","Muy positivo",0.633,0.495,0.271,0.223,0.134
"P77","Positivo",0.151,0.26,0.257,0.142,0.213
"P77","Neutral",0.13,0.127,0.215,0.195,0.184
"P77","Algo negativo",0.055,0.032,0.075,0.201,0.103
"P77","Negativo",0.028,0.051,0.116,0.194,0.348
"P77","No sabe",0.003,0.035,0.066,0.045,0.018
"P78","Muy positivo",0.659,0.428,0.26,0.16,0.104
"P78","Positivo",0.083,0.27,0.166,0.114,0.279
"P78","Neutral",0.205,0.201,0.383,0.439,0.239
"P78","Algo negativo",0.031,0.047,0.066,0.126,0.087
"P78","Negativo",0.019,0.041,0.075,0.113,0.236
"P78","No sabe",0.003,0.013,0.05,0.048,0.055
"P79","Si",0.616,0.513,0.514,0.446,0.471
"P79","No",0.384,0.487,0.486,0.554,0.529
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.674,0.581,0.375,0.137,0.072
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.092,0.234,0.38,0.526,0.474
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.151,0.14,0.158,0.221,0.36
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.013,0.016,0.022,0.04,0.022
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.048,0.012,0.033,0.028,0.011
"PRESIDENTE","En blanco",0.016,0.006,0.024,0.015,0.027
"PRESIDENTE","No sabe",0.006,0.011,0.008,0.033,0.034
