"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P06","Mucho",0.826,0.523,0.462,0.337
"P06","Bastante",0.116,0.374,0.275,0.223
"P06","Poco",0.034,0.082,0.212,0.187
"P06","Nada",0.016,0.013,0.038,0.223
"P06","No sabe",0.008,0.008,0.013,0.03
"P09","Gran excedente habitual",0.026,0.017,0.03,0.008
"P09","Gran excedente excepcional",0.026,0.025,0.026,0
"P09","Pequeño excedente habitual",0.075,0.143,0.131,0.105
"P09","Pequeño excedente excepcional",0.121,0.176,0.165,0.145
"P09","Alcanza gastos familia",0.095,0.146,0.142,0.235
"P09","No alcanza gastos familia",0.065,0.067,0.074,0.073
"P09","Solo NBFamiliares",0.276,0.26,0.222,0.204
"P09","No alcanza NBFamiliares",0.304,0.155,0.205,0.227
"P09","No sabe",0.012,0.011,0.005,0.003
"P10","Tiene Decidido que va a ir a votar",0.885,0.896,0.85,0.803
"P10","Tiene dudas sobre si va a ir a  votar",0.074,0.078,0.093,0.154
"P10","Tiene Decidido que no va a ir a votar",0.041,0.026,0.057,0.043
"P13","Unión por la Patria",0.32,0.335,0.345,0.177
"P13","Juntos por el Cambio ",0.324,0.328,0.244,0.21
"P13","Liberales",0.188,0.162,0.213,0.301
"P13","Izquierda",0.076,0.066,0.034,0.033
"P13","Hacemos por Nuestro país",0.055,0.035,0.047,0.042
"P13","No sabe",0.037,0.074,0.117,0.237
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.344,0.339,0.351,0.23
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.322,0.382,0.289,0.34
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.248,0.167,0.232,0.269
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.04,0.027,0.022,0.014
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.023,0.032,0.016,0.035
"P14","En blanco",0.013,0.019,0.058,0.081
"P14","No sabe",0.01,0.034,0.032,0.031
"P17","Totalmente seguro",0.745,0.683,0.564,0.62
"P17","Bastante seguro",0.13,0.189,0.166,0.121
"P17","Algo seguro",0.101,0.081,0.147,0.136
"P17","Para nada seguro",0.024,0.047,0.123,0.123
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.128,0.095,0.157,0.053
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.146,0.074,0.038,0.078
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.208,0.138,0.197,0.308
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.254,0.353,0.378,0.361
"P22","En blanco",0.143,0.247,0.163,0.123
"P22","No sabe",0.121,0.093,0.067,0.077
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.073,0.127,0.086,0.048
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.276,0.312,0.484,0.444
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.216,0.142,0.153,0.165
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.033,0.02,0.006,0.062
"P25","En blanco",0.301,0.256,0.175,0.069
"P25","No sabe",0.101,0.143,0.096,0.212
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.116,0.162,0.148,0.076
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.374,0.435,0.457,0.374
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.193,0.153,0.179,0.152
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.059,0.077,0.017,0.131
"P28","En blanco",0.243,0.144,0.149,0.23
"P28","No sabe",0.015,0.029,0.05,0.037
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.395,0.291,0.293,0.407
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.193,0.217,0.225,0.265
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.238,0.313,0.261,0.095
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.076,0.071,0.114,0.159
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.078,0.062,0.046,0.018
"P36","No sabe",0.02,0.046,0.061,0.056
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.375,0.386,0.363,0.282
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.415,0.422,0.376,0.538
"P37","En blanco",0.168,0.119,0.156,0.092
"P37","No sabe",0.042,0.073,0.105,0.088
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.471,0.393,0.3,0.399
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.25,0.198,0.246,0.303
"P38","En blanco",0.209,0.3,0.305,0.183
"P38","No sabe",0.07,0.109,0.149,0.115
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.37,0.421,0.431,0.208
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.366,0.289,0.31,0.501
"P39","En blanco",0.173,0.195,0.164,0.125
"P39","No sabe",0.091,0.095,0.095,0.166
