"var","categoria","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P06","Mucho",0.631,0.517,0.555,0.832,0.618,0.397
"P06","Bastante",0.272,0.352,0.289,0.104,0.325,0.366
"P06","Poco",0.057,0.082,0.128,0.064,0.048,0.174
"P06","Nada",0.04,0.046,0.028,0,0.009,0.063
"P06","No sabe",0,0.003,0,0,0,0
"P07","Siempre",0.173,0.183,0.309,0.339,0.302,0.188
"P07","Casi siempre",0.584,0.4,0.396,0.409,0.496,0.513
"P07","Casi nunca",0.21,0.332,0.226,0.064,0.182,0.185
"P07","Nunca, pero esta es una excepción",0.033,0.085,0.069,0.188,0.02,0.114
"P09","Gran excedente habitual",0.016,0.017,0.014,0,0.025,0.013
"P09","Gran excedente excepcional",0.055,0.043,0.014,0,0.005,0
"P09","Pequeño excedente habitual",0.114,0.137,0.087,0.053,0.105,0.097
"P09","Pequeño excedente excepcional",0.097,0.203,0.16,0.04,0.146,0.218
"P09","Alcanza gastos familia",0.145,0.182,0.106,0.33,0.206,0.117
"P09","No alcanza gastos familia",0.07,0.047,0.036,0.019,0.052,0.089
"P09","Solo NBFamiliares",0.233,0.196,0.292,0.235,0.302,0.322
"P09","No alcanza NBFamiliares",0.27,0.172,0.239,0.323,0.155,0.139
"P09","No sabe",0,0.003,0.052,0,0.004,0.005
"P10","Tiene Decidido que va a ir a votar",0.958,0.922,0.789,0.823,0.917,0.923
"P10","Tiene dudas sobre si va a ir a  votar",0.03,0.042,0.2,0.157,0.054,0.063
"P10","Tiene Decidido que no va a ir a votar",0.012,0.036,0.011,0.02,0.029,0.014
"P13","Unión por la Patria",0.299,0.044,0.125,0.053,0.005,0.021
"P13","Juntos por el Cambio ",0.536,0.671,0.674,0.388,0.829,0.814
"P13","Liberales",0.073,0.229,0.148,0.26,0.127,0.102
"P13","Izquierda",0.065,0.012,0.015,0.244,0.02,0.015
"P13","Hacemos por Nuestro país",0.012,0.002,0,0,0.008,0.033
"P13","No sabe",0.015,0.042,0.038,0.055,0.011,0.015
"P17","Totalmente seguro",0.712,0.656,0.747,0.48,0.82,0.667
"P17","Bastante seguro",0.161,0.201,0.132,0.046,0.112,0.198
"P17","Algo seguro",0.112,0.127,0.114,0.16,0.065,0.104
"P17","Para nada seguro",0.015,0.016,0.007,0.314,0.003,0.031
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.367,0.535,0.386,0.63,0.389,0.365
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.345,0.331,0.391,0.071,0.337,0.297
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.19,0.101,0.185,0.077,0.093,0.145
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.085,0.018,0.022,0.133,0.003,0
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0,0.006,0,0,0.156,0.006
"P36","No sabe",0.013,0.009,0.016,0.089,0.022,0.187
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.459,0.077,0.105,0.23,0.015,0.088
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.477,0.807,0.796,0.7,0.899,0.829
"P37","En blanco",0.051,0.096,0.052,0.03,0.077,0.006
"P37","No sabe",0.013,0.02,0.047,0.04,0.009,0.077
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.623,0.728,0.799,0.656,0.911,0.821
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.223,0.234,0.064,0.065,0.024,0.064
"P38","En blanco",0.095,0.024,0.1,0.215,0.043,0
"P38","No sabe",0.059,0.014,0.037,0.064,0.022,0.115
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.547,0.066,0.189,0.166,0.035,0.069
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.165,0.776,0.277,0.388,0.112,0.16
"P39","En blanco",0.189,0.117,0.406,0.28,0.791,0.2
"P39","No sabe",0.099,0.041,0.128,0.166,0.062,0.571
"P40","Lo votaría",0.343,0.073,0.167,0.081,0.046,0.09
"P40","Puede que lo vote",0.2,0.132,0.172,0.294,0.081,0.037
"P40","Nunca lo votaría",0.437,0.764,0.621,0.625,0.849,0.78
"P40","No sabe",0.02,0.031,0.04,0,0.024,0.093
"P41","Lo votaría",0.628,0.817,0.709,0.566,0.895,0.826
"P41","Puede que lo vote",0.139,0.037,0.119,0.03,0.027,0.052
"P41","Nunca lo votaría",0.209,0.119,0.159,0.348,0.068,0.089
"P41","No sabe",0.024,0.027,0.013,0.056,0.01,0.033
"P42","Lo votaría",0.228,0.293,0.148,0.602,0.147,0.131
"P42","Puede que lo vote",0.1,0.524,0.174,0.138,0.12,0.105
"P42","Nunca lo votaría",0.548,0.127,0.586,0.203,0.717,0.604
"P42","No sabe",0.124,0.056,0.092,0.057,0.016,0.16
"P43","Lo votaría",0.098,0.029,0.046,0.341,0,0.011
"P43","Puede que lo vote",0.211,0.086,0.082,0.311,0.061,0.047
"P43","Nunca lo votaría",0.588,0.857,0.853,0.319,0.932,0.859
"P43","No sabe",0.103,0.028,0.019,0.029,0.007,0.083
"P44","Lo votaría",0.027,0.034,0.162,0.11,0,0
"P44","Puede que lo vote",0.314,0.286,0.43,0.127,0.113,0.263
"P44","Nunca lo votaría",0.517,0.636,0.385,0.733,0.854,0.543
"P44","No sabe",0.142,0.044,0.023,0.03,0.033,0.194
"P53","Sergio Massa y Javier Milei",0.215,0.091,0.133,0.053,0.076,0.097
"P53","Patricia Bullrich y Javier Milei",0.556,0.734,0.665,0.592,0.744,0.724
"P53","Sergio Massa y Patricia Bullrich",0.229,0.175,0.202,0.355,0.18,0.179
"P54","Muy buena",0.119,0.024,0.035,0,0,0
"P54","Buena",0.17,0.15,0.055,0.412,0.119,0.045
"P54","Regular",0.086,0.07,0.085,0.072,0.011,0.117
"P54","Mala",0.311,0.201,0.239,0.125,0.094,0.229
"P54","Muy mala",0.314,0.555,0.586,0.391,0.776,0.609
"P55","Muy buena",0.006,0.006,0.017,0,0.008,0
"P55","Buena",0.132,0.017,0.02,0.054,0.007,0.018
"P55","Regular",0.192,0.036,0.111,0.099,0.008,0.053
"P55","Mala",0.175,0.247,0.179,0.018,0.134,0.352
"P55","Muy mala",0.495,0.694,0.673,0.829,0.843,0.577
"P56","Muy buena",0.056,0.048,0.034,0.054,0.003,0.006
"P56","Buena",0.136,0.118,0.084,0.026,0.122,0.13
"P56","Regular",0.357,0.399,0.406,0.299,0.383,0.511
"P56","Mala",0.174,0.26,0.301,0.022,0.308,0.202
"P56","Muy mala",0.277,0.175,0.175,0.599,0.184,0.151
"P57","Muy buena",0.037,0.031,0.062,0.172,0.011,0.005
"P57","Buena",0.207,0.194,0.241,0.098,0.175,0.238
"P57","Regular",0.579,0.507,0.428,0.24,0.515,0.39
"P57","Mala",0.108,0.192,0.238,0.063,0.239,0.339
"P57","Muy mala",0.069,0.076,0.031,0.427,0.06,0.028
"P58","Muy buena",0.037,0.013,0.079,0.206,0.009,0.011
"P58","Buena",0.209,0.141,0.087,0.139,0.075,0.204
"P58","Regular",0.39,0.337,0.35,0.148,0.323,0.338
