"var","categoria","Muy buena","Buena","Regular","Mala","Muy mala"
"P06","Mucho",0.826,0.632,0.575,0.566,0.641
"P06","Bastante",0.095,0.31,0.294,0.28,0.243
"P06","Poco",0.074,0.045,0.098,0.129,0.092
"P06","Nada",0.005,0.013,0.026,0.021,0.011
"P06","No sabe",0,0,0.007,0.004,0.013
"P07","Siempre",0.453,0.23,0.244,0.185,0.331
"P07","Casi siempre",0.319,0.471,0.392,0.44,0.357
"P07","Casi nunca",0.218,0.252,0.307,0.306,0.261
"P07","Nunca, pero esta es una excepción",0.01,0.047,0.057,0.069,0.051
"P09","Gran excedente habitual",0.148,0.02,0.005,0.003,0.012
"P09","Gran excedente excepcional",0.026,0.085,0.007,0,0.031
"P09","Pequeño excedente habitual",0.107,0.289,0.089,0.03,0.008
"P09","Pequeño excedente excepcional",0.158,0.219,0.182,0.059,0.092
"P09","Alcanza gastos familia",0.029,0.065,0.2,0.193,0.148
"P09","No alcanza gastos familia",0.069,0.022,0.064,0.081,0.062
"P09","Solo NBFamiliares",0.173,0.197,0.288,0.352,0.15
"P09","No alcanza NBFamiliares",0.29,0.092,0.154,0.279,0.49
"P09","No sabe",0,0.011,0.011,0.003,0.007
"P10","Tiene Decidido que va a ir a votar",0.869,0.932,0.912,0.854,0.867
"P10","Tiene dudas sobre si va a ir a  votar",0.088,0.053,0.066,0.116,0.077
"P10","Tiene Decidido que no va a ir a votar",0.043,0.015,0.022,0.03,0.056
"P13","Unión por la Patria",0.532,0.526,0.315,0.148,0.116
"P13","Juntos por el Cambio ",0.146,0.274,0.379,0.394,0.255
"P13","Liberales",0.127,0.126,0.181,0.268,0.293
"P13","Izquierda",0.082,0.027,0.043,0.053,0.126
"P13","Hacemos por Nuestro país",0.055,0.016,0.036,0.043,0.057
"P13","No sabe",0.058,0.031,0.046,0.094,0.153
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.563,0.504,0.33,0.181,0.12
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.145,0.296,0.412,0.476,0.292
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.19,0.163,0.166,0.248,0.406
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.037,0.009,0.027,0.014,0.056
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.054,0.014,0.024,0.033,0.023
"P14","En blanco",0.011,0.009,0.026,0.018,0.038
"P14","No sabe",0,0.005,0.015,0.03,0.065
"P17","Totalmente seguro",0.722,0.744,0.678,0.626,0.633
"P17","Bastante seguro",0.18,0.138,0.162,0.174,0.109
"P17","Algo seguro",0.087,0.088,0.118,0.113,0.087
"P17","Para nada seguro",0.011,0.03,0.042,0.087,0.171
